match_status,match_basis,confidence,supplier_brand,supplier_sku,supplier_name,supplier_cost,catalog_type,catalog_sku,catalog_name,catalog_brand,matched_identifier,candidate_count,name_score,review_notes
unmatched,,none,Dura-Stilts,50A1,DURA-STILT ADJ LEFT REARLEG DS1422 (SILVER),25.27,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,50A2,Dura-Stilts DS1422 Right Rear Adjustable Leg,25.27,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,50B1,Dura-Stilt Adj Left Rear Leg DS1830 (silver),28.03,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,50B2,Dura-Stilt Adjustable Right Rear Leg DS1830 (Silver),28.03,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,50C1,Dura-Stilts Adjustable Left Rear Leg #2440,30.24,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,50C2,Dura-Stilts Adjustable Right Rear Leg #2440,30.24,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,514,"Dura-Stilts 30"" Extension Tube for DSS3460US",34.46,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,51A,EXTENTION TUBE 14-22,22.89,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,51B,18 in - 30 in Dura-Stilts Extension Tube,24.34,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,51C,24 in - 40 in Dura-Stilts Extension Tube,25.86,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,56,"Dura-Stilts 1-1/8"" O.D. Upper Unistrut Tube",8.73,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,57138,Dura-Stilts Left Rear Adjustable Leg,40.09,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,5A,"Dura Stilt Replacement for DURA III 18""-30"" - 1 1/8"" O.D. Upper Strut Tube",8.73,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,5B,"Dura-Stilts Upper Strut Tube for DURA III 24""-40"" - 1 1/8 in O.D.",9.44,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,6,Dura-Stilts Truss Head Screw w/ Nut,0.30,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,7,Dura-Stilts Arch Strap w/ Buckle,6.79,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,8,Dura-Stilts Short Toe Strap w/ Buckle,6.69,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,90,Dura-Stilt Complete Tube Assembly,13.39,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,SurPro,SS2004,SurPro Stilt Socks w/ All Models-Large,11.20,,,,,,28,,No credible brand-compatible identifier or name candidate
unmatched,,none,SurPro,SS2005,SurPro Stilt Socks w/ All Models-XL,11.20,,,,,,28,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050004,Wiper Retainer,6.35,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050017,Automatic Taper Collar Bushing,2.20,,,,,,4,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050019,TapeTech Disengaging Cam,10.68,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050023F,Spacer Bar,3.34,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050027,TapeTech 04TT Automatic Taper Replacement Needle Holder Lock,3.26,,,,,,4,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050030,TapeTech Magnet Assembly,14.59,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050031,Gooser Bushing,3.74,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050034F,Disengaging Rod,6.52,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050041F,Disengaging Rod Bearing,18.75,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050043F,Anvil,9.78,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050050F,Needle Holder,11.82,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050058,TapeTech Control Valve,5.22,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050063,Cut Off Cover,15.57,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050064F,Automatic Taper Valve,7.25,,,,,,4,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050070F,Axle Creaser Wheel,4.24,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050071F,Front Support,3.67,,,,,,8,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050072F,Rear Support,3.67,,,,,,8,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050080F,Screw Block,2.60,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050083F,Cable Drum,29.03,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050086F,Bushing Head,5.13,,,,,,8,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050090F,Spacer Bar,11.82,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050099F,Bushing Head,6.68,,,,,,8,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050110F,Driver Shaft,11.51,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050113F,Cutter Block Tube,6.35,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050123,CAM,6.93,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050128F,Chain Roller Bushing,5.71,,,,,,4,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050132F,TapeTech Cut-Off Spring,4.54,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050137F,Cutter Block Clamp,10.51,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050144F,Automatic Taper Cutter Chain Tube Link,5.87,,,,,,9,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050145,TapeTech Creaser Chain,8.97,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050150F,TapeTech Hub,11.41,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050152F,Spacer Rod,4.61,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050154,Bearing Bracket,1.71,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050163,TapeTech Main Chain Guide,6.04,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050200,TapeTech Plastic Piston,18.34,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050204,Cup Washer,6.35,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050205,"Hex Head Cup Bolt 1/4-20X3 /4""",6.84,,,,,,10,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050212F,TapeTech Lock Block for 07TT,6.11,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050244,Tape Spool,3.74,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050249,TapeTech Creaser Connector,24.76,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050251F,Tube Protector,16.00,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050405B,Keeper Axle - Black,7.34,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050410B,TapeTech Control Tube Flange - Black,11.00,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050412,TapeTech Wheel Keeper Wire Form,1.87,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,050413,TapeTech Control Tube Wheel,0.58,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,051001,TapeTechï¿1⁄2ï¿1⁄2 051001 Outlet Valve Handle,16.31,,,,,,26,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,051089,Side Plate SS,50.34,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,051105,Side Plate- Stainless Steel,36.52,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,051135,TapeTech Cutter Block,11.16,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,051408B,Black Slotted Spool Post,7.94,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052052,TapeTech Lock for 07TT,5.13,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052121F,Driver Shaft,18.26,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052125,Sprocket Driver,6.11,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,0521496,Sprocket Bushing [6],10.41,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052150,Brake Adjuster,4.89,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052214,WHEEL ENCLOSURE,20.87,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052221,Control Arm Boss,23.15,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052403,PLUNGER STOP LOCKING STRAP,8.64,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052404B,Keeper Yoke,12.63,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052407B,TapeTech Keeper Tube Cradle,5.56,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052409,TapeTech Keeper Wireform,18.67,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,052576,Brake Spring Mount,8.56,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,054028,Gooser Assembly,8.48,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,054032F,Push Rod Assembly,24.30,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,054059F,Filler Tube Assembly,16.86,,,,,,7,,No credible brand-compatible identifier or name candidate
unmatched,,none,TapeTech,054075,Tape Runner Assembly,15.98,,,,,,2,,No credible brand-compatible identifier or name candidate
