match_status,match_basis,confidence,supplier_brand,supplier_sku,supplier_name,supplier_cost,catalog_type,catalog_sku,catalog_name,catalog_brand,matched_identifier,candidate_count,name_score,review_notes
matched_identifier,SKU,confirmed,Columbia Tools,25CSF,"Columbia 2.5"" Combo Flusher",117.01,variation,2.5CSF,"Columbia Combo Flusher - 2.5""",Columbia Tools,25CSF,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,25DF,"Columbia 2.5"" Direct Corner Flusher",76.37,variation,2.5DF,"Columbia Direct Flusher - 2.5""",Columbia Tools,25DF,1,0.8372,
matched_identifier,SKU,confirmed,Columbia Tools,25SF,"Columbia 2.5"" Standard Corner Flusher",70.20,variation,2.5SF,"Columbia Standard Flusher - 2.5""",Columbia Tools,25SF,1,0.8511,
matched_identifier,SKU,confirmed,Columbia Tools,2AH,Columbia 2′′ Anglehead,268.93,variation,2AH,"Columbia Angle Head - 2""",Columbia Tools,2AH,1,0.9565,
matched_identifier,SKU,confirmed,Columbia Tools,2NS,Columbia 2′′ Nailspotter,189.80,variation,2NS,"Columbia Nail Spotter - 2""",Columbia Tools,2NS,1,0.9630,
matched_identifier,SKU,confirmed,Columbia Tools,35AH,Columbia 3.5′′ Anglehead,320.14,variation,3.5AH,"Columbia Angle Head - 3.5""",Columbia Tools,35AH,1,0.9630,
matched_identifier,SKU,confirmed,Columbia Tools,35CSF,"Columbia 3.5"" Combo Flusher",124.38,variation,3.5CSF,"Columbia Combo Flusher - 3.5""",Columbia Tools,35CSF,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,35DF,"Columbia 3.5"" Direct Corner Flusher",83.75,variation,3.5DF,"Columbia Direct Flusher - 3.5""",Columbia Tools,35DF,1,0.8372,
matched_identifier,SKU,confirmed,Columbia Tools,35SF,"Columbia 3.5"" Standard Corner Flusher",77.59,variation,3.5SF,"Columbia Standard Flusher - 3.5""",Columbia Tools,35SF,1,0.8511,
matched_identifier,SKU,confirmed,Columbia Tools,3AH,Columbia 3′′ Anglehead,285.99,variation,3AH,"Columbia Angle Head - 3""",Columbia Tools,3AH,1,0.9565,
matched_identifier,SKU,confirmed,Columbia Tools,3BH,"Columbia 36"" 180-Grip Flat Box Handle",127.21,variation,3BH,Columbia 180° Grip Flat Box Handle - 3',Columbia Tools,3BH,1,0.6377,
matched_identifier,SKU,confirmed,Columbia Tools,3CSF,"Columbia 3"" Combo Flusher",120.69,variation,3CSF,"Columbia Combo Flusher - 3""",Columbia Tools,3CSF,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,3DF,"Columbia 3"" Direct Corner Flusher",78.82,variation,3DF,"Columbia Direct Flusher - 3""",Columbia Tools,3DF,1,0.8205,
matched_identifier,SKU,confirmed,Columbia Tools,3NS,Columbia 3′′ Nailspotter,198.35,variation,3NS,"Columbia Nail Spotter - 3""",Columbia Tools,3NS,1,0.9630,
matched_identifier,SKU,confirmed,Columbia Tools,3SF,"Columbia 3"" Standard Corner Flusher",73.91,variation,3SF,"Columbia Standard Flusher - 3""",Columbia Tools,3SF,1,0.8372,
matched_identifier,SKU,confirmed,Columbia Tools,3WTDF,"Columbia 3"" Widetrack Direct Corner Flusher",81.28,variation,3WTDF,"Columbia Direct Flusher - 3"" Widetrack",Columbia Tools,3WTDF,1,0.8814,
matched_identifier,SKU,confirmed,Columbia Tools,3WTSF,"Columbia 3"" Standard Corner Flusher",75.12,variation,3WTSF,"Columbia Standard Flusher - 3"" Widetrack",Columbia Tools,3WTSF,1,0.6792,
matched_identifier,SKU,confirmed,Columbia Tools,42BH,"Columbia 42"" 180-Grip Flat Box Handle",128.92,variation,42BH,"Columbia 180° Grip Flat Box Handle - 42""",Columbia Tools,42BH,1,0.6500,
matched_identifier,SKU,confirmed,Columbia Tools,4BH,"Columbia 48"" 180-Grip Flat Box Handle",130.59,variation,4BH,Columbia 180° Grip Flat Box Handle - 4',Columbia Tools,4BH,1,0.6377,
matched_identifier,SKU,confirmed,Columbia Tools,55FBB,"Columbia 5.5"" Fat Boy Flat Box",269.07,variation,5.5FBB,"Columbia Fat Boy Flat Box - 5.5""",Columbia Tools,55FBB,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,55FFB,"Columbia 5.5"" Flat Finishing Box",252.99,variation,5.5FFB,"Columbia Flat Finisher Box - 5.5""",Columbia Tools,55FFB,1,0.8837,
matched_identifier,SKU,confirmed,Columbia Tools,5BH,"Columbia 60"" 180-Grip Flat Box Handle",132.32,variation,5BH,Columbia 180° Grip Flat Box Handle - 5',Columbia Tools,5BH,1,0.6132,
matched_identifier,SKU,confirmed,Columbia Tools,6BH,"Columbia 72"" 180-Grip Featherweight Flat Box Handle",134.04,variation,6BH,Columbia 180° Grip Flat Box Handle - 6',Columbia Tools,6BH,1,0.4851,
matched_identifier,SKU,confirmed,Columbia Tools,7CFB,Columbia 7′′ Throttle Box,210.29,variation,7CFB,"Columbia Throttle Corner Flusher Box - 7""",Columbia Tools,7CFB,1,0.6512,
matched_identifier,SKU,confirmed,Columbia Tools,7FFB,"Columbia 7"" Flat Finishing Box",255.24,variation,7FFB,"Columbia Flat Finisher Box - 7""",Columbia Tools,7FFB,1,0.8718,
matched_identifier,SKU,confirmed,Columbia Tools,8CFB,Columbia 8′′ Throttle Box,227.37,variation,8CFB,"Columbia Throttle Corner Flusher Box - 8""",Columbia Tools,8CFB,1,0.6512,
matched_identifier,SKU,confirmed,Columbia Tools,8FBB,"Columbia 8"" Fat Boy Flat Box",285.99,variation,8FBB,"Columbia Fat Boy Flat Box - 8""",Columbia Tools,8FBB,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,8FBBA,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",313.52,variation,8FBBA,"Columbia Automatic Fat Boy Box - 8""",Columbia Tools,8FBBA,1,0.6970,
matched_identifier,SKU,confirmed,Columbia Tools,8FFB,"Columbia 8"" Flat Finishing Box",256.12,variation,8FFB,"Columbia Flat Finisher Box - 8""",Columbia Tools,8FFB,1,0.8718,
matched_identifier,SKU,confirmed,Columbia Tools,8FFBA,"Columbia 8"" Automatic Assist Drywall Flat Box",281.39,variation,8FFBA,"Columbia Automatic Flat Box - 8""",Columbia Tools,8FFBA,1,0.7273,
matched_identifier,SKU,confirmed,Columbia Tools,AH32,"Columbia 2"" Angle Head Carbide Blade",18.72,variation,AH3-2,"Top Blade - 2""",Columbia Tools,AH32,1,0.4324,
matched_identifier,SKU,confirmed,Columbia Tools,AH325,"Columbia 2.5"" Angle Head Carbide Blade",18.72,variation,AH3-2.5,"Top Blade - 2.5""",Columbia Tools,AH325,1,0.4878,
matched_identifier,SKU,confirmed,Columbia Tools,AH33,"Columbia 3"" Angle Head Carbide Blade",18.72,variation,AH3-3,"Top Blade - 3""",Columbia Tools,AH33,1,0.4324,
matched_identifier,SKU,confirmed,Columbia Tools,AH335,"Columbia 3.5"" Angle Head Carbide Blade",18.72,variation,AH3-3.5,"Top Blade - 3.5""",Columbia Tools,AH335,1,0.4878,
matched_identifier,SKU,confirmed,Columbia Tools,AH4,Columbia Angle Head Side Blade,2.13,simple,AH4,Side Blade,Columbia Tools,AH4,1,0.6452,
matched_identifier,SKU,confirmed,Columbia Tools,AH6A,Columbia Angle Head Ball Holder Release Clip,12.03,simple,AH6A,Funnel Retainer Clip,Columbia Tools,AH6A,1,0.4000,
matched_identifier,SKU,confirmed,Columbia Tools,AH72,"Columbia 2"" Angle Head Frame Tension Spring",0.79,variation,AH7-2,"Frame Tension Spring - 2""",Columbia Tools,AH72,1,0.8000,
matched_identifier,SKU,confirmed,Columbia Tools,AH725,"Columbia 2.5"" Angle Head Frame Tension Spring",0.79,variation,AH7-2.5,"Frame Tension Spring - 2.5""",Columbia Tools,AH725,1,0.8136,
matched_identifier,SKU,confirmed,Columbia Tools,AH73,"Columbia 3"" Angle Head Tension Spring",0.79,variation,AH7-3,"Frame Tension Spring - 3""",Columbia Tools,AH73,1,0.7755,
matched_identifier,SKU,confirmed,Columbia Tools,AH735,"Columbia 3.5"" Angle Head Frame Tension Spring",0.79,variation,AH7-3.5,"Frame Tension Spring - 3.5""",Columbia Tools,AH735,1,0.8136,
matched_identifier,SKU,confirmed,Columbia Tools,AH8,Columbia Angle Head Retainer Clip,3.84,variation,AH8,Top Retainer Corner Clip - Standard,Columbia Tools,AH8,1,0.5263,
matched_identifier,SKU,confirmed,Columbia Tools,AH9,Columbia Angle Head Retainer Clip,5.07,variation,AH9,Bottom Retainer Corner Clip - Standard,Columbia Tools,AH9,1,0.5333,
matched_identifier,SKU,confirmed,Columbia Tools,AHA,Columbia Anglehead Adaptor,14.56,simple,AHA,Angle Head Adapter,Columbia Tools,AHA,1,0.9143,
matched_identifier,SKU,confirmed,Columbia Tools,BF,Columbia Box Filler,41.82,variation,BF,Columbia Box Filler - Standard,Columbia Tools,BF,1,0.6897,
matched_identifier,SKU,confirmed,Columbia Tools,BH1,Columbia Mounting Plate (180 Grip),37.15,simple,BH1,Mounting Plate,Columbia Tools,BH1,1,0.7568,
matched_identifier,SKU,confirmed,Columbia Tools,BH2,Columbia Box Handle Plate (180 Grip),22.92,simple,BH2,Plate,Columbia Tools,BH2,1,0.3333,
matched_identifier,SKU,confirmed,Columbia Tools,BH4,Columbia Lower Brake Lever,15.32,simple,BH4,Lower Brake Lever,Columbia Tools,BH4,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,BH5,Columbia Upper Mounting Bracket (180 Grip),5.43,simple,BH5,Upper Mounting Bracket,Columbia Tools,BH5,1,0.8302,
matched_identifier,SKU,confirmed,Columbia Tools,C1H,Columbia 4' Extendable One Handle,27.90,variation,C1H,Columbia One Handle - Fixed,Columbia Tools,C1H,1,0.6667,
matched_identifier,SKU,confirmed,Columbia Tools,C1HEXT,Columbia 3'-5' Extendable One Handle,92.10,variation,C1HEXT,Columbia One Handle - Extendable 3'-5',Columbia Tools,C1HEXT,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CBNCR,Columbia Outside Bullnose Corner Roller,55.12,variation,CBNCR,Columbia Outside Corner Roller - Bullnose,Columbia Tools,CBNCR,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CC,Columbia Corner Cobra Adjustable Roller,245.62,simple,CC,Columbia Corner Cobra,Columbia Tools,CC,1,0.5714,
matched_identifier,SKU,confirmed,Columbia Tools,CEXT90,Columbia External 90 Mud Applicator,78.82,variation,CEXT90,Columbia Billet Mud Applicator - External 90,Columbia Tools,CEXT90,1,0.8814,
matched_identifier,SKU,confirmed,Columbia Tools,CFB15,Columbia Door Hinge,15.51,simple,CFB15,Door Hinge,Columbia Tools,CFB15,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CFB16,Columbia Nylatron Bushing,3.09,simple,CFB16,Bearing Sleeve,Columbia Tools,CFB16,1,0.4000,
matched_identifier,SKU,confirmed,Columbia Tools,CFB47,"Columbia 7"" Pressure Door",7.76,variation,CFB4-7,"Door - 7""",Columbia Tools,CFB47,1,0.5714,
matched_identifier,SKU,confirmed,Columbia Tools,CFB48,"Columbia 8"" Pressure Door",7.76,variation,CFB4-8,"Door - 8""",Columbia Tools,CFB48,1,0.5714,
matched_identifier,SKU,confirmed,Columbia Tools,CFB6,Columbia Mud Supply Valve Unit,17.07,simple,CFB6,Mud Supply Valve Unit,Columbia Tools,CFB6,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CFB77,"Columbia 7"" Angle Box Door Gasket",23.27,variation,CFB7-7,"Door Gasket - 7""",Columbia Tools,CFB77,1,0.7222,
matched_identifier,SKU,confirmed,Columbia Tools,CFB78,"Columbia 8"" Door Gasket for Angle Box",23.27,variation,CFB7-8,"Door Gasket - 8""",Columbia Tools,CFB78,1,0.6500,
matched_identifier,SKU,confirmed,Columbia Tools,CFB8,Columbia Handle Mount Casting,27.15,simple,CFB8,Box Mount,Columbia Tools,CFB8,1,0.4138,
matched_identifier,SKU,confirmed,Columbia Tools,CFLT,Columbia Flat Applicator,48.04,variation,CFLT,Columbia Billet Mud Applicator - Flat,Columbia Tools,CFLT,1,0.7317,
matched_identifier,SKU,confirmed,Columbia Tools,CHXL,Columbia 4-8' Long Extendible Handle,118.65,variation,CHXL,Columbia One Handle - Long Extendable 4'-8',Columbia Tools,CHXL,1,0.8929,
matched_identifier,SKU,confirmed,Columbia Tools,CLT24,"Columbia 24"" Cam Lock Tube",189.66,variation,CLT24,"Columbia Cam Lock Tube - 24""",Columbia Tools,CLT24,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CLT32,"Columbia 32"" Cam Lock Tube",195.80,variation,CLT32,"Columbia Cam Lock Tube - 32""",Columbia Tools,CLT32,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CLT42,"Columbia 42"" Cam Lock Tube",208.13,variation,CLT42,"Columbia Cam Lock Tube - 42""",Columbia Tools,CLT42,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CLT55,"Columbia 55"" Cam Lock Tube",215.52,variation,CLT55,"Columbia Cam Lock Tube - 55""",Columbia Tools,CLT55,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CMH,"Columbia 18"" Closet Monster Flat Box Handle",83.83,simple,CMH,Columbia Closet Monster Handle,Columbia Tools,CMH,1,0.7778,
matched_identifier,SKU,confirmed,Columbia Tools,CMT24,"Columbia 24"" Compound Mud Tube",128.07,variation,CMT24,"Columbia Compound Tube - 24""",Columbia Tools,CMT24,1,0.8889,
matched_identifier,SKU,confirmed,Columbia Tools,CMT32,"Columbia 32"" Compound Mud Tube",134.24,variation,CMT32,"Columbia Compound Tube - 32""",Columbia Tools,CMT32,1,0.8889,
matched_identifier,SKU,confirmed,Columbia Tools,CMT42,"Columbia 42"" Compound Mud Tube",146.56,variation,CMT42,"Columbia Compound Tube - 42""",Columbia Tools,CMT42,1,0.8889,
matched_identifier,SKU,confirmed,Columbia Tools,CMT55,"Columbia 55"" Compound Mud Tube",153.95,variation,CMT55,"Columbia Compound Tube - 55""",Columbia Tools,CMT55,1,0.8889,
matched_identifier,SKU,confirmed,Columbia Tools,COBCR,Columbia Outside Corner Roller,52.97,variation,COBCR,Columbia Outside Corner Roller - Standard,Columbia Tools,COBCR,1,0.8235,
matched_identifier,SKU,confirmed,Columbia Tools,COBCRW,Columbia Wide Outside Corner Roller,55.12,variation,COBCRW,Columbia Outside Corner Roller - Wide,Columbia Tools,COBCRW,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CPFGN,Columbia Graco Powerfill Gooseneck,160.99,simple,CPFGN,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Columbia Tools,CPFGN,1,0.5507,
matched_identifier,SKU,confirmed,Columbia Tools,CPFP,Columbia X Graco PowerFill 3.5 Loading Pump,990.71,simple,CPFP,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,Columbia Tools,CPFP,1,0.7500,
matched_identifier,SKU,confirmed,Columbia Tools,CR,Columbia Inside Corner Roller,104.43,simple,CR,Columbia Corner Roller,Columbia Tools,CR,1,0.7879,
matched_identifier,SKU,confirmed,Columbia Tools,CR12,Columbia Swivel Coupling Pin,2.40,simple,CR12,Swivel Coupling Pin,Columbia Tools,CR12,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CR6,Columbia Handle Mounting Swivel,9.11,simple,CR6,Handle Mounting Swivel,Columbia Tools,CR6,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CT103,Columbia Taper Barrel Main Body,77.59,simple,CT103,Barrel- Main Body,Columbia Tools,CT103,1,0.8421,
matched_identifier,SKU,confirmed,Columbia Tools,CT105,Columbia Taper Crimper Lever,17.83,simple,CT105,Crimper Lever,Columbia Tools,CT105,1,0.8125,
matched_identifier,SKU,confirmed,Columbia Tools,CT107,Columbia Taper Piston Body,15.51,simple,CT107,Piston Body,Columbia Tools,CT107,1,0.7857,
matched_identifier,SKU,confirmed,Columbia Tools,CT109,Columbia Taper Cable Retaining Nut,2.72,simple,CT109,1/4 - 20 Hex Nut,Columbia Tools,CT109,1,0.2564,
matched_identifier,SKU,confirmed,Columbia Tools,CT10A,Columbia Taper Crimping Arm Bushing Left,2.91,simple,CT10A,Crimping Arm Shaft Bushing - L,Columbia Tools,CT10A,1,0.8136,
matched_identifier,SKU,confirmed,Columbia Tools,CT111,Columbia Taper Piston Cup,9.31,simple,CT111,Piston Cup,Columbia Tools,CT111,1,0.7692,
matched_identifier,SKU,confirmed,Columbia Tools,CT112,Columbia Taper Connecting Stud,6.51,simple,CT112,Connecting Stud,Columbia Tools,CT112,1,0.8333,
matched_identifier,SKU,confirmed,Columbia Tools,CT115,Columbia Taper Guard Ring,11.64,simple,CT115,Guard Ring,Columbia Tools,CT115,1,0.7692,
matched_identifier,SKU,confirmed,Columbia Tools,CT116A,Columbia Taper Strap,11.64,simple,CT116A,Strap,Columbia Tools,CT116A,1,0.6250,
matched_identifier,SKU,confirmed,Columbia Tools,CT119,Columbia Spool Retaining Spring,3.49,simple,CT119,Spool Retaining Spring,Columbia Tools,CT119,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CT120,Columbia Taper Tape Spool w/ Tension Adjuster,15.51,simple,CT120,Tape Spool,Columbia Tools,CT120,1,0.4444,
matched_identifier,SKU,confirmed,Columbia Tools,CT125,Columbia Taper Roller,1.93,simple,CT125,Rollers,Columbia Tools,CT125,1,0.6316,
matched_identifier,SKU,confirmed,Columbia Tools,CT125A,Columbia Taper Bearing,1.93,simple,CT125A,Bearing,Columbia Tools,CT125A,1,0.7000,
matched_identifier,SKU,confirmed,Columbia Tools,CT127,Columbia Taper Extension Shaft Bracket,19.39,simple,CT127,Extension Shaft Bracket,Columbia Tools,CT127,1,0.8846,
matched_identifier,SKU,confirmed,Columbia Tools,CT130,Columbia Taper Extension Shaft,13.97,simple,CT130,Extension Shaft,Columbia Tools,CT130,1,0.8333,
matched_identifier,SKU,confirmed,Columbia Tools,CT14A,Columbia Taper Adjustable Brake,3.69,simple,CT14A,Taper Adjustable Brake,Columbia Tools,CT14A,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,CT19,Columbia Taper Paper Feed Guide,20.96,simple,CT19,Paper Feed Guide,Columbia Tools,CT19,1,0.8421,
matched_identifier,SKU,confirmed,Columbia Tools,CT2,Columbia Taper Insert Bushing,2.32,simple,CT2,Insert Bushing for CT#7A,Columbia Tools,CT2,1,0.6364,
matched_identifier,SKU,confirmed,Columbia Tools,CT20,Columbia Taper Hinge Block,6.21,simple,CT20,Hinge Block,Columbia Tools,CT20,1,0.7857,
matched_identifier,SKU,confirmed,Columbia Tools,CT28,Columbia Taper Roller Bushing,2.32,simple,CT28,Roller Bushing,Columbia Tools,CT28,1,0.8235,
matched_identifier,SKU,confirmed,Columbia Tools,CT29,Columbia Taper Nylatron Chain Roller,1.93,variation,CT29,Nylatron Chain Roller - Right (Small),Columbia Tools,CT29,1,0.7667,
matched_identifier,SKU,confirmed,Columbia Tools,CT29A,Columbia Taper Nylatron Chain Roller (Left),1.93,variation,CT29A,Nylatron Chain Roller - Left (Large),Columbia Tools,CT29A,1,0.8125,
matched_identifier,SKU,confirmed,Columbia Tools,CT31,Columbia Taper Chain Tension & Guide Bracket,3.49,simple,CT31,Chain Tension & Guide Bracket,Columbia Tools,CT31,1,0.9000,
matched_identifier,SKU,confirmed,Columbia Tools,CT35,Columbia Taper Cap Reinforcing Tab,1.93,simple,CT35,Cap Reinforcing Tab,Columbia Tools,CT35,1,0.8636,
matched_identifier,SKU,confirmed,Columbia Tools,CT36,Columbia Taper Return Spring Tube,20.16,simple,CT36,Return Spring Tube,Columbia Tools,CT36,1,0.8571,
matched_identifier,SKU,confirmed,Columbia Tools,CT43,Columbia Taper Micro Chain,19.39,simple,CT43,Micro Chain,Columbia Tools,CT43,1,0.7857,
matched_identifier,SKU,confirmed,Columbia Tools,CT45,Columbia Taper Connecting Rod (Includes CT46 Stop),10.48,simple,CT45,Connecting Rod,Columbia Tools,CT45,1,0.5283,
matched_identifier,SKU,confirmed,Columbia Tools,CT47,Columbia Taper Crimping Wheel,7.76,simple,CT47,Crimping Wheel,Columbia Tools,CT47,1,0.8235,
matched_identifier,SKU,confirmed,Columbia Tools,CT5,Columbia Taper Right Wafer Bushing,0.77,variation,CT5,Wafer Bushing - Right,Columbia Tools,CT5,1,0.8636,
matched_identifier,SKU,confirmed,Columbia Tools,CT50,Columbia Taper Crimping Wheel Bushing,3.49,simple,CT50,Crimping Wheel Bushing,Columbia Tools,CT50,1,0.8800,
matched_identifier,SKU,confirmed,Columbia Tools,CT53,Columbia Taper Toe Kicker,13.59,simple,CT53,Toe Kicker,Columbia Tools,CT53,1,0.7692,
matched_identifier,SKU,confirmed,Columbia Tools,CT57,Columbia Taper Tape Advance Carriage,52.75,simple,CT57,Tape Advance Carriage,Columbia Tools,CT57,1,0.8750,
matched_identifier,SKU,confirmed,Columbia Tools,CT58,Columbia Taper Guide Rod Bushing,4.67,simple,CT58,Guide Rod Bushing,Columbia Tools,CT58,1,0.8500,
matched_identifier,SKU,confirmed,Columbia Tools,CT64,Columbia Taper Needle Return Shaft,3.09,simple,CT64,Needle Return Shaft,Columbia Tools,CT64,1,0.8636,
matched_identifier,SKU,confirmed,Columbia Tools,CT65,Columbia Taper Needle Return Spring,2.13,simple,CT65,Needle Return Spring,Columbia Tools,CT65,1,0.8696,
matched_identifier,SKU,confirmed,Columbia Tools,CT67,Columbia Taper Ratchet Gear,3.09,simple,CT67,Ratchet Gear,Columbia Tools,CT67,1,0.8000,
matched_identifier,SKU,confirmed,Columbia Tools,CT68,Columbia Taper Hub,9.31,simple,CT68,Hub,Columbia Tools,CT68,1,0.5000,
matched_identifier,SKU,confirmed,Columbia Tools,CT6A,Columbia Taper Side Plate Left,22.32,simple,CT6A,Stainless Steel Side Plate - Left,Columbia Tools,CT6A,1,0.7308,
matched_identifier,SKU,confirmed,Columbia Tools,CT73,Columbia Taper Cable Drum,23.27,simple,CT73,Cable Drum,Columbia Tools,CT73,1,0.7692,
matched_identifier,SKU,confirmed,Columbia Tools,CT77,Columbia Taper Drive Sprocket Large,38.77,variation,CT77,Drive Sprocket - Large,Columbia Tools,CT77,1,0.8696,
matched_identifier,SKU,confirmed,Columbia Tools,CT78,Columbia Taper Drive Chain,51.20,simple,CT78,Drive Chain,Columbia Tools,CT78,1,0.7857,
matched_identifier,SKU,confirmed,Columbia Tools,CT79,Columbia Taper Hollow Shaft,23.27,simple,CT79,Hollow Shaft,Columbia Tools,CT79,1,0.8000,
matched_identifier,SKU,confirmed,Columbia Tools,CT7A,Columbia Taper Side Plate Hub,7.76,simple,CT7A,Side Plate Hub,Columbia Tools,CT7A,1,0.8235,
matched_identifier,SKU,confirmed,Columbia Tools,CT81,Columbia Taper Clutch Return Spring,1.56,simple,CT81,Clutch Return Spring,Columbia Tools,CT81,1,0.8696,
matched_identifier,SKU,confirmed,Columbia Tools,CT85,Columbia Taper Clutch Release Shaft,23.27,simple,CT85,Clutch Release Shaft,Columbia Tools,CT85,1,0.8696,
matched_identifier,SKU,confirmed,Columbia Tools,CT86,Columbia Taper Toe Kicker Cable,11.64,simple,CT86,CT86 – Toe Kicker Cable,Columbia Tools,CT86,1,0.8372,
matched_identifier,SKU,confirmed,Columbia Tools,CT87A,Columbia Taper Bracket Base,4.67,simple,CT87A,Bracket Brace,Columbia Tools,CT87A,1,0.7097,
matched_identifier,SKU,confirmed,Columbia Tools,CT87CS,Columbia Cover Plate Cork Seal,4.25,simple,CT87-CS,Rubber Seal,Columbia Tools,CT87CS,1,0.5000,
matched_identifier,SKU,confirmed,Columbia Tools,CT88,Columbia Taper Clutch Release Rod,9.31,simple,CT88,Clutch Release Rod,Columbia Tools,CT88,1,0.8571,
matched_identifier,SKU,confirmed,Columbia Tools,CT89,Columbia Taper Release Rod Sleeve,9.31,simple,CT89,Release Rod Sleeve,Columbia Tools,CT89,1,0.8571,
matched_identifier,SKU,confirmed,Columbia Tools,CT92,Columbia Taper Release Clip,6.21,simple,CT92,Release Clip Bushing,Columbia Tools,CT92,1,0.6316,
matched_identifier,SKU,confirmed,Columbia Tools,CT92A,Columbia Taper L Clip,1.56,simple,CT92A,Toe Kicker Caple Retainer Clip,Columbia Tools,CT92A,1,0.4762,
matched_identifier,SKU,confirmed,Columbia Tools,CT96,Columbia Taper Mud Shut Off Gasket,1.36,simple,CT96,Mud Shut-Off Gasket,Columbia Tools,CT96,1,0.8636,
