category_order,category_slug,category_name,composition,slot_order,slot_id,slot_label,reference_order,source_filename,sku,product_name,brand,catalog_relationship,selection_note
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,4,loading-pump,Loading pump,2,columbia_tools_hmp_01.webp,COL-HOT-MUD-PUMP,Columbia Hot Mud Pump,Columbia Tools,direct-category,Compact alternate pump profile
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,4,loading-pump,Loading pump,3,platinum_pt_cp_01.webp,PT-CP,Platinum Drywall Pump w/Filler,Platinum Drywall Tools,direct-category,Platinum pump and filler match for system composition
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,4,loading-pump,Loading pump,4,platinum_pt_cp_02.webp,PT-CP,Platinum Drywall Pump w/Filler,Platinum Drywall Tools,direct-category,Alternate Platinum pump and filler product view
2,automatic-tapers,Automatic Tapers,3 genuine tapers,1,columbia-taper,Columbia automatic taper,1,columbia_tools_taper_01.webp,COL-AUTOMATIC-TAPER,Columbia Automatic Taper,Columbia Tools,direct-category,Complete high-resolution product view
2,automatic-tapers,Automatic Tapers,3 genuine tapers,1,columbia-taper,Columbia automatic taper,2,columbia_tools_taper_02.webp,COL-AUTOMATIC-TAPER,Columbia Automatic Taper,Columbia Tools,direct-category,Brand-detail alternate crop
2,automatic-tapers,Automatic Tapers,3 genuine tapers,2,level5-taper,LEVEL5 automatic taper,1,level5_4_760_01.webp,4-760,LEVEL5 Automatic Taper,LEVEL5,direct-category,Full vertical silhouette
2,automatic-tapers,Automatic Tapers,3 genuine tapers,2,level5-taper,LEVEL5 automatic taper,2,level5_4_760_02.webp,4-760,LEVEL5 Automatic Taper,LEVEL5,direct-category,Alternate orientation
2,automatic-tapers,Automatic Tapers,3 genuine tapers,3,tapetech-taper,TapeTech automatic taper,1,tapetech_07tt_02.webp,TT-EASYCLEAN-AUTOMATIC-TAPER,TapeTech EasyClean Automatic Taper,TapeTech,direct-category,Full product side view
2,automatic-tapers,Automatic Tapers,3 genuine tapers,3,tapetech-taper,TapeTech automatic taper,2,tapetech_07tt_03.webp,TT-EASYCLEAN-AUTOMATIC-TAPER,TapeTech EasyClean Automatic Taper,TapeTech,direct-category,Three-quarter alternate view
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,1,2-inch,2 inch angle head,1,columbia_tools_2ah_01.webp,COL-ANGLE-HEAD,Columbia Angle Head 2 inch,Columbia Tools,direct-category,Smallest graduated size
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,1,2-inch,2 inch angle head,2,platinum_pt_cf2_5_02.webp,PT-CF2.5,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",Platinum Drywall Tools,adjacent-size,Closest available Platinum corner finisher size; no 2 inch Platinum media in catalog
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,2,2-5-inch,2.5 inch angle head,1,columbia_tools_2_5ah_01.webp,COL-ANGLE-HEAD,Columbia Angle Head 2.5 inch,Columbia Tools,direct-category,Second graduated size
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,2,2-5-inch,2.5 inch angle head,2,platinum_pt_cf2_5_01.webp,PT-CF2.5,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",Platinum Drywall Tools,direct-category,Platinum 2.5 inch corner finisher for graduated size
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,3,3-inch,3 inch angle head,1,columbia_tools_3ah_01.webp,COL-ANGLE-HEAD,Columbia Angle Head 3 inch,Columbia Tools,direct-category,Third graduated size
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,3,3-inch,3 inch angle head,2,platinum_pt_3_0cf_01.webp,PT-3CF,"Platinum Angle Head Corner Finisher with Wheels - 3""",Platinum Drywall Tools,direct-category,Platinum 3 inch corner finisher for graduated size
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,4,3-5-inch,3.5 inch angle head,1,columbia_tools_3_5ah_01.webp,COL-ANGLE-HEAD,Columbia Angle Head 3.5 inch,Columbia Tools,direct-category,Largest graduated size
3,angle-heads,Angle Heads,3-4 genuine angle heads or corner finishers in graduated sizes,4,3-5-inch,3.5 inch angle head,2,platinum_pt_cf3_5_01.webp,PT-3.5CF,"Platinum Stainless Steel Corner Flusher - 3.5""",Platinum Drywall Tools,direct-category,Platinum 3.5 inch corner finisher for largest size
5,automatic-taping-tool-cases,Automatic Taping Tool Cases,2-3 genuine cases with one optionally open,1,gun-case,Gun case,1,columbia_tools_tcs_02.webp,TCS,Columbia Tool Case Gun Case,Columbia Tools,direct-category,Closed authentic gun-case configuration
5,automatic-taping-tool-cases,Automatic Taping Tool Cases,2-3 genuine cases with one optionally open,1,gun-case,Gun case,2,columbia_tools_tcs_01.webp,TCS,Columbia Tool Case Gun Case,Columbia Tools,direct-category,Open case with authentic equipment
5,automatic-taping-tool-cases,Automatic Taping Tool Cases,2-3 genuine cases with one optionally open,2,road-case,Road case,1,columbia_tools_rc_01.webp,RC,Columbia Tool Case Road Case,Columbia Tools,direct-category,Open high-capacity case
5,automatic-taping-tool-cases,Automatic Taping Tool Cases,2-3 genuine cases with one optionally open,2,road-case,Road case,2,columbia_tools_rc_02.webp,RC,Columbia Tool Case Road Case,Columbia Tools,direct-category,Alternate open equipment layout
6,automatic-taping-tool-sets,Automatic Taping Tool Sets,2-3 genuine complete tool systems arranged as kits,1,columbia-tactical-set,Columbia Tactical Set,1,columbia_tools_ts_01.webp,TS,Columbia Tactical Set,Columbia Tools,direct-category,Complete kit shown in open road case
6,automatic-taping-tool-sets,Automatic Taping Tool Sets,2-3 genuine complete tool systems arranged as kits,1,columbia-tactical-set,Columbia Tactical Set,2,platinum_pt_fin_01.webp,PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,kit-evidence,Platinum complete finishing set as alternate complete-system kit evidence
6,automatic-taping-tool-sets,Automatic Taping Tool Sets,2-3 genuine complete tool systems arranged as kits,2,level5-ultimate-set,LEVEL5 Ultimate Taping and Finishing Set,1,level5_4_677p_01.webp,4-677P,LEVEL5 Ultimate Taping and Finishing Set,LEVEL5,direct-category,Complete red system isolated as a kit
6,automatic-taping-tool-sets,Automatic Taping Tool Sets,2-3 genuine complete tool systems arranged as kits,2,level5-ultimate-set,LEVEL5 Ultimate Taping and Finishing Set,2,platinum_pt_fin_01.webp,PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,kit-evidence,Platinum complete finishing set as an additional kit reference
6,automatic-taping-tool-sets,Automatic Taping Tool Sets,2-3 genuine complete tool systems arranged as kits,3,tapetech-full-set,TapeTech Standard Full Set,1,tapetech_ttsfs2_01.webp,TTSFS-2,TapeTech Standard Full Set with 2 Pumps,TapeTech,direct-category,Complete system with strong brand-color cohesion
6,automatic-taping-tool-sets,Automatic Taping Tool Sets,2-3 genuine complete tool systems arranged as kits,3,tapetech-full-set,TapeTech Standard Full Set,2,tapetech_ttsfs2_02.webp,TTSFS-2,TapeTech Standard Full Set with 2 Pumps,TapeTech,direct-category,Alternate complete-system arrangement
6,automatic-taping-tool-sets,Automatic Taping Tool Sets,2-3 genuine complete tool systems arranged as kits,3,tapetech-full-set,TapeTech Standard Full Set,3,platinum_pt_fin_01.webp,PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Tools,kit-evidence,Platinum complete finishing set as kit reference for category composition
7,box-fillers,Box Fillers,Several authentic box fillers with dimensional variation,1,columbia-box-filler,Columbia box filler,1,columbia_tools_bf_01.webp,COL-BOX-FILLER,Columbia Box Filler,Columbia Tools,direct-category,Complete filler with chain and curved base
7,box-fillers,Box Fillers,Several authentic box fillers with dimensional variation,1,columbia-box-filler,Columbia box filler,2,columbia_tools_tbbf_01.webp,COL-BOX-FILLER,Columbia Box Filler,Columbia Tools,direct-category,Compact alternate component profile
7,box-fillers,Box Fillers,Several authentic box fillers with dimensional variation,2,level5-box-filler,LEVEL5 box filler,1,level5_4_715_01.webp,4-715,LEVEL5 Box Filler,LEVEL5,direct-category,Small cylindrical filler geometry
7,box-fillers,Box Fillers,Several authentic box fillers with dimensional variation,3,platinum-box-filler,Platinum box filler,1,platinum_pt_bf_01.webp,PT-BF,Platinum Box Filler Attachment,Platinum Drywall Tools,direct-category,Tall flared filler geometry
8,corner-boxes,Corner Boxes,3 authentic corner or angle boxes,1,7-inch-throttle-box,7 inch throttle corner box,1,columbia_tools_7cfb_01.webp,COL-THROTTLE-CORNER-FLUSHER-BOX,Columbia Throttle Corner Flusher Box 7 inch,Columbia Tools,direct-category,Authentic smaller corner-box size
8,corner-boxes,Corner Boxes,3 authentic corner or angle boxes,1,7-inch-throttle-box,7 inch throttle corner box,2,platinum_pt_ca8_01.webp,PT-CA8,"Platinum 8"" Corner Applicator",Platinum Drywall Tools,cross-taxonomy,Platinum corner applicator reference for corner-box-like composition; cataloged under compound applicators
8,corner-boxes,Corner Boxes,3 authentic corner or angle boxes,2,8-inch-throttle-box,8 inch throttle corner box,1,columbia_tools_8cfb_01.webp,COL-THROTTLE-CORNER-FLUSHER-BOX,Columbia Throttle Corner Flusher Box 8 inch,Columbia Tools,direct-category,Authentic larger corner-box size
8,corner-boxes,Corner Boxes,3 authentic corner or angle boxes,2,8-inch-throttle-box,8 inch throttle corner box,2,platinum_pt_oca_01.webp,PT-OCA,Platinum 90° Corner Applicator - Outside,Platinum Drywall Tools,cross-taxonomy,Platinum outside corner applicator reference for corner box composition; cataloged under compound applicators
8,corner-boxes,Corner Boxes,3 authentic corner or angle boxes,3,tapetech-angle-box,TapeTech angle corner finisher,1,tapetech_40xtt_01.webp,TT-CORNER-FINISHER,TapeTech Corner Finisher 2.5 inch,TapeTech,related-angle-tool,Distinct authentic angle-box geometry used to complete requested three-tool composition
8,corner-boxes,Corner Boxes,3 authentic corner or angle boxes,3,tapetech-angle-box,TapeTech angle corner finisher,2,platinum_pt_3_0cf_02.webp,PT-3CF,"Platinum Angle Head Corner Finisher with Wheels - 3""",Platinum Drywall Tools,cross-taxonomy,Platinum angle head/corner finisher reference for corner-box composition
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,1,columbia-corner-roller,Columbia corner roller,1,columbia_tools_cr_04.webp,CR,Columbia Corner Roller,Columbia Tools,direct-category,Long horizontal roller profile
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,1,columbia-corner-roller,Columbia corner roller,2,columbia_tools_cr_05.webp,CR,Columbia Corner Roller,Columbia Tools,direct-category,Alternate underside profile
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,1,columbia-corner-roller,Columbia corner roller,3,platinum_pt_cr_02.webp,PT-CR,Platinum Corner Roller - Inside,Platinum Drywall Tools,direct-category,Platinum inside corner roller alternate
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,2,level5-corner-roller,LEVEL5 corner roller,1,level5_4_707_01.webp,4-707,LEVEL5 Corner Roller,LEVEL5,direct-category,Strong red horizontal silhouette
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,2,level5-corner-roller,LEVEL5 corner roller,2,platinum_pt_cre_01.webp,PT-CRE,Platinum Corner Roller - ECO Inside,Platinum Drywall Tools,direct-category,Platinum ECO inside corner roller alternate
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,3,platinum-corner-roller,Platinum corner roller,1,platinum_pt_cr_01.webp,PT-CORNER-ROLLER,Platinum Corner Roller,Platinum Drywall Tools,direct-category,Vertical multi-wheel geometry
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,4,tapetech-corner-roller,TapeTech corner roller,1,tapetech_15tte_01.webp,TT-CORNER-ROLLER,TapeTech Corner Roller,TapeTech,direct-category,Vertical two-wing roller geometry
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,4,tapetech-corner-roller,TapeTech corner roller,2,tapetech_17tt_01.webp,TT-CORNER-ROLLER,TapeTech Outside Corner Roller,TapeTech,direct-category,Distinct outside-corner roller alternative
9,corner-rollers,Corner Rollers,3-4 authentic corner rollers,4,tapetech-corner-roller,TapeTech corner roller,3,platinum_pt_ocr_01.webp,PT-OCR,Platinum Corner Roller - Outside 90°,Platinum Drywall Tools,direct-category,Platinum outside 90 degree corner roller alternate
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,1,level5-applicator-handle,LEVEL5 extendable applicator handle,1,level5_4_794_01.webp,LV5-CORNER-HANDLE-APPLICATOR-EXT,LEVEL5 Corner Applicator Handle Extendable,LEVEL5,direct-category,Two-piece extended-state reference
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,1,level5-applicator-handle,LEVEL5 extendable applicator handle,2,level5_4_798_01.webp,LV5-CORNER-HANDLE-APPLICATOR-EXT,LEVEL5 Corner Applicator Handle Extendable,LEVEL5,direct-category,Alternate extension length
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,1,level5-applicator-handle,LEVEL5 extendable applicator handle,3,platinum_pt_ext3in1_1_03.webp,PT-EXT3IN1-1,Platinum Extendable Angle Head Handle,Platinum Drywall Tools,direct-category,Platinum extendable angle-head handle as same-family handle reference
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,2,level5-finisher-handle,LEVEL5 extendable finisher handle,1,level5_4_795_01.webp,LV5-CORNER-HANDLE-FINISHER-EXT,LEVEL5 Corner Finisher Handle Extendable,LEVEL5,direct-category,Ball-head mechanism visible
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,2,level5-finisher-handle,LEVEL5 extendable finisher handle,2,level5_4_799_01.webp,LV5-CORNER-HANDLE-FINISHER-EXT,LEVEL5 Corner Finisher Handle Extendable,LEVEL5,direct-category,Alternate extension length
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,2,level5-finisher-handle,LEVEL5 extendable finisher handle,3,platinum_pt_ebh_01.webp,PT-EBH,"Platinum Extendable Flat Box Handle 40"" – 64""",Platinum Drywall Tools,direct-category,Platinum extendable flat box handle as extendable-handle reference
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,3,platinum-3-in-1-handle,Platinum extendable angle-head handle,1,platinum_pt_ext3in1_1_01.webp,PT-EXT3IN1-1,Platinum Extendable Angle Head Handle,Platinum Drywall Tools,direct-category,Curved mechanism with separated extension
10,extendable-handles,Extendable Handles,3 authentic handles partially extended at different lengths,3,platinum-3-in-1-handle,Platinum extendable angle-head handle,2,platinum_pt_ext3in1_1_02.webp,PT-EXT3IN1-1,Platinum Extendable Angle Head Handle,Platinum Drywall Tools,direct-category,Assembled alternate configuration
11,fixed-handles,Fixed Handles,3-4 authentic fixed handles,1,level5-corner-roller-handle,LEVEL5 corner roller handle,1,level5_4_777_01.webp,LV5-CORNER-ROLLER-HANDLE,LEVEL5 Corner Roller Handle,LEVEL5,direct-category,Long fixed red handle
11,fixed-handles,Fixed Handles,3-4 authentic fixed handles,1,level5-corner-roller-handle,LEVEL5 corner roller handle,2,platinum_pt_crh50_01.webp,PT-CRH50,"Platinum 50"" Corner Tool Handle - Corner Roller",Platinum Drywall Tools,direct-category,Platinum fixed corner roller handle reference
11,fixed-handles,Fixed Handles,3-4 authentic fixed handles,2,level5-50-inch-handle,LEVEL5 50 inch fixed handle,1,level5_4_778_01.webp,LV5-FIXED-HANDLE-50,LEVEL5 50 inch Fixed Handle,LEVEL5,direct-category,Distinct bent fixed-handle geometry
11,fixed-handles,Fixed Handles,3-4 authentic fixed handles,2,level5-50-inch-handle,LEVEL5 50 inch fixed handle,2,platinum_pt_cfh50_01.webp,PT-CFH50,"Platinum 50"" Corner Tool Handle - Angle Head",Platinum Drywall Tools,direct-category,Platinum fixed angle-head handle reference
11,fixed-handles,Fixed Handles,3-4 authentic fixed handles,3,platinum-corner-tool-handle,Platinum 50 inch corner-tool handle,1,platinum_pt_cah50_01.webp,PT-CORNER-HANDLE-50,Platinum 50 inch Corner Tool Handle,Platinum Drywall Tools,direct-category,Long silver fixed handle
11,fixed-handles,Fixed Handles,3-4 authentic fixed handles,3,platinum-corner-tool-handle,Platinum 50 inch corner-tool handle,2,platinum_pt_crh50_02.webp,PT-CORNER-HANDLE-50,Platinum 50 inch Corner Tool Handle,Platinum Drywall Tools,direct-category,Alternate branded end-detail reference
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,1,columbia-matrix-handle,Columbia Matrix handle,1,columbia_tools_mhs_01.webp,COL-MATRIX-FLAT-BOX-HANDLE,Columbia Matrix Flat Box Handle,Columbia Tools,direct-category,Complete black inline mechanism
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,1,columbia-matrix-handle,Columbia Matrix handle,2,columbia_tools_mh_01.webp,COL-MATRIX-FLAT-BOX-HANDLE,Columbia Matrix Flat Box Handle,Columbia Tools,direct-category,Alternate length and orientation
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,1,columbia-matrix-handle,Columbia Matrix handle,3,platinum_pt_bh34_01.webp,PT-BH34,"Platinum Flat Box Handle - 34""",Platinum Drywall Tools,direct-category,Platinum 34 inch flat box handle reference
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,2,tapetech-brakeless-handle,TapeTech brakeless handle,1,tapetech_bhesw_01.webp,BHE-SW,TapeTech Brakeless Box Handle with Swivel,TapeTech,direct-category,Handle with attached box and pivot mechanism
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,2,tapetech-brakeless-handle,TapeTech brakeless handle,2,tapetech_bhesw_02.webp,TT-BRAKELESS-BOX-HANDLE,TapeTech Brakeless Box Handle,TapeTech,direct-category,Detached compact mechanism view
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,2,tapetech-brakeless-handle,TapeTech brakeless handle,3,platinum_pt_bh54_01.webp,PT-BH54,"Platinum Flat Box Handle - 54""",Platinum Drywall Tools,direct-category,Platinum 54 inch flat box handle reference
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,3,platinum-extendable-handle,Platinum extendable flat-box handle,1,platinum_pt_ebh_01.webp,PT-EBH,Platinum Extendable Flat Box Handle,Platinum Drywall Tools,direct-category,Full vertical extendable handle
12,flat-box-handles,Flat Box Handles,3 authentic flat-box handles with visibly different mechanisms,3,platinum-extendable-handle,Platinum extendable flat-box handle,2,platinum_pt_ebh_02.webp,PT-EBH,Platinum Extendable Flat Box Handle,Platinum Drywall Tools,direct-category,Close mechanism alternative
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,1,7-inch-box,7 inch flat box,1,tapetech_ez07tt_01.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 7 inch,TapeTech,direct-category,Smallest full-product view
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,1,7-inch-box,7 inch flat box,2,tapetech_ez07tt_02.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 7 inch,TapeTech,direct-category,Frontal alternate preserving size cue
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,1,7-inch-box,7 inch flat box,3,platinum_pt_8fb_01.webp,PT-8FB,"Platinum Flat Finishing Box - 8""",Platinum Drywall Tools,adjacent-size,Closest available Platinum small flat finishing box; no 7 inch Platinum media in catalog
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,2,10-inch-box,10 inch flat box,1,tapetech_ez10tt_01.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 10 inch,TapeTech,direct-category,Three-quarter full-product view
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,2,10-inch-box,10 inch flat box,2,tapetech_ez10tt_02.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 10 inch,TapeTech,direct-category,Alternate angle
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,2,10-inch-box,10 inch flat box,3,platinum_pt_10fb_01.webp,PT-10FB,"Platinum Flat Finishing Box - 10""",Platinum Drywall Tools,direct-category,Platinum 10 inch flat finishing box
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,3,12-inch-box,12 inch flat box,1,tapetech_ez12tt_01.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 12 inch,TapeTech,direct-category,Three-quarter full-product view
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,3,12-inch-box,12 inch flat box,2,tapetech_ez12tt_02.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 12 inch,TapeTech,direct-category,Alternate angle
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,3,12-inch-box,12 inch flat box,3,platinum_pt_fb12_01.webp,PT-12FB,"Platinum Flat Finishing Box - 12""",Platinum Drywall Tools,direct-category,Platinum 12 inch flat finishing box
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,4,15-inch-box,15 inch flat box,1,tapetech_ez15tt_01.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 15 inch,TapeTech,direct-category,Largest full-product view
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,4,15-inch-box,15 inch flat box,2,tapetech_ez15tt_02.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box 15 inch,TapeTech,direct-category,Frontal alternate preserving size cue
13,flat-boxes,Flat Boxes,4 authentic boxes arranged by size,4,15-inch-box,15 inch flat box,3,platinum_pt_14fb_01.webp,PT-14FB,"Platinum Flat Finishing Box - 14""",Platinum Drywall Tools,direct-category,Platinum 14 inch flat finishing box; closest cataloged Platinum large box
14,goosenecks,Goosenecks,3-4 genuine goosenecks with clean overlapping geometry,1,columbia-gooseneck,Columbia gooseneck,1,columbia_tools_gn_01.webp,COL-GOOSENECK,Columbia Gooseneck,Columbia Tools,direct-category,Wide low-profile hook
14,goosenecks,Goosenecks,3-4 genuine goosenecks with clean overlapping geometry,2,level5-gooseneck,LEVEL5 gooseneck,1,level5_4_714_01.webp,4-714,LEVEL5 Gooseneck,LEVEL5,direct-category,Tall narrow hook geometry
14,goosenecks,Goosenecks,3-4 genuine goosenecks with clean overlapping geometry,3,platinum-gooseneck,Platinum gooseneck,1,platinum_pt_gn_01.webp,PT-GN,Platinum Gooseneck,Platinum Drywall Tools,direct-category,Long diagonal loop geometry
14,goosenecks,Goosenecks,3-4 genuine goosenecks with clean overlapping geometry,4,tapetech-gooseneck,TapeTech gooseneck,1,tapetech_85t_01.webp,TT-GOOSENECK,TapeTech Gooseneck,TapeTech,direct-category,Wide loop and filler head
14,goosenecks,Goosenecks,3-4 genuine goosenecks with clean overlapping geometry,4,tapetech-gooseneck,TapeTech gooseneck,2,tapetech_85t_02.webp,TT-GOOSENECK,TapeTech Gooseneck,TapeTech,direct-category,Alternate upright hook
15,loading-pumps,Loading Pumps,3 genuine loading pumps,1,columbia-hot-mud-pump,Columbia hot-mud pump,1,columbia_tools_hmp_01.webp,COL-HOT-MUD-PUMP,Columbia Hot Mud Pump,Columbia Tools,direct-category,Compact black pump
15,loading-pumps,Loading Pumps,3 genuine loading pumps,2,level5-compound-pump,LEVEL5 compound pump,1,level5_4_771_01.webp,4-771,LEVEL5 Compound Pump,LEVEL5,direct-category,Complete red-cylinder pump
15,loading-pumps,Loading Pumps,3 genuine loading pumps,2,level5-compound-pump,LEVEL5 compound pump,2,platinum_pt_cp_01.webp,PT-CP,Platinum Drywall Pump w/Filler,Platinum Drywall Tools,direct-category,Platinum drywall pump with filler as pump-family match
15,loading-pumps,Loading Pumps,3 genuine loading pumps,3,tapetech-easyclean-pump,TapeTech EasyClean pump,1,tapetech_76tt_01.webp,TT-EASYCLEAN-PUMP,TapeTech EasyClean Pump,TapeTech,direct-category,Complete yellow-cylinder pump
16,nail-spotters,Nail Spotters,3-4 genuine nail spotters,1,columbia-2-inch,Columbia 2 inch nail spotter,1,columbia_tools_2ns_01.webp,COL-NAIL-SPOTTER,Columbia Nail Spotter 2 inch,Columbia Tools,direct-category,Small graduated box
16,nail-spotters,Nail Spotters,3-4 genuine nail spotters,1,columbia-2-inch,Columbia 2 inch nail spotter,2,platinum_pt_2ns_01.webp,PT-2NS,"Platinum Nail Spotter - 2""",Platinum Drywall Tools,direct-category,Platinum 2 inch nail spotter
