Brand,Product Name,SKU,Product Price,Product Description
3M,3M™ N95 Particulate Respirator 8210 (Box of 20),8210,29.99,"3M™ N95 Particulate Respirator 8210 (Box of 20) Designed to help provide comfortable, reliable worker protection against non-oil based particles. 3M™ Particulate Respirator 8210, N95 is a disposable particulate respirator that is designed to help provide reliable respiratory protection of at least 95 percent filtration efficiency against certain non-oil based particles. This respirator is designed for use with particles such as those from grinding, sanding, sweeping, sawing, bagging, or other dusty operations. This respirator incorporates 3M’s proprietary technology with advanced electrostatically charged microfiber filter media designed for ease of breathing. This respirator is compatible with a variety of protective eyewear and hearing protection. Features: NIOSH approved for at least 95 percent filtration efficiency against certain non-oil based particles Two-strap design with welded dual point attachment helps provide a secure seal Cushioning nose foam Lightweight construction promotes greater worker acceptance and may help increase wear time Advanced electrostatic media is designed for ease of breathing 20 - Masks per box"
3M,"Trimaco Masking Paper 9"" X 180'",12909,2.99,"Trimaco General Purpose Masking Paper 9"" X 180' (60yds) General purpose brown masking paper is is ideal for water based materials such as latex, plaster, drywall texture, etc. Ideal for residential and lighter applications, brown masking paper protects from paint overspray and splatters. Features: Paint masking paper is great for masking off trim Easy to tear Protects from overspray and splatters Multiple sizes available Made in the USA"
Adfors,FibaFuse MAX Reinforced Drywall Tape,FDW9146-U,9.99,"FibaFuse MAX Reinforced Drywall Tape FibaFuse MAX is an innovative, reinforced paperless drywall tape designed for professional renovators and remodelers. The porous design eliminates bubbles and blisters, allowing compound to flow through the tape for a stronger bond. Blue reinforcement layer provides maximum crack resistance in flats, butts, corners and repairs when embedded with color-side down. FibaFuse MAX Reinforced Paperless Drywall Tape can be used in automatic taping tools or by hand. For maximum performance, embed mesh color-side down. Features: Added Reinforcement Layer Provides Maximum Crack Resistance Easy To Conceal For A Smooth, Professional Finish Naturally Mold and Mildew Resistant Green Guard Gold Certified 250' Roll"
Adfors,FibaFuse Paperless Wall Reinforcement 3' x 150',FDW8443-U,89.99,"FibaFuse Paperless Wall Reinforcement has been designed specifically for remodelers and drywall installers to reinforce or repair walls and ceilings quickly and easily! By utilizing a porous open fiber design, the joint compound or plaster can flow through to bond and form a smooth overall finish. FibaFuse is also extremely mold-resistant, making it ideal for high-humidity and moisture-prone applications. When existing walls or ceilings show signs of ""spider web"" style cracking FibaFuse Paperless Wall Reinforcement can be used to keep from a total tear-out of the wall. Strong reinforcement– Covers over spider web and alligator cracking Saves time – Restores existing walls without a complete tear-out Professional quality results – Easy to cut, easy to install Smooth, uniform finish – Eliminates blisters and bubbles Mold-resistant – Increased mold protection for a safer environment Open fiber design – Fuses with compound/plaster to create a stronger bond Professional-grade performance – A superior option for demanding applications"
Advance Equipment,"Advance 10"" Blue Steel Offset Drywall Taping Knife",OSG-10,27.99,"Advance 10"" Blue Steel Offset Drywall Taping Knife mode OS-10 Offset Drywall taping knives give you the critical tool angle necessary to achieve smooth, slick finish. The offset handle lets you get the knife blade virtually flat against the wall. The Cool Grip handle is comfortable and has a durable aluminum spine. Advanced offset taping knives are the perfect tool for professionals looking for the highest level of finish. Advance 10"" Blue Steel Offset Drywall Taping Knife Features: Cool Grip handle for maximum comfort Offset Flexible Blue Steel Blade Made in the USA"
Advance Equipment,"Advance 10"" Heli-Arc Round Bottom Mud Pan",10HR,19.99,"Advance 10"" Heli-Arc Round Bottom Mud Pan Smooth, contoured bottom fits naturally in the hand. Allows material to be scooped from the pan easily. Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 10"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed, contoured bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 10"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 10"" Heli-Arc Round Bottom Mud Pan with Grip",10HRG,23.99,"Advance 10"" Heli-Arc Round Bottom Mud Pan with Grip Get a GRIP! - Smooth, contoured bottom fits naturally in the hand. Allows material to be scooped from the pan easily. Attached is a non-slip textured grip for comfort and stability. Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 10"" Mud Pan with Grip Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. 3-1/2"" deep - Pan bottom fits a 10"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 10"" Heli-Arc Welded Stainless Mud Pan",10H,16.99,"Advance 10"" Heli-Arc Drywall Mud Pan Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 10"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 10"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 10"" Stainless Offset Drywall Taping Knife",OSG-10SS,33.99,"Advance 10"" Stainless Steel Offset Drywall Taping Knife mode OS-10S Offset Drywall taping knives give you the critical tool angle necessary to achieve smooth, slick finish. The offset handle lets you get the knife blade virtually flat against the wall. The Cool Grip handle is comfortable and has a durable aluminum spine. Advanced offset taping knives are the perfect tool for professionals looking for the highest level of finish. Advance 10"" Stainless Steel Offset Drywall Taping Knife Features: Cool Grip handle for maximum comfort Offset Flexible Stainless Steel Blade that won’t corrode Made in the USA"
Advance Equipment,"Advance 11"" Adjustable Wipe Down Knife",38011,23.99,"The Advance 11"" Adjustable Wipe Down Knife The latest innovation in Wipedown knives from Advance is here. Now, all the quality you expect from Advance with the added ability to pivot the knife handle. You now have a range of motion to get the angle you need. Whether you are right or left handed this knife can adjust for you. As an added bonus, the 18"" handle is threaded to give the option to add a handle to reach high ceiling joints. The blade is high-grade Stainless Steel and the handle is high-impact plastic with standard thread at the end to add a longer handle. Features 18"" Threaded Handle, Fits Standard Threaded End Poles. Stainless Steel Blade. Easy Adjustable Angle Blade Lock."
Advance Equipment,"Advance 12"" Blue Steel Offset Drywall Taping Knife",OSG-12,28.99,"Advance 12"" Blue Steel Offset Drywall Taping Knife mode OS-12 Offset Drywall taping knives give you the critical tool angle necessary to achieve smooth, slick finish. The offset handle lets you get the knife blade virtually flat against the wall. The Cool Grip handle is comfortable and has a durable aluminum spine. Advanced offset taping knives are the perfect tool for professionals looking for the highest level of finish. Advance 12"" Blue Steel Offset Drywall Taping Knife Features: Cool Grip handle for maximum comfort Offset Flexible Blue Steel Blade Made in the USA"
Advance Equipment,"Advance 12"" Heli-Arc Round Bottom Mud Pan",12HR,20.99,"Advance 12"" Heli-Arc Round Bottom Mud Pan Smooth, contoured bottom fits naturally in the hand. Allows material to be scooped from the pan easily. Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 12"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed, contoured bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 12"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 12"" Heli-Arc Round Bottom Mud Pan with Grip",12HRG,23.99,"Advance 12"" Heli-Arc Round Bottom Mud Pan with Grip Get a GRIP! - Smooth, contoured bottom fits naturally in the hand. Allows material to be scooped from the pan easily. Attached is a non-slip textured grip for comfort and stability. Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 12"" Mud Pan with Grip Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed, contoured bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 12"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 12"" Heli-Arc Welded Stainless Mud Pan",12H,17.99,"Advance 12"" Heli-Arc Drywall Mud Pan Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 12"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 12"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 12"" Mud Pan & Tape Holder",PH12,20.99,"Advance 12"" Mud Pan & Tape Holder Light-Weight all aluminum construction. Hooks to your belt where you can easily scoop mud from the pan and hands stay free to work. Hook below pan holds a 500' roll of tape. Replaces KFTDW207"
Advance Equipment,"Advance 12"" Stainless Offset Drywall Taping Knife",OSG-12SS,34.99,"Advance 12"" Stainless Steel Offset Drywall Taping Knife mode OS-12S Offset Drywall taping knives give you the critical tool angle necessary to achieve smooth, slick finish. The offset handle lets you get the knife blade virtually flat against the wall. The Cool Grip handle is comfortable and has a durable aluminum spine. Advanced offset taping knives are the perfect tool for professionals looking for the highest level of finish. Advance 12"" Stainless Steel Offset Drywall Taping Knife Features: Cool Grip handle for maximum comfort Offset Flexible Stainless Steel Blade that won’t corrode Made in the USA"
Advance Equipment,"Advance 12"" Stainless Steel Offset Box Trail Knife",OST-12SS,39.99,"Advance 12"" Stainless Box Trail Taping Knife"
Advance Equipment,"Advance 14"" Blue Steel Offset Drywall Taping Knife",OSG-14,29.99,"Advance 14"" Blue Steel Offset Drywall Taping Knife mode OS-14 Offset Drywall taping knives give you the critical tool angle necessary to achieve smooth, slick finish. The offset handle lets you get the knife blade virtually flat against the wall. The Cool Grip handle is comfortable and has a durable aluminum spine. Advanced offset taping knives are the perfect tool for professionals looking for the highest level of finish. Advance 14"" Blue Steel Offset Drywall Taping Knife Features: Cool Grip handle for maximum comfort Offset Flexible Blue Steel Blade Made in the USA"
Advance Equipment,"Advance 14"" Heli-Arc Round Bottom Mud Pan",14HR,21.99,"Advance 14"" Heli-Arc Round Bottom Mud Pan Smooth, contoured bottom fits naturally in the hand. Allows material to be scooped from the pan easily. Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 14"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed, contoured bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 14"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 14"" Heli-Arc Round Bottom Mud Pan with Grip",14HRG,24.99,"Advance 14"" Heli-Arc Round Bottom Mud Pan with Grip Get a GRIP! - Smooth, contoured bottom fits naturally in the hand. Allows material to be scooped from the pan easily. Attached is a non-slip textured grip for comfort and stability. Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 14"" Mud Pan with Grip Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed, contoured bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 14"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 14"" Heli-Arc Welded Stainless Mud Pan",14H,18.99,"Advance 14"" Heli-Arc Drywall Mud Pan Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 14"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 14"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 14"" Stainless Offset Drywall Taping Knife",OSG-14SS,35.99,"Advance 14"" Stainless Steel Offset Drywall Taping Knife mode OS-14S Offset Drywall taping knives give you the critical tool angle necessary to achieve smooth, slick finish. The offset handle lets you get the knife blade virtually flat against the wall. The Cool Grip handle is comfortable and has a durable aluminum spine. Advanced offset taping knives are the perfect tool for professionals looking for the highest level of finish. Advance 14"" Stainless Steel Offset Drywall Taping Knife Features: Cool Grip handle for maximum comfort Offset Flexible Stainless Steel Blade that won’t corrode Made in the USA"
Advance Equipment,"Advance 16"" Stainless Steel Offset Box Trail Knife",OST-16SS,46.99,Advance 16” Stainless Box Trail Taping Knife
Advance Equipment,"Advance 18"" Heli-Arc Welded Stainless Mud Pan",18H,26.99,"Advance 18"" Heli-Arc Drywall Mud Pan Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 18"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits an 18"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 18"" Lexan Knockdown Knife",K18,25.99,"Advance 18"" Lexan Knockdown Knife ""Goof-Proof"" Knockdown Knife Excellent for hard to reach areas Sturdy construction White/Transparent Flexible Lexan Threaded Handle for use with or without extension pole Available in 18"" & 24"" sizes"
Advance Equipment,"Advance 18"" Wide Blade Drywall Knife Long Handle",AL18-4LH,27.99,"Advance 18"" Wide Blade Drywall Skimming Knife with Long Wood Handle model AL18-4LH Advance wide drywall taping knives are great for skimming wide areas or creating unique textures like skip trowel texture, knockdown textures and more. Load up compound with the wide blade, and reach high with this unique drywall knife. Advance 18"" Wide Blade Drywall Skimming Knife Features Tempered blade with aluminum back mount 16"" Wood Handle for Extra Reach Wide Blade (5.625"" with holder) Holds More Material Made in USA"
Advance Equipment,"Advance 18"" Wide Blade Drywall Skimming Knife",AL18-46P,28.99,"Advance 18"" Wide Blade Drywall Skimming Knife model AL18-46P Advance wide drywall taping knives are great for skimming wide areas or creating unique textures like skip trowel texture, knockdown textures and more. The handle end is threaded for screwing in extension poles – making reaching ceiling lids a little easier. Load up compound with the wide blade, and reach high with this unique drywall knife. Advance 18"" Wide Blade Drywall Skimming Knife Features Tempered blade with aluminum back mount 6"" Plastic Handle with Threaded End to easily add extension poles Wide Blade (5.625"" with holder) Holds More Material Made in USA"
Advance Equipment,"Advance 20"" Wide Blade Drywall Knife Long Handle",AL20-4LH,33.99,"Advance 20"" Wide Blade Drywall Skimming Knife with Long Wood Handle model AL20-4LH Advance wide drywall taping knives are great for skimming wide areas or creating unique textures like skip trowel texture, knockdown textures and more. Load up compound with the wide blade, and reach high with this unique drywall knife. Advance 20"" Wide Blade Drywall Skimming Knife Features Tempered blade with aluminum back mount 16"" Wood Handle for Extra Reach Wide Blade (5.625"" with holder) Holds More Material Made in USA"
Advance Equipment,"Advance 20"" Wide Blade Drywall Skimming Knife",AL20-46P,33.99,"Advance 20"" Wide Blade Drywall Skimming Knife model AL20-46P Advance wide drywall taping knives are great for skimming wide areas or creating unique textures like skip trowel texture, knockdown textures and more. The handle end is threaded for screwing in extension poles – making reaching ceiling lids a little easier. Load up compound with the wide blade, and reach high with this unique drywall knife. Advance 20"" Wide Blade Drywall Skimming Knife Features Tempered blade with aluminum back mount 6"" Plastic Handle with Threaded End to easily add extension poles Wide Blade (5.625"" with holder) Holds More Material Made in USA"
Advance Equipment,"Advance 24"" Heli-Arc Welded Stainless Mud Pan",24H,35.99,"Advance 24"" Heli-Arc Drywall Mud Pan Advance makes drywall tools in the USA for drywall pros. Advance drywall mud pans are constructed with high quality materials and precision welds that stand up to the toughest drywall jobs. Every Advance drywall mud pan has comfort fit narrow bottoms. Advance 24"" Mud Pan Features: Durable Stainless Steel Construction - Rust and Maintenance Fee Smooth, Heli-Arc Welds - won't catch your knife and are leak proof. Narrowed bottom that is comfortable and easy to handle 3-1/2"" deep - Pan bottom fits a 24"" Knife MADE IN USA QUALITY"
Advance Equipment,"Advance 24"" Lexan Knockdown Knife",K24,28.99,"Advance 24"" Lexan Knockdown Knife ""Goof-Proof"" Knockdown Knife Excellent for hard to reach areas Sturdy construction White/Transparent Flexible Lexan Threaded Handle for use with or without extension pole Available in 18"" & 24"" sizes"
