sku,brand,name,dtb_regular_price,competitor_price,match_confidence,source,retrieved
4-734,LEVEL5,"LEVEL5 Corner Finisher - 3.5""",416.07,416.07,exact_match,https://www.level5tools.com/automatic-finishing/corner-finishers/,2026-08-09
4-735,LEVEL5,"LEVEL5 Corner Finisher - 4""",425.42,425.42,exact_match,https://www.level5tools.com/automatic-finishing/corner-finishers/,2026-08-09
4-795,LEVEL5,"LEVEL5 Corner Finisher Handle (Ext) - 31""-50""",186.98,186.98,exact_match,https://www.level5tools.com/automatic-finishing/corner-finishers/,2026-08-09
4-799,LEVEL5,"LEVEL5 Corner Finisher Handle (Ext) - 43""-72""",205.68,205.68,exact_match,https://www.level5tools.com/automatic-finishing/corner-finishers/,2026-08-09
4-779,LEVEL5,"LEVEL5 50"" Fixed Handle - Corner Finisher",92.22,92.22,close_match,"level5tools.com lists 4-779 as 54"" fixed-length handle w/ corner finisher adapter at same price; https://www.level5tools.com/automatic-finishing/corner-finishers/",2026-08-09
D14-22,Dura-Stilts,"Dura-III Adjustable 14""-22""",400.00,400.00,exact_match,https://www.all-wall.com/shop-by-brand/dura-stilts-drywall-stilts,2026-08-09
D18-30,Dura-Stilts,"Dura-III Adjustable 18""-30""",415.00,415.00,exact_match,https://www.all-wall.com/shop-by-brand/dura-stilts-drywall-stilts,2026-08-09
D24-40,Dura-Stilts,"Dura-III Adjustable 24""-40""",435.00,435.00,exact_match,https://www.all-wall.com/shop-by-brand/dura-stilts-drywall-stilts,2026-08-09
D38-64,Dura-Stilts,"Dura-III Adjustable 38""-64""",584.00,584.00,exact_match,https://www.all-wall.com/shop-by-brand/dura-stilts-drywall-stilts,2026-08-09
S1-A-1624,SurPro,"SurPro S1 Aluminum 16""-24""",322.00,322.00,exact_match,"stilts.com (brand-direct) 'S1 Aluminum from $322.00'; https://stilts.com/collections/drywall-stilts",2026-08-09
S1-M-1624,SurPro,"SurPro S1 Magnesium 16""-24""",368.00,368.00,exact_match,https://stilts.com/collections/drywall-stilts,2026-08-09
S2-A-1624,SurPro,"SurPro S2 Aluminum 16""-24""",356.00,356.00,exact_match,https://stilts.com/collections/drywall-stilts,2026-08-09
S2-M-1624,SurPro,"SurPro S2 Magnesium 16""-24""",395.00,395.00,exact_match,https://stilts.com/collections/drywall-stilts,2026-08-09
S1X-A-2131,SurPro,"SurPro S1X Aluminum 21""-31""",407.00,407.00,close_match,"stilts.com lists S1X Aluminum at flat $407.00 (no per-height breakout); https://stilts.com/collections/drywall-stilts",2026-08-09
S1X-M-2131,SurPro,"SurPro S1X Magnesium 21""-31""",430.00,430.00,close_match,"stilts.com 'S1X Magnesium from $430.00'; https://stilts.com/collections/drywall-stilts",2026-08-09
S2X-A-2640,SurPro,"SurPro S2X Aluminum 26""-40""",457.00,457.00,close_match,"stilts.com 'S2X Aluminum from $457.00'; https://stilts.com/collections/drywall-stilts",2026-08-09
S2X-M-2131,SurPro,"SurPro S2X Magnesium 21""-31""",479.00,479.00,close_match,"stilts.com 'S2X Magnesium from $479.00' (listed sold out); https://stilts.com/collections/drywall-stilts",2026-08-09
EZ10TT,TapeTech,"TapeTech EasyClean Finishing Box - 10""",389.00,389.00,exact_match,https://www.all-wall.com/TapeTech-FlatBox-EZ10TT,2026-08-09
40XTT,TapeTech,"TapeTech Corner Finisher - 2""",389.00,389.00,exact_match,"Wall Tools listed price for TAPE-40TT; https://walltools.com/tapetech-angle-head-corner-finisher-TAPE-40tt-42tt-45tt-48tt-48xtt/",2026-08-09
42TT,TapeTech,"TapeTech Corner Finisher - 2.5""",399.00,389.00,exact_match,https://walltools.com/tapetech-angle-head-corner-finisher-TAPE-40tt-42tt-45tt-48tt-48xtt/,2026-08-09
48TT,TapeTech,"TapeTech Corner Finisher - 3"" EasyRoll",429.00,429.00-465.00,exact_match,"Wall Tools $429.00; Great Lakes Taping Tools $465.00 - range reported, not averaged; https://walltools.com/tapetech-angle-head-corner-finisher-TAPE-40tt-42tt-45tt-48tt-48xtt/",2026-08-09
48XTT,TapeTech,"TapeTech Corner Finisher - 3.5"" EasyRoll",439.00,429.00,exact_match,"Wall Tools lists 48TT/48XTT adjustable at $429.00; https://walltools.com/tapetech-angle-head-corner-finisher-TAPE-40tt-42tt-45tt-48tt-48xtt/",2026-08-09
07TT,TapeTech,TapeTech EasyClean Automatic Taper - Standard,1599.00,1599.00,exact_match,"eBay catalog listing (free shipping) surfaced via search; weaker source than a distributor page - reverify before locking; https://www.ebay.com/p/1934370107",2026-08-09
10FFB,Columbia Tools,"Columbia Flat Finisher Box - 10""",375.00,360.89-400.99,exact_match,"All-Wall product page $400.99; All-Wall brand listing shows same item on sale at $360.89 (was $481.19) - range reported; https://www.all-wall.com/Columbia-FlatBox-10FFB",2026-08-09
14FFB,Columbia Tools,"Columbia Flat Finisher Box - 14""",384.00,379.79,exact_match,"All-Wall brand listing sale price (was $506.39); https://www.all-wall.com/shop-by-brand/columbia-taping-tools",2026-08-09
TAPER,Columbia Tools,Columbia Automatic Taper - Standard 53 in.,1683.00,1484.36,exact_match,"All-Wall sale price (was $1979.15); https://www.all-wall.com/shop-by-brand/columbia-taping-tools",2026-08-09
STAPER,Columbia Tools,Columbia Automatic Taper - Sawed Off 39 in.,1683.00,1484.36,exact_match,"All-Wall 'Sawed Off' Mini Automatic Taper sale price (was $1979.15); https://www.all-wall.com/shop-by-brand/columbia-taping-tools",2026-08-09
PTAPER,Columbia Tools,Columbia One Predator Taper,1838.55,1654.70,exact_match,"All-Wall PREDATOR Carbon Fiber Automatic Taper sale price (was $2206.26); https://www.all-wall.com/shop-by-brand/columbia-taping-tools",2026-08-09
HMP,Columbia Tools,Columbia Hot Mud Pump - Standard,363.00,369.89,close_match,"All-Wall 'Columbia Loading Pump' sale price (was $493.19); https://www.all-wall.com/shop-by-brand/columbia-taping-tools",2026-08-09
TBMP,Columbia Tools,Columbia Hot Mud Pump - Tall Boy,473.00,443.69,exact_match,"All-Wall 'Columbia Tall Boy Loading Pump' sale price (was $591.59); https://www.all-wall.com/shop-by-brand/columbia-taping-tools",2026-08-09
2NS,Columbia Tools,"Columbia Nail Spotter - 2""",324.00,297.42,close_match,"Wall Tools Columbia Nail Spotter base price (head-only variant pricing not broken out); https://walltools.com/columbia-nail-spotter-COLM-ns-2ns-3ns-nsh-nsext-nsextl/",2026-08-09
3NS,Columbia Tools,"Columbia Nail Spotter - 3""",324.00,297.42,close_match,"Wall Tools Columbia Nail Spotter base price (head-only variant pricing not broken out); https://walltools.com/columbia-nail-spotter-COLM-ns-2ns-3ns-nsh-nsext-nsextl/",2026-08-09
