Identity Key,Canonical Brand,Canonical Identifier,Retailer Pair,Missing Retailer,Lower-Priced Retailer,Lower Price,Higher-Priced Retailer,Higher Price,Absolute Spread,Spread % vs Lowest,Absolute Spread Bucket,Relative Spread Bucket,Uses Approved Identifier Alias,All-Wall Price,All-Wall Evidence Quality,All-Wall Product Name,All-Wall Strict Identifiers,Al's Taping Tools Price,Al's Taping Tools Evidence Quality,Al's Taping Tools Product Name,Al's Taping Tools Strict Identifiers,Wall Tools Price,Wall Tools Evidence Quality,Wall Tools Product Name,Wall Tools Strict Identifiers
tapetech::810028,TapeTech,810028,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,11.39,Al's Taping Tools,24.03,12.64,110.97,5.01-25.00,>25%,no,11.39,single_observation,TapeTech Swivel Axle 810028,810028,24.03,single_observation,810028 - Swivel Axle,810028,,,,
columbia::fa252,Columbia Tools,fa252,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.15,0.60,109.09,0.26-1.00,>25%,no,1.15,single_observation,FA252 Columbia #8 Star Washer #10453,fa252,,,,,0.55,single_observation,Columbia #8 Star Washer (COLM-FA252),fa252
columbia::fa266,Columbia Tools,fa266,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.15,0.60,109.09,0.26-1.00,>25%,no,1.15,single_observation,FA266 Columbia 8-32 X 1in Flat Head Screw #6026,fa266,,,,,0.55,single_observation,Columbia 8-32 x 1 Flat Slot (COLM-FA266),fa266
columbia::fa220,Columbia Tools,fa220,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.10,0.55,100.00,0.26-1.00,>25%,no,1.10,single_observation,FA220 Columbia 4-40 X 3/4in Bind Head Screw #6006,fa220,,,,,0.55,single_observation,Columbia 4-40 x 3/4 Binder Slot (COLM-FA220),fa220
tapetech::ctvlv,TapeTech,ctvlv,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,1349.00,Al's Taping Tools,2690.60,1341.60,99.45,>25.00,>25%,no,1349.00,single_observation,TapeTech Continuous Flow RF Controller CTVLV,ctvlv,2690.60,single_observation,TapeTech CF Taper/CF Corner Finisher Flow Controller,ctvlv,,,,
tapetech::051105,TapeTech,051105,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,50.89,Al's Taping Tools,99.69,48.80,95.89,>25.00,>25%,no,50.89,single_observation,TapeTech Side Plate 051105,051105,99.69,single_observation,Side Plate (Near Main Chain) - 051105,051105,,,,
tapetech::16c298,TapeTech,16c298,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,103.87,Al's Taping Tools,202.44,98.57,94.90,>25.00,>25%,no,103.87,single_observation,TapeTech Continuous Flow Hopper Filter 16C298,16c298,202.44,single_observation,TapeTech Replacement Hopper Filter for Bazooka Continuous Flow Pump,16c298,,,,
tapetech::200,TapeTech,200,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,117.29,Wall Tools,226.14,108.85,92.80,>25.00,>25%,no,117.29,single_observation,TapeTech Gooser Assembly 200,200,,,,,226.14,single_observation,TapeTech GOOSER SUB-ASSEMBLY (TAPE-200),200
tapetech::814242,TapeTech,814242,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,35.84,All-Wall,68.49,32.65,91.10,>25.00,>25%,no,68.49,single_observation,"TapeTech 42"" Connector Assy 814242",814242,35.84,single_observation,"814242 - 42"" Connector Assy",814242,,,,
columbia::fa200,Columbia Tools,fa200,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,"FA200 1/16"" X 1/4"" Split Pin #6001",fa200,,,,,0.55,single_observation,Columbia 1/16 x 1/4 Split Pin (COLM-FA200),fa200
columbia::fa201,Columbia Tools,fa201,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA201 Columbia 1/16in X 3/8in Split Pin #6002,fa201,,,,,0.55,single_observation,Columbia 1/16 x 3/8 Split Pin (COLM-FA201),fa201
columbia::fa209,Columbia Tools,fa209,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA209 Columbia 4-40 X 1/8in Flat Head Screw #6004,fa209,,,,,0.55,single_observation,Columbia 4-40 x 1/8 Flat Slot (COLM-FA209),fa209
columbia::fa219,Columbia Tools,fa219,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA219 Columbia 4-40 X 1/2in Fill. Head Screw #6005,fa219,,,,,0.55,single_observation,Columbia 4-40 x 1/2 Fillister Slot (COLM-FA219),fa219
columbia::fa253,Columbia Tools,fa253,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA253 Columbia #8 Flat Washer #6019,fa253,,,,,0.55,single_observation,Columbia #8 Flat Washer (COLM-FA253),fa253
columbia::fa276,Columbia Tools,fa276,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA276 Columbia 10-24 X 7/8 Pan Head Screw #6033,fa276,,,,,0.55,single_observation,Columbia 10-24 x 7/8 in. Binder Slot Screw (COLM-FA276),fa276
columbia::fa278,Columbia Tools,fa278,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA278 Columbia #8 Belleville Washer #6035,fa278,,,,,0.55,single_observation,Columbia #8 Belleville Washer (COLM-FA278),fa278
columbia::fa280,Columbia Tools,fa280,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA280 Columbia #10 Belleville Washer,fa280,,,,,0.55,single_observation,Columbia #10 Belleville Washer (COLM-FA280),fa280
columbia::fa295,Columbia Tools,fa295,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA295 Columbia 1/4-20 X 1/2in Flat Socket #6045,fa295,,,,,0.55,single_observation,Columbia -20 x  in. Flat Head Socket Screw (COLM-FA295),fa295
columbia::fa298,Columbia Tools,fa298,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,FA298 Columbia 1/4-20 X 7/8in Flat Socket #6048,fa298,,,,,0.55,single_observation,Columbia -20 x 7/8 in. Flat Socket Screw (COLM-FA298),fa298
columbia::fa314,Columbia Tools,fa314,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.05,0.50,90.91,0.26-1.00,>25%,no,1.05,single_observation,Columbia Pan Slot COLFA314,fa314,,,,,0.55,single_observation,Columbia 10-24 x 1-1/2 in. Pan Slot Screw (COLM-FA314),fa314
columbia::ct104,Columbia Tools,ct104,Al's Taping Tools vs Wall Tools,All-Wall,Wall Tools,11.64,Al's Taping Tools,22.00,10.36,89.00,5.01-25.00,>25%,no,,,,,22.00,single_observation,Taper Connection Strap - CT104,ct-104,11.64,single_observation,Columbia Crimper lever Connection Strap (COLM-CT104),ct104
tapetech::jk06cstt,TapeTech,jk06cstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,11.99,Al's Taping Tools,21.95,9.96,83.07,5.01-25.00,>25%,no,11.99,single_observation,"TapeTech 6"" Premium Carbon Steel Joint Knife",jk06cstt,21.95,single_observation,"TapeTech 6"" Premium Carbon Steel Joint Knife",jk06cstt,,,,
columbia::fa222,Columbia Tools,fa222,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.55,All-Wall,1.00,0.45,81.82,0.26-1.00,>25%,no,1.00,single_observation,FA222 Columbia 5-40 X 3/8in Bind Head Screw #6008,fa222,,,,,0.55,single_observation,Columbia 5-40 x 3/8 in. Pan Slot Screw (COLM-FA222),fa222
tapetech::219039,TapeTech,219039,Al's Taping Tools vs Wall Tools,All-Wall,Al's Taping Tools,6.25,Wall Tools,11.24,4.99,79.84,1.01-5.00,>25%,no,,,,,6.25,single_observation,219039 - TapeTech Left Skid for Power Assist Boxes,219039,11.24,single_observation,"TapeTech SKID, LEFT (TAPE-219039)",219039
usg-sheetrock::340114,USG Sheetrock Tools,340114,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,13.00,All-Wall,22.99,9.99,76.85,5.01-25.00,>25%,no,22.99,single_observation,"Sheetrock 10"" Classic Blue Steel Drywall Taping Knife",340114,13.00,single_observation,"Sheetrock 10"" Classic Blue Steel Drywall Taping Knife",340114,,,,
columbia::fa261,Columbia Tools,fa261,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.69,All-Wall,1.21,0.52,75.36,0.26-1.00,>25%,no,1.21,single_observation,"8-32 X 3/8"" Socket Hd Screw",fa261,,,,,0.69,single_observation,Columbia 8-32 x 3/8 in. Socket Screw (COLM-FA261),fa261
tapetech::202007,TapeTech,202007,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,13.34,Wall Tools,23.22,9.88,74.06,5.01-25.00,>25%,no,13.34,single_observation,"TapeTech Push Rod, Crown Adjustment 202007",202007,,,,,23.22,single_observation,"TapeTech Push Rod, Crown Adjust (TAPE-202007)",202007
tapetech::602029f,TapeTech,602029f,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,4.60,All-Wall,8.00,3.40,73.91,1.01-5.00,>25%,no,8.00,single_observation,TapeTech Special Rivet 602029F,602029f,,,,,4.60,single_observation,TapeTech SPECIAL RIVET (TAPE-602029F),602029f
tapetech::602045f,TapeTech,602045f,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,4.60,All-Wall,8.00,3.40,73.91,1.01-5.00,>25%,no,8.00,single_observation,TapeTech Special Washer 602045F,602045f,,,,,4.60,single_observation,TapeTech SPECIAL WASHER (TAPE-602045F),602045f
tapetech::880042,TapeTech,880042,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,8.09,All-Wall,13.99,5.90,72.93,5.01-25.00,>25%,no,13.99,single_observation,TapeTech Rubber Grip Handle 880042,880042,8.09,single_observation,Rubber Grip Handle - 880042,880042,,,,
columbia::colsemi,Columbia Tools,colsemi,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,1175.00,Al's Taping Tools,2030.00,855.00,72.77,>25.00,>25%,no,1175.00,single_observation,Columbia Semi-Auto Taping Tool Kit,colsemi,2030.00,single_observation,Columbia Semi-Automatic Starter Set,colsemi,,,,
tapetech::050093f,TapeTech,050093f,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,12.47,Wall Tools,21.37,8.90,71.37,5.01-25.00,>25%,no,12.47,single_observation,TapeTech Taper Wheel 050093F,050093f,,,,,21.37,single_observation,TapeTech Taper Wheel,050093f
tapetech::603031,TapeTech,603031,Al's Taping Tools vs Wall Tools,All-Wall,Al's Taping Tools,5.82,Wall Tools,9.97,4.15,71.31,1.01-5.00,>25%,no,,,,,5.82,single_observation,Special Nut - 603031,603031,9.97,single_observation,TapeTech NUT SPECIAL (TAPE-603031),603031
tapetech::501a,TapeTech,501a,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,42.29,Wall Tools,71.64,29.35,69.40,>25.00,>25%,no,42.29,single_observation,TapeTech Taper Repair Kit 501A,501a,,,,,71.64,single_observation,TapeTech Taper Repair Kit (TAPE-501A),501a
surpro::ss1008,SurPro,ss1008,Al's Taping Tools vs Wall Tools,All-Wall,Wall Tools,12.00,Al's Taping Tools,19.99,7.99,66.58,5.01-25.00,>25%,no,,,,,19.99,single_observation,Sur-Pro Wing Bolt Kit (4 Pack),ss1008,12.00,single_observation,SurPro Stilt Wing Bolt Kit,ss1008
tapetech::jk04sstt,TapeTech,jk04sstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,11.99,Al's Taping Tools,19.95,7.96,66.39,5.01-25.00,>25%,no,11.99,single_observation,"TapeTech 4"" Premium Stainless Steel Joint Knife",jk04sstt,19.95,single_observation,"TapeTech 4"" Premium Stainless Steel Joint Knife",jk04sstt,,,,
tapetech::tk08bstt,TapeTech,tk08bstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,11.99,Al's Taping Tools,19.95,7.96,66.39,5.01-25.00,>25%,no,11.99,single_observation,"TapeTech 8"" Premium Blue Steel Taping Knife",tk08bstt,19.95,single_observation,"TapeTech 8"" Premium Blue Steel Taping Knife",tk08bstt,,,,
tapetech::ck06cstt,TapeTech,ck06cstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,8.99,Al's Taping Tools,14.95,5.96,66.30,5.01-25.00,>25%,no,8.99,single_observation,"TapeTech 6"" Carbon Steel Clipped Joint Knife",ck06cstt,14.95,single_observation,"TapeTech 6"" Carbon Steel Clipped Joint Knife",ck06cstt,,,,
tapetech::jk06sstt,TapeTech,jk06sstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,13.99,Al's Taping Tools,23.26,9.27,66.26,5.01-25.00,>25%,no,13.99,single_observation,"TapeTech 6"" Premium Stainless Steel Joint Knife",jk06sstt,23.26,single_observation,"TapeTech 6"" Premium Stainless Steel Joint Knife",jk06sstt,,,,
tapetech::tk08sstt,TapeTech,tk08sstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,13.99,Al's Taping Tools,22.95,8.96,64.05,5.01-25.00,>25%,no,13.99,single_observation,"TapeTech 8"" Premium Stainless Steel Taping Knife",tk08sstt,22.95,single_observation,"TapeTech 8"" Premium Stainless Steel Taping Knife",tk08sstt,,,,
tapetech::jk05cstt,TapeTech,jk05cstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,10.99,Al's Taping Tools,17.95,6.96,63.33,5.01-25.00,>25%,no,10.99,single_observation,"TapeTech 5"" Premium Carbon Steel Joint Knife",jk05cstt,17.95,single_observation,"TapeTech 5"" Premium Carbon Steel Joint Knife",jk05cstt,,,,
tapetech::051089,TapeTech,051089,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,70.65,Al's Taping Tools,114.42,43.77,61.95,>25.00,>25%,no,70.65,single_observation,TapeTech Side Plate 051089,051089,114.42,single_observation,Side Plate - 051089,051089,,,,
tapetech::jk05sstt,TapeTech,jk05sstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,12.99,Al's Taping Tools,20.95,7.96,61.28,5.01-25.00,>25%,no,12.99,single_observation,"TapeTech 5"" Premium Stainless Steel Joint Knife",jk05sstt,20.95,single_observation,"TapeTech 5"" Premium Stainless Steel Joint Knife",jk05sstt,,,,
tapetech::ch90tt,TapeTech,ch90tt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,99.00,Al's Taping Tools,159.46,60.46,61.07,>25.00,>25%,no,99.00,single_observation,TapeTech 90 mm Cove Applicator Head CH90TT,ch90tt,159.46,single_observation,TapeTech 90 mm Cove Applicator Head CH90TT,ch90tt,,,,
columbia::fa299,Columbia Tools,fa299,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,2.71,All-Wall,4.33,1.62,59.78,1.01-5.00,>25%,no,4.33,single_observation,"1/4-20 X 1-1/2"" Hex Bolt",fa299,,,,,2.71,single_observation,Columbia 1/4-20 x 1-1/2 Hex Bolt (COLM-FA299),fa299
tapetech::jk03sstt,TapeTech,jk03sstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,9.99,Al's Taping Tools,15.95,5.96,59.66,5.01-25.00,>25%,no,9.99,single_observation,"TapeTech 3"" Premium Stainless Steel Joint Knife",jk03sstt,15.95,single_observation,"TapeTech 3"" Premium Stainless Steel Joint Knife",jk03sstt,,,,
tapetech::810029,TapeTech,810029,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,19.79,Al's Taping Tools,31.50,11.71,59.17,5.01-25.00,>25%,no,19.79,single_observation,TapeTech Connector Coupling 810029,810029,31.50,single_observation,810029 - Connector Coupling,810029,,,,
tapetech::050145,TapeTech,050145,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,12.79,Wall Tools,20.29,7.50,58.64,5.01-25.00,>25%,no,12.79,single_observation,TapeTech Creaser Chain 050145,050145,,,,,20.29,single_observation,TapeTech Creaser Chain,050145
tapetech::400005,TapeTech,400005,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,8.39,Wall Tools,13.29,4.90,58.40,1.01-5.00,>25%,no,8.39,single_observation,"TapeTech 2"" Blade Tension Spring 400005",400005,,,,,13.29,single_observation,TapeTech Blade Tension Spring (TAPE-400005),400005
tapetech::700036,TapeTech,700036,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,16.29,Wall Tools,25.80,9.51,58.38,5.01-25.00,>25%,no,16.29,single_observation,TapeTech 5/16-24 X 1-7/16 Stud 700036,700036,,,,,25.80,single_observation,TapeTech 5/16-24X1 7/16 STD SCREW (TAPE-700036),700036
tapetech::882013,TapeTech,882013,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,8.89,Wall Tools,14.02,5.13,57.71,5.01-25.00,>25%,no,8.89,single_observation,TapeTech Locking Pin 882013,882013,,,,,14.02,single_observation,TapeTech Locking Pin (TAPE-882013),882013
tapetech::mp12tt,TapeTech,mp12tt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,16.99,Al's Taping Tools,26.45,9.46,55.68,5.01-25.00,>25%,no,16.99,single_observation,"TapeTech 12"" Premium Mud Pan",mp12tt,26.45,single_observation,"TapeTech 12"" Premium Mud Pan",mp12tt,,,,
tapetech::882016,TapeTech,882016,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,15.49,Wall Tools,23.99,8.50,54.87,5.01-25.00,>25%,no,15.49,single_observation,TapeTech Guide Plug 882016,882016,,,,,23.99,single_observation,TapeTech GUIDE PLUG (TAPE-882016),882016
columbia::ssb32,Columbia Tools,ssb32,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,74.99,All-Wall,115.99,41.00,54.67,>25.00,>25%,no,115.99,single_observation,"Columbia 32"" Sabre Smoothing Blade",ssb32,74.99,single_observation,"Columbia Sabre Smoothing Blade 32""",ssb32,,,,
usg-sheetrock::340316,USG Sheetrock Tools,340316,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,5.50,All-Wall,8.49,2.99,54.36,1.01-5.00,>25%,no,8.49,single_observation,Sheetrock Bead Hopper Gate - Outside Bullnose,340316,5.50,single_observation,Sheetrock Bead Hopper Gate - Outside Bullnose,340316,,,,
usg-sheetrock::340317,USG Sheetrock Tools,340317,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,5.50,All-Wall,8.49,2.99,54.36,1.01-5.00,>25%,no,8.49,single_observation,Sheetrock Bead Hopper Gate - Inside 90,340317,5.50,single_observation,Sheetrock Bead Hopper Gate - Inside 90°,340317,,,,
tapetech::jk04cstt,TapeTech,jk04cstt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,10.99,Al's Taping Tools,16.95,5.96,54.23,5.01-25.00,>25%,no,10.99,single_observation,"TapeTech 4"" Premium Carbon Steel Joint Knife",jk04cstt,16.95,single_observation,"TapeTech 4"" Premium Carbon Steel Joint Knife",jk04cstt,,,,
tapetech::059024,TapeTech,059024,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,3.52,All-Wall,5.39,1.87,53.12,1.01-5.00,>25%,no,5.39,single_observation,TapeTech Chain Keeper Washer 059024,059024,,,,,3.52,single_observation,TapeTech Chain Keeper (TAPE-059024),059024
tapetech::mp14tt,TapeTech,mp14tt,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,17.99,Al's Taping Tools,27.51,9.52,52.92,5.01-25.00,>25%,no,17.99,single_observation,"TapeTech 14"" Premium Mud Pan",mp14tt,27.51,single_observation,"TapeTech 14"" Premium Mud Pan",mp14tt,,,,
columbia::fa267,Columbia Tools,fa267,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.69,All-Wall,1.05,0.36,52.17,0.26-1.00,>25%,no,1.05,single_observation,FA267 Columbia 8-32 X 1.5in Pan Head Screw #6027,fa267,,,,,0.69,single_observation,Columbia 8-32 x 1-1/2 Pan Head (COLM-FA267),fa267
columbia::ssb14,Columbia Tools,ssb14,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,32.99,All-Wall,49.99,17.00,51.53,5.01-25.00,>25%,no,49.99,single_observation,"Columbia 14"" Sabre Smoothing Blade",ssb14,32.99,single_observation,"Columbia Sabre Smoothing Blade 14""",ssb14,,,,
tapetech::059067,TapeTech,059067,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.19,All-Wall,1.79,0.60,50.42,0.26-1.00,>25%,no,1.79,single_observation,TapeTech Key Ring 059067,059067,,,,,1.19,single_observation,TapeTech KEY RING (TAPE-059067),059067
columbia::ffb9-5.5,Columbia Tools,ffb9-5.5,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,3.14,All-Wall,4.70,1.56,49.68,1.01-5.00,>25%,no,4.70,single_observation,FFB9-5.5 Columbia Flat Box Blade 5.5in #13783,ffb9-5.5,3.14,single_observation,"Columbia Flat Box Blade 5.5"" - FFB9-5.5",ffb9-5.5,,,,
columbia::ct63,Columbia Tools,ct63,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.29,All-Wall,1.93,0.64,49.61,0.26-1.00,>25%,no,1.93,single_observation,Needle,ct63,,,,,1.29,single_observation,Columbia Tape Advance Needle (COLM-CT63),ct63
columbia::ssb16,Columbia Tools,ssb16,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,38.99,All-Wall,57.99,19.00,48.73,5.01-25.00,>25%,no,57.99,single_observation,"Columbia 16"" Sabre Smoothing Blade",ssb16,38.99,single_observation,"Columbia Sabre Smoothing Blade 16""",ssb16,,,,
tapetech::502a,TapeTech,502a,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,49.99,Wall Tools,74.02,24.03,48.07,5.01-25.00,>25%,no,49.99,single_observation,TapeTech Taper Rebuild Kit 502A,502a,,,,,74.02,single_observation,TapeTech Taper Rebuild Kit (TAPE-502A),502a
columbia::fa245,Columbia Tools,fa245,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,0.71,All-Wall,1.05,0.34,47.89,0.26-1.00,>25%,no,1.05,single_observation,FA245 Columbia 6-32 X 1/2in Fill. Head Screw #6017,fa245,,,,,0.71,single_observation,Columbia 6-32 x 1/2 Fillister Slot (COLM-FA245),fa245
columbia::hns14b,Columbia Tools,hns14b,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,1.04,All-Wall,1.53,0.49,47.12,0.26-1.00,>25%,no,1.53,single_observation,HNS14B Columbia Nail Spotter Handle Rivet #12633,hns14b,,,,,1.04,single_observation,Columbia Handle Rivet for Hinged Nail Spotter (COLM-HNS14B),hns14b
tapetech::056248g,TapeTech,056248g,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,395.09,Wall Tools,580.25,185.16,46.87,>25.00,>25%,no,395.09,single_observation,TapeTech Taper Tube 056248G,056248g,,,,,580.25,single_observation,"TapeTech Taper Tube, Gold (TAPE-056248G)",056248g
tapetech::050249,TapeTech,050249,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,38.09,Wall Tools,55.92,17.83,46.81,5.01-25.00,>25%,no,38.09,single_observation,TapeTech Creaser Connector 050249,050249,,,,,55.92,single_observation,TapeTech CREASER CONNECTOR,050249
