Identity Key,Canonical Brand,Canonical Identifier,Conflict Pattern,Probable Cause,Outlier Retailer,Agreed Price,Outlier Price,All-Wall Price,Al's Taping Tools Price,Wall Tools Price,Absolute Spread,Spread % vs Lowest,Possible Pack Factor,All-Wall Evidence Quality,Al's Taping Tools Evidence Quality,Wall Tools Evidence Quality,All-Wall Product,Al's Taping Tools Product,Wall Tools Product
columbia::tsb12,Columbia Tools,TSB-12,two_retailers_agree_one_outlier,possible_sale_or_stale_price,All-Wall,63.81,64.99,64.99,63.81,63.81,1.18,1.85,,single_observation,single_observation,single_observation,"Columbia 12"" Tomahawk Smoothing Blade","Columbia 12"" Tomahawk Smoothing Blade",Columbia 12 in. Tomahawk Smoothing Blade
columbia::14ffba,Columbia Tools,14FFBA,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,438.01,438.99,438.99,438.01,438.01,0.98,0.22,,single_observation,single_observation,single_observation,"Columbia 14"" Automatic Assist Drywall Flat Box","Columbia 14""  Automatic Assist Drywall Flat Box",Columbia 14 in. Automatic Assist Flat Box
columbia::10fbba,Columbia Tools,10FBBA,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,492.08,492.99,492.99,492.08,492.08,0.91,0.18,,single_observation,single_observation,single_observation,"Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box","Columbia 10""  Automatic Assist Drywall Tool Flat Box",Columbia 10 in. Automatic Fat Boy Flat Box
columbia::mhl,Columbia Tools,MHL,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,373.12,373.99,373.99,373.12,373.12,0.87,0.23,,single_observation,single_observation,single_observation,Columbia MATRIX XL Extendable Flat Box Handle,"Columbia Matrix Long Extendable Drywall Flat Box Handle 56"" to 76""",Columbia Matrix Long Flat Box Handle
columbia::ica21,Columbia Tools,ICA2-1,two_retailers_agree_one_outlier,possible_sale_or_stale_price,All-Wall,68.13,68.99,68.99,68.13,68.13,0.86,1.26,,single_observation,single_observation,single_observation,Columbia Inside Corner Applicator 2 Wheels,Columbia Inside Corner Applicator 2 Wheels,Columbia Inside 90 Corner Applicator 2 Wheels
columbia::gn,Columbia Tools,GN,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,108.15,108.99,108.99,108.15,108.15,0.84,0.78,,single_observation,single_observation,single_observation,Columbia Gooseneck,Columbia Gooseneck,Columbia Gooseneck
columbia::10ffb,Columbia Tools,10FFB,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,400.16,400.99,400.99,400.16,400.16,0.83,0.21,,single_observation,single_observation,single_observation,"Columbia 10"" Flat Finishing Box","Columbia 10"" Drywall Flat Finishing Box",Columbia 10 in. Quick Clean Flat Box
columbia::tsb32,Columbia Tools,TSB-32,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,122.21,122.99,122.99,122.21,122.21,0.78,0.64,,single_observation,single_observation,single_observation,"Columbia 32"" Tomahawk Smoothing Blade","Columbia 32"" Tomahawk Smoothing Blade",Columbia 32 in. Tomahawk Smoothing Blade
columbia::tsb10,Columbia Tools,TSB-10,two_retailers_agree_one_outlier,possible_sale_or_stale_price,All-Wall,56.24,56.99,56.99,56.24,56.24,0.75,1.33,,single_observation,single_observation,single_observation,"Columbia 10"" Tomahawk Smoothing Blade","Columbia 10"" Tomahawk Smoothing Blade",Columbia 10 in. Tomahawk Smoothing Blade
columbia::mh,Columbia Tools,MH,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,351.49,351.99,351.99,351.49,351.49,0.50,0.14,,single_observation,single_observation,single_observation,Columbia MATRIX Extendable Flat Box Handle,Columbia MATRIX Extendable Flat Box Handle,Columbia Matrix Flat Box Handle
columbia::cobcr,Columbia Tools,COBCR,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,86.52,87.00,87.00,86.52,86.52,0.48,0.55,,single_observation,single_observation,single_observation,Columbia 90° Outside Bead Corner Roller,Columbia Taping Tools Standard Outside 90 Corner Bead Roller,Columbia Outside 90 Degree Bead Roller
columbia::cltha,Columbia Tools,CLTHA,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,86.52,86.99,86.99,86.52,86.52,0.47,0.54,,single_observation,single_observation,single_observation,Columbia Tomalock Adaptor,Columbia Tomalock Smoothing Blade Adaptor Tomahawk Handle,Columbia Tomalock Adaptor
columbia::tsb18,Columbia Tools,TSB-18,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,86.52,86.99,86.99,86.52,86.52,0.47,0.54,,single_observation,single_observation,single_observation,"Columbia 18"" Tomahawk Smoothing Blade","Columbia 18"" Tomahawk Smoothing Blade",Columbia 18 in. Tomahawk Smoothing Blade
columbia::cmh,Columbia Tools,CMH,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,113.56,113.99,113.99,113.56,113.56,0.43,0.38,,single_observation,single_observation,single_observation,"Columbia Closet Monster 18"" Handle","Columbia Closet Monster 18"" Flat Box Handle",Columbia Closet Monster Flat Box Handle
tapetech::639020,TapeTech,639020,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,1.29,1.72,1.29,1.72,1.29,0.43,33.33,,single_observation,single_observation,single_observation,TapeTech Plastic Washer 639020,Plastic Washer - 639020,TapeTech PLASTIC WASHER
columbia::cext90,Columbia Tools,CEXT90,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,127.62,127.99,127.99,127.62,127.62,0.37,0.29,,single_observation,single_observation,single_observation,Columbia Outside 90 Applicator Head,Columbia Outside 90 Corner Applicator Head,Columbia Outside 90 Degree Mud Applicator
columbia::mhs,Columbia Tools,MHS,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,340.67,340.99,340.99,340.67,340.67,0.32,0.09,,single_observation,single_observation,single_observation,Columbia MATRIX Extendable Short Flat Box Handle,"Columbia Short Matrix Flat Box Handle 29""-39""",Columbia Matrix Short Flat Box Handle
columbia::bf,Columbia Tools,BF,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,75.71,75.99,75.99,75.71,75.71,0.28,0.37,,single_observation,single_observation,single_observation,Columbia Box Filler Fitting,Columbia Box Filler,Columbia Box Filler
tapetech::709006,TapeTech,709006,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,1.19,0.95,1.19,0.95,1.19,0.24,25.26,,single_observation,single_observation,single_observation,TapeTech 1/4-20x5/8 Socket Capscreen 709006,1/4-20x5/8 Socket Hd Capscrew - 709006,TapeTech 1/4-20X5/8 SOCKET HEAD SCREW
tapetech::509008,TapeTech,509008,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,0.99,1.19,0.99,0.99,1.19,0.20,20.20,,single_observation,single_observation,single_observation,TapeTech 10-32 X 1/2 Binder Head Slot Screw 509008,509008 - 10-32 X 1/2 Bd Hd Screw,TapeTech 10-32X1/2 BHMS (TAPE-509008)
tapetech::709056,TapeTech,709056,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,0.99,1.19,0.99,0.99,1.19,0.20,20.20,,single_observation,single_observation,single_observation,TapeTech 10-24 Nut 709056,709056 - 10-24 Sst Nut,TapeTech 10-24 HEX NUT (TAPE-709056)
tapetech::729064,TapeTech,729064,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,0.99,1.19,0.99,0.99,1.19,0.20,20.20,,single_observation,single_observation,single_observation,TapeTech 8-32 X 3/8 Bind Head Screw 729064,729064 - 8-32 X 3/8 Bind Hd Sst Screw,TapeTech 8-32X3/8 BIND HEAD SCREW (TAPE-729064)
tapetech::809006,TapeTech,809006,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,0.99,1.19,0.99,0.99,1.19,0.20,20.20,,single_observation,single_observation,single_observation,TapeTech #14 S Brass Washer 809006,809006 - #14 S Brass Washer,TapeTech #14 Brass Washer
tapetech::889035,TapeTech,889035,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,0.99,1.19,0.99,0.99,1.19,0.20,20.20,,single_observation,single_observation,single_observation,TapeTech 6-32 X 1/4 Pan Head Screw 889035,889035 - 6-32 X 1/4 Pan Head Screw,TapeTech 6-32 X 1/4 PAN HEAD SCREW (TAPE-889035)
columbia::icatw,Columbia Tools,ICATW,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,116.80,116.99,116.99,116.80,116.80,0.19,0.16,,single_observation,single_observation,single_observation,Columbia Inside 90° Applicator with Wheels,Columbia Inside 90 Applicator with Wheels,Columbia Two-Way Inside Corner Applicator
columbia::10itfb,Columbia Tools,10ITFB,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,448.82,448.99,448.99,448.82,448.82,0.17,0.04,,single_observation,single_observation,single_observation,"Columbia Inside Track Fat Boy Flat Box 10""","Columbia 10"" Inside Track Fat Boy Flat Box",Columbia 10 in. Inside Track Fat Boy Flat Box
tapetech::489022,TapeTech,489022,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,0.99,1.15,0.99,0.99,1.15,0.16,16.16,,single_observation,single_observation,single_observation,TapeTech 4-40 X 31/64 Screw 489022,4-40 X 31/64 Screw - 489022,TapeTech 4-40X1/2 SCREW (TAPE-489022)
columbia::4bh,Columbia Tools,4BH,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,210.89,210.99,210.99,210.89,210.89,0.10,0.05,,single_observation,single_observation,single_observation,"Columbia 48"" 180-Grip Flat Box Handle","Columbia 48"" 180-Grip Featherweight Flat Box Handle",Columbia Taping Tools 4 ft. 180 Grip Flat Box Handle
columbia::ia90,Columbia Tools,IA90,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,91.93,91.99,91.99,91.93,91.93,0.06,0.07,,single_observation,single_observation,single_observation,Columbia Inside 90 Mud Applicator Head,Columbia 90 Inside Corner Mud Head,Columbia Inside 90 Mud Head
columbia::oa90,Columbia Tools,OA90,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,91.93,91.99,91.99,91.93,91.93,0.06,0.07,,single_observation,single_observation,single_observation,Columbia Tools Drywall Outside Corner Bead Mud Applicator,Columbia Tools Drywall Outside Corner Bead Mud Applicator,Columbia Outside 90 Mud Head
tapetech::559017,TapeTech,559017,two_retailers_agree_one_outlier,possible_sale_or_stale_price,Al's Taping Tools,1.19,1.22,1.19,1.22,1.19,0.03,2.52,,single_observation,single_observation,single_observation,TapeTech 1/4-20 X 5/8 Hex Head Screw 559017,"559017 - 1/4-20 X 5/8"" Hex Hd Screw",TapeTech 1/4-20X58 HEX HEAD SCREW
columbia::12ffb,Columbia Tools,12FFB,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,410.97,410.99,410.99,410.97,410.97,0.02,0.00,,single_observation,single_observation,single_observation,"Columbia 12"" Flat Finishing Box","Columbia 12"" Drywall Flat Finishing Box",Columbia 12 in. Quick Clean Flat Box
columbia::hmp,Columbia Tools,HMP,two_retailers_agree_one_outlier,small_price_drift_or_rounding,All-Wall,410.97,410.99,410.99,410.97,410.97,0.02,0.00,,single_observation,single_observation,single_observation,Columbia Loading Pump,Columbia Hot Mud Pump,Columbia Quick Clean Mud Pump
tapetech::pfkhatt,TapeTech,PFKHATT,two_retailers_agree_one_outlier,small_price_drift_or_rounding,Al's Taping Tools,26.99,27.00,26.99,27.00,26.99,0.01,0.04,,single_observation,single_observation,single_observation,TapeTech Finishing Knife Handle Adapter PFKHATT,TapeTech Finishing Knife Handle Adapter - PFKHATT,Tapetech Premium Finishing Knife Handle Adapter (TAPE-PFKHATT)
tapetech::cfcrnr,TapeTech,CFCRNR,two_source_disagreement,requires_source_price_review,,,,15865.00,11865.50,,3999.50,33.71,,single_observation,single_observation,,TapeTech Continuous Flow Corner Finishing Bundle CFCRNR,Ames Bazooka Continuous Flow Corner Finishing Bundle,
tapetech::ctvlv,TapeTech,CTVLV,two_source_disagreement,requires_source_price_review,,,,1349.00,2690.60,,1341.60,99.45,,single_observation,single_observation,,TapeTech Continuous Flow RF Controller CTVLV,TapeTech CF Taper/CF Corner Finisher Flow Controller,
tapetech::ctpmp,TapeTech,CTPMP,two_source_disagreement,possible_sale_or_stale_price,,,,12450.00,13400.00,,950.00,7.63,,single_observation,single_observation,,TapeTech Continuous Flow Pump CTPMP,TapeTech Continuous Flow Bazooka Pump,
columbia::colsemi,Columbia Tools,COLSEMI,two_source_disagreement,requires_source_price_review,,,,1175.00,2030.00,,855.00,72.77,,single_observation,single_observation,,Columbia Semi-Auto Taping Tool Kit,Columbia Semi-Automatic Starter Set,
tapetech::t05cf,TapeTech,T05CF,two_source_disagreement,requires_source_price_review,,,,2849.00,3175.00,,326.00,11.44,,single_observation,single_observation,,TapeTech Continuous Flow Taper T05CF,TapeTech Continuous Flow Taper,
tapetech::ttjumbo1012,TapeTech,TT JUMBO 10/12,two_source_disagreement,possible_sale_or_stale_price,,,,6085.00,5781.00,,304.00,5.26,,single_observation,single_observation,,TapeTech Basic Jumbo Set with 10in and 12in Boxes,"TapeTech Jumbo Drywall Taping Tool Set - 10/12 Boxes, Taper, Spotter, Angle Tools",
columbia::ffb97,Columbia Tools,FFB9-7,two_source_disagreement,requires_source_price_review,,,,4.58,305.00,,300.42,6559.39,,single_observation,single_observation,,FFB9-7 Columbia Flat Box Blade 7in #6082,"Columbia Flat Box Blade 7"" - FFB9-7",
columbia::ffb98,Columbia Tools,FFB9-8,two_source_disagreement,requires_source_price_review,,,,4.70,305.00,,300.30,6389.36,,single_observation,single_observation,,FFB9-8 Columbia Flat Box Blade 8in #6083,"Columbia Flat Box Blade 8"" - FFB9-8",
tapetech::mws01tt,TapeTech,MWS01-TT,two_source_disagreement,requires_source_price_review,,,,599.00,869.00,,270.00,45.08,,single_observation,single_observation,,TapeTech Mobile Wash Station MWS01-TT,TapeTech Mobile Tool Wash Station,
tapetech::056248g,TapeTech,056248G,two_source_disagreement,requires_source_price_review,,,,395.09,,580.25,185.16,46.87,,single_observation,,single_observation,TapeTech Taper Tube 056248G,,"TapeTech Taper Tube, Gold (TAPE-056248G)"
columbia::ct103,Columbia Tools,CT103,all_three_prices_distinct,requires_source_price_review,,,,150.64,251.06,129.30,121.76,94.17,,single_observation,single_observation,single_observation,CT103 Columbia Taper Barrel Main Body #5963,Taper Barrel Main Body - CT103,Columbia Barrel (Main Aluminium Tube Body) (COLM-CT103)
tapetech::257133,TapeTech,257133,two_source_disagreement,requires_source_price_review,,,,682.93,800.00,,117.07,17.14,,single_observation,single_observation,,"TapeTech Continuous Flow MXF Hose 1/2"" x 50' 257133","TapeTech Continuous Flow MXF Hose 1/2"" x 50'",
tapetech::200,TapeTech,200,two_source_disagreement,requires_source_price_review,,,,117.29,,226.14,108.85,92.80,,single_observation,,single_observation,TapeTech Gooser Assembly 200,,TapeTech GOOSER SUB-ASSEMBLY (TAPE-200)
tapetech::16c298,TapeTech,16C298,two_source_disagreement,requires_source_price_review,,,,103.87,202.44,,98.57,94.90,,single_observation,single_observation,,TapeTech Continuous Flow Hopper Filter 16C298,TapeTech Replacement Hopper Filter for Bazooka Continuous Flow Pump,
tapetech::501rse,TapeTech,501RSE,all_three_prices_distinct,requires_source_price_review,,,,166.59,199.00,263.47,96.88,58.15,,single_observation,single_observation,single_observation,TapeTech Corner Roller Wheel Repair Kit 501RSE,TapeTech Corner Roller Wheel Repair Kit - 501RSE,TapeTech Corner Roller Wheel Repair Kit - Euro
tapetech::335,TapeTech,335,all_three_prices_distinct,requires_source_price_review,,,,168.29,169.00,264.35,96.06,57.08,,single_observation,single_observation,single_observation,TapeTech Piston Assembly Kit 335,TapeTech Piston Assembly Kit,TapeTech PISTON SUB-ASSEMBLY (TAPE-335)
level5::4817,LEVEL5,4-817,two_source_disagreement,requires_source_price_review,,,,,79.16,173.99,94.83,119.80,,,single_observation,single_observation,,Level 5 Drywall Taper Gooser Assembly,Level 5 Gooser Assembly
tapetech::cfs8034tt,TapeTech,CFS8034TT,two_source_disagreement,requires_source_price_review,,,,667.00,750.00,,83.00,12.44,,single_observation,single_observation,,"TapeTech 34"" Continuous Flow Flat Box Handle CFS8034TT","TapeTech 34"" Continuous Flow Finishing Box Handle",
tapetech::cfs8047tt,TapeTech,CFS8047TT,two_source_disagreement,requires_source_price_review,,,,698.00,780.00,,82.00,11.75,,single_observation,single_observation,,"TapeTech 47"" Continuous Flow Flat Box Handle CFS8047TT","TapeTech 47"" Continuous Flow Finishing Box Handle",
tapetech::cf12h,TapeTech,CF12H,two_source_disagreement,requires_source_price_review,,,,669.00,750.00,,81.00,12.11,,single_observation,single_observation,,"TapeTech 12"" Continuous Flow Flat Box CF12H","TapeTech / Ames Continuous Flow 12"" Finishing Box - CF12H",
tapetech::cfs8060tt,TapeTech,CFS8060TT,two_source_disagreement,requires_source_price_review,,,,722.00,800.00,,78.00,10.80,,single_observation,single_observation,,"TapeTech 60"" Continuous Flow Flat Box Handle CFS8060TT","TapeTech 60"" Continuous Flow Finishing Box Handle",
tapetech::215,TapeTech,215,all_three_prices_distinct,requires_source_price_review,,,,190.99,125.99,199.29,73.30,58.18,,single_observation,single_observation,single_observation,TapeTech Drive Dog Assembly 215,TapeTech Drive Dog Assembly Kit - 215,TapeTech DRIVE DOG SUB ASSEMBLY (TAPE-215)
tapetech::qb0006,TapeTech,QB0006,two_source_disagreement,requires_source_price_review,,,,10.09,83.38,,73.29,726.36,,single_observation,single_observation,,TapeTech Axle QB0006,Axle - QB0006,
tapetech::cfh40tt,TapeTech,CFH40TT,two_source_disagreement,requires_source_price_review,,,,577.00,650.00,,73.00,12.65,,single_observation,single_observation,,"TapeTech Continuous Flow 40"" Corner Finisher Handle","TapeTech 40"" Continuous Flow Corner Finisher Handle",
tapetech::cf10h,TapeTech,CF10H,two_source_disagreement,requires_source_price_review,,,,578.00,650.00,,72.00,12.46,,single_observation,single_observation,,"TapeTech 10"" Continuous Flow Flat Box CF10H","TapeTech / Ames Continuous Flow 10"" Finishing Box - CF10H",
columbia::hns14a,Columbia Tools,HNS14A,two_source_disagreement,requires_source_price_review,,,,89.54,,17.65,71.89,407.31,,single_observation,,single_observation,HNS14A Columbia Nail Spotter Handle Link,,Columbia Handle Link for Hinged Nail Spotter (COLM-HNS14A)
tapetech::cf07h,TapeTech,CF07H,two_source_disagreement,requires_source_price_review,,,,545.00,615.00,,70.00,12.84,,single_observation,single_observation,,"TapeTech 7"" Continuous Flow Flat Box CF07H","TapeTech / Ames Continuous Flow 7"" Finishing Box - CF07H",
tapetech::cfh66tt,TapeTech,CFH66TT,two_source_disagreement,requires_source_price_review,,,,621.00,690.00,,69.00,11.11,,single_observation,single_observation,,"TapeTech Continuous Flow 66"" Corner Finisher Handle","TapeTech 66"" Continuous Flow Corner Finisher Handle",
columbia::ffb17,Columbia Tools,FFB1-7,two_source_disagreement,requires_source_price_review,,,,73.22,,4.53,68.69,1516.34,,single_observation,,single_observation,"FFB1-7 Columbia 7"" Flat Box Rear Plate",,Columbia Door Spring (a.k.a. Pressure Plate Spring) (COLM-FFB17)
tapetech::cfs8072tt,TapeTech,CFS8072TT,two_source_disagreement,possible_sale_or_stale_price,,,,753.00,820.00,,67.00,8.90,,single_observation,single_observation,,"TapeTech 72"" Continuous Flow Flat Box Handle CFS8072TT","TapeTech 72"" Continuous Flow Finishing Box Handle",
tapetech::304002,TapeTech,304002,two_source_disagreement,requires_source_price_review,,,,178.99,,242.84,63.85,35.67,,single_observation,,single_observation,"TapeTech 12"" Flat Box Blade Holder Assembly 304002",,"TapeTech BLADE HOLDER ASSEMBLY, 12"" BOX (TAPE-304002)"
tapetech::ch90tt,TapeTech,CH90TT,two_source_disagreement,requires_source_price_review,,,,99.00,159.46,,60.46,61.07,,single_observation,single_observation,,TapeTech 90 mm Cove Applicator Head CH90TT,TapeTech 90 mm Cove Applicator Head CH90TT,
tapetech::196003,TapeTech,196003,all_three_prices_distinct,requires_source_price_review,,,,125.19,185.00,184.15,59.81,47.78,,single_observation,single_observation,single_observation,TapeTech Xtender Hinge Assembly 196003,196003 - TapeTech Xtender Handle Hinge Assembly,TapeTech HINGE CASTING (TAPE-196003)
tapetech::054101,TapeTech,054101,all_three_prices_distinct,requires_source_price_review,,,,8.03,63.25,57.10,55.22,687.67,,single_observation,single_observation,single_observation,TapeTech Tape Guide Assembly 054101,Tape Guide Assembly - 054101,TapeTech TAPE GUIDE ASSEMBLY (TAPE-054101)
tapetech::804242,TapeTech,804242,two_source_disagreement,requires_source_price_review,,,,,44.30,98.45,54.15,122.23,,,single_observation,single_observation,,"42"" Connector Assembly - 804242","TapeTech 42"" CONNECTOR"
level5::4777,LEVEL5,4-777,two_source_disagreement,requires_source_price_review,,,,,45.00,97.64,52.64,116.98,,,single_observation,single_observation,,Level5 Corner Roller Handle,Level 5 Red Aluminum Corner Roller Handle
tapetech::24d166,TapeTech,24D166,two_source_disagreement,requires_source_price_review,,,,525.37,475.00,,50.37,10.60,,single_observation,single_observation,,TapeTech Z Swivel Attachment for CF Hose 24D166,TapeTech Z Swivel Attachment for CF Hose 24D166,
tapetech::051105,TapeTech,051105,two_source_disagreement,requires_source_price_review,,,,50.89,99.69,,48.80,95.89,,single_observation,single_observation,,TapeTech Side Plate 051105,Side Plate (Near Main Chain) - 051105,
tapetech::480002f,TapeTech,480002F,all_three_prices_distinct,requires_source_price_review,,,,20.79,68.80,21.19,48.01,230.93,,single_observation,single_observation,single_observation,TapeTech Wear Pad 480002F,TapeTech Angle Head Wear Pad - 480002,TapeTech Wear Pad (TAPE-480002F)
tapetech::ch83tt,TapeTech,CH83TT,two_source_disagreement,requires_source_price_review,,,,99.00,144.85,,45.85,46.31,,single_observation,single_observation,,TapeTech 83 mm Cove Applicator Head CH83TT,TapeTech 83 mm Cove Applicator Head CH83TT,
columbia::ssb40,Columbia Tools,SSB40,two_source_disagreement,requires_source_price_review,,,,144.99,99.99,,45.00,45.00,,single_observation,single_observation,,"Columbia 40"" Sabre Smoothing Blade","Columbia Sabre Smoothing Blade 40""",
tapetech::051089,TapeTech,051089,two_source_disagreement,requires_source_price_review,,,,70.65,114.42,,43.77,61.95,,single_observation,single_observation,,TapeTech Side Plate 051089,Side Plate - 051089,
tapetech::254002,TapeTech,254002,two_source_disagreement,requires_source_price_review,,,,177.89,,221.24,43.35,24.37,,single_observation,,single_observation,"TapeTech 10"" Flat Box Blade Holder Assembly 254002",,TapeTech BLADE HOLDR ASSY (TAPE-254002)
tapetech::ch75tt,TapeTech,CH75TT,two_source_disagreement,requires_source_price_review,,,,99.00,140.86,,41.86,42.28,,single_observation,single_observation,,TapeTech 75 mm Cove Applicator Head CH75TT,TapeTech 75 mm Cove Applicator Head CH75TT,
columbia::ssb32,Columbia Tools,SSB32,two_source_disagreement,requires_source_price_review,,,,115.99,74.99,,41.00,54.67,,single_observation,single_observation,,"Columbia 32"" Sabre Smoothing Blade","Columbia Sabre Smoothing Blade 32""",
tapetech::300040f,TapeTech,300040F,two_source_disagreement,requires_source_price_review,,,,10.91,51.15,,40.24,368.84,,single_observation,single_observation,,"TapeTech 12"" Flat Box 4-40 Tie Rod 300040","4-40 Tie Rod for 12"" - 300040",
tapetech::ch55tt,TapeTech,CH55TT,two_source_disagreement,requires_source_price_review,,,,99.00,138.19,,39.19,39.59,,single_observation,single_observation,,TapeTech 55 mm Cove Applicator Head CH55TT,TapeTech 55 mm Cove Applicator Head CH55TT,
