Identity Key,Canonical Brand,Canonical Identifier,Priority,Retailer Pair,Missing Retailer,Spread % vs Lowest,Absolute Spread,Offer Equivalence Classification,Offer Evidence Strength,Offer Contradictions,All-Wall Observed Price,All-Wall Product Name,All-Wall Category,All-Wall Description Quality,All-Wall Explicit Quantity,All-Wall Quantity Basis,All-Wall Commercial Scope,All-Wall Scope Basis,All-Wall Product URL,All-Wall Retrieved At,Al's Taping Tools Observed Price,Al's Taping Tools Product Name,Al's Taping Tools Category,Al's Taping Tools Description Quality,Al's Taping Tools Explicit Quantity,Al's Taping Tools Quantity Basis,Al's Taping Tools Commercial Scope,Al's Taping Tools Scope Basis,Al's Taping Tools Product URL,Al's Taping Tools Retrieved At,Wall Tools Observed Price,Wall Tools Product Name,Wall Tools Category,Wall Tools Description Quality,Wall Tools Explicit Quantity,Wall Tools Quantity Basis,Wall Tools Commercial Scope,Wall Tools Scope Basis,Wall Tools Product URL,Wall Tools Retrieved At
tapetech::jk02sstt,TapeTech,jk02sstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,44.05,3.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,8.99,"TapeTech 2"" Premium Stainless Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK02SSTT,2026-09-10T00:40:48.359374Z,12.95,"TapeTech 2"" Premium Stainless Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-2-premium-stainless-steel-joint-knife,2026-09-10T00:19:59.583898Z,,,,,,,,,,
tapetech::jk03sstt,TapeTech,jk03sstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,59.66,5.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,9.99,"TapeTech 3"" Premium Stainless Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK03SSTT,2026-09-10T00:40:48.359374Z,15.95,"TapeTech 3"" Premium Stainless Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-3-premium-stainless-steel-joint-knife,2026-09-10T00:20:04.972462Z,,,,,,,,,,
tapetech::jk04cstt,TapeTech,jk04cstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,54.23,5.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,10.99,"TapeTech 4"" Premium Carbon Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK04CSTT,2026-09-10T00:40:48.358374Z,16.95,"TapeTech 4"" Premium Carbon Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-4-premium-carbon-steel-joint-knife,2026-09-10T00:20:09.639583Z,,,,,,,,,,
tapetech::jk04sstt,TapeTech,jk04sstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,66.39,7.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,11.99,"TapeTech 4"" Premium Stainless Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK04SSTT,2026-09-10T00:40:48.359374Z,19.95,"TapeTech 4"" Premium Stainless Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-4-premium-stainless-steel-joint-knife,2026-09-10T00:20:07.992050Z,,,,,,,,,,
tapetech::jk05cstt,TapeTech,jk05cstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,63.33,6.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,10.99,"TapeTech 5"" Premium Carbon Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK05CSTT,2026-09-10T00:40:48.358374Z,17.95,"TapeTech 5"" Premium Carbon Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-5-premium-carbon-steel-joint-knife,2026-09-10T00:20:12.535112Z,,,,,,,,,,
tapetech::jk05sstt,TapeTech,jk05sstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,61.28,7.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,12.99,"TapeTech 5"" Premium Stainless Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK05SSTT,2026-09-10T00:40:48.359374Z,20.95,"TapeTech 5"" Premium Stainless Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-5-premium-stainless-steel-joint-knife,2026-09-10T00:20:11.785110Z,,,,,,,,,,
tapetech::jk06cstt,TapeTech,jk06cstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,83.07,9.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,11.99,"TapeTech 6"" Premium Carbon Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK06CSTT,2026-09-10T00:40:48.358374Z,21.95,"TapeTech 6"" Premium Carbon Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-6-premium-carbon-steel-joint-knife,2026-09-10T00:20:15.619826Z,,,,,,,,,,
tapetech::jk06sstt,TapeTech,jk06sstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,66.26,9.27,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,13.99,"TapeTech 6"" Premium Stainless Steel Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-JK06SSTT,2026-09-10T00:40:48.359374Z,23.26,"TapeTech 6"" Premium Stainless Steel Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-6-premium-stainless-steel-joint-knife,2026-09-10T00:20:16.035829Z,,,,,,,,,,
tapetech::mws01-tt,TapeTech,mws01-tt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,45.08,270.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,599.00,TapeTech Mobile Wash Station MWS01-TT,,product_specific,,,bundle,kit,https://www.all-wall.com/TapeTech-WashStation-MWS01-TT,2026-09-10T00:40:50.645278Z,869.00,TapeTech Mobile Tool Wash Station,,product_specific,,,,,https://www.alstapingtools.com/tapetech-mobile-tool-wash-station,2026-09-10T00:20:43.481757Z,,,,,,,,,,
tapetech::pk35cstt,TapeTech,pk35cstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,44.05,3.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,8.99,"TapeTech 3.5"" Carbon Steel Pointing Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-PointingKnife-PK35CSTT,2026-09-10T00:40:48.357374Z,12.95,"TapeTech 3.5"" Carbon Steel Pointing Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-3-5-carbon-steel-pointing-knife,2026-09-10T00:20:01.310406Z,,,,,,,,,,
tapetech::qb6003-5,TapeTech,qb6003-5,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,26.10,6.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:None|5 | one_sided_scope:none|bundle,22.99,TapeTech 6.5 QSX Flat Finishing Blade QB6003-5,,product_specific,,,,,https://www.all-wall.com/QB6003-TapeTech-QuickBox-QSX-Blades,2026-09-10T00:41:08.928707Z,28.99,"TapeTech 6.5"" QuickBox™ QSX Flat Finishing Blades 5pk",,product_specific,5,explicit_pack_count,bundle,explicit_pack_count,https://www.alstapingtools.com/tapetech-6-5-quickbox-qsx-flat-finishing-blades-5pk,2026-09-10T00:20:15.099827Z,,,,,,,,,,
tapetech::qb6023-5,TapeTech,qb6023-5,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,33.75,7.76,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:None|5 | one_sided_scope:none|bundle,22.99,"TapeTech 6.5"" QSX Crown Finishing Blade QB6023-5",,product_specific,,,,,https://www.all-wall.com/TapeTech-QuickBox-QSX-Blades-Crowned,2026-09-10T00:41:08.927707Z,30.75,"TapeTech 6.5"" QuickBox™ QSX Crown Finishing Blades 5pk",,product_specific,5,explicit_pack_count,bundle,explicit_pack_count,https://www.alstapingtools.com/tapetech-6-5-quickbox-qsx-crown-finishing-blades-5pk,2026-09-10T00:20:14.601829Z,,,,,,,,,,
tapetech::qb6043-5,TapeTech,qb6043-5,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,39.15,9.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:None|5 | one_sided_scope:none|bundle,22.99,"TapeTech 6.5"" QSX Notched Blade QB6043-5",,product_specific,,,,,https://www.all-wall.com/TapeTech-QuickBox-QSX-Notched-Blades,2026-09-10T00:41:08.927707Z,31.99,"TapeTech 6.5"" QuickBox™ QSX Notched Blades 5pk",,product_specific,5,explicit_pack_count,bundle,explicit_pack_count,https://www.alstapingtools.com/tapetech-6-5-quickbox-qsx-notched-blades-5pk,2026-09-10T00:20:14.367828Z,,,,,,,,,,
tapetech::tk08bstt,TapeTech,tk08bstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,66.39,7.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,11.99,"TapeTech 8"" Premium Blue Steel Taping Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-TapingKnife-TK08BSTT,2026-09-10T00:40:48.358374Z,19.95,"TapeTech 8"" Premium Blue Steel Taping Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-8-premium-blue-steel-taping-knife,2026-09-10T00:20:20.507855Z,,,,,,,,,,
tapetech::tk08sstt,TapeTech,tk08sstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,64.05,8.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,13.99,"TapeTech 8"" Premium Stainless Steel Taping Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-TapingKnife-TK08SSTT,2026-09-10T00:40:48.359374Z,22.95,"TapeTech 8"" Premium Stainless Steel Taping Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-8-premium-stainless-steel-taping-knife,2026-09-10T00:20:21.457388Z,,,,,,,,,,
tapetech::tk14bstt,TapeTech,tk14bstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,28.59,4.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,13.99,"TapeTech 14"" Premium Blue Steel Taping Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-TapingKnife-TK14BSTT,2026-09-10T00:40:48.357374Z,17.99,"TapeTech 14"" Premium Blue Steel Taping Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-14-premium-blue-steel-taping-knife,2026-09-10T00:19:53.491288Z,,,,,,,,,,
columbia::ah1a,Columbia Tools,ah1a,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,45.69,3.82,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,12.18,Columbia Spring Housing Angle Head,,missing,,,,,https://www.all-wall.com/Columbia-Spring-Housing-Angle-Head,2026-09-10T00:41:14.710559Z,,,,,,,,,,,8.36,Columbia Return Spring Holder (COLM-AH1A),,product_specific,,,,,https://walltools.com/columbia-return-spring-holder-colm-ah1a,2026-09-10T00:29:56.416185Z
columbia::ah5,Columbia Tools,ah5,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,40.74,0.66,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,2.28,AH5 Columbia Angle Head Frame Retainer Clip #5806,,missing,,,,,https://www.all-wall.com/AH5-Columbia-Angle-Head-Frame-Retainer-Clip-5806,2026-09-10T00:42:07.678856Z,,,,,,,,,,,1.62,Columbia Frame Retainer Clip / Blade Holder Stop (COLM-AH5),,product_specific,,,,,https://walltools.com/columbia-frame-retainer-clip-blade-holder-stop-COLM-ah5,2026-09-10T00:29:09.808779Z
columbia::ah9,Columbia Tools,ah9,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,26.16,2.54,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,12.25,AH9 Columbia Angle Head Retainer Clip (Long) #5814,,missing,,,,,https://www.all-wall.com/AH9-Columbia-Angle-Head-Retainer-Clip-Long-5814,2026-09-10T00:42:07.677858Z,,,,,,,,,,,9.71,"Columbia 2, 2.5, & 3 in. Bottom Retainer Clip (COLM-AH9)",,product_specific,,,,,https://walltools.com/columbia-2-2-5-3-in-bottom-retainer-clip-COLM-ah9,2026-09-10T00:27:50.114809Z
columbia::cc5,Columbia Tools,cc5,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,45.97,2.11,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,6.70,Columbia Roller for Corner Cobra,,product_specific,,,,,https://www.all-wall.com/Columbia-Roller-for-Corner-Cobra,2026-09-10T00:40:57.007171Z,4.59,Columbia Roller for Corner Cobra - CC5,,product_specific,,,,,https://www.alstapingtools.com/columbia-roller-for-corner-cobra-cc5,2026-09-10T00:10:57.510784Z,,,,,,,,,,
columbia::cfb10,Columbia Tools,cfb10,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,41.47,2.14,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,7.30,CFB10 Columbia Angle Box 5/16-18 X 3/4in Thumb Screw #5550,,missing,,,,,https://www.all-wall.com/CFB10-Columbia-Angle-Box-5-16-18-X-3-4in-Thumb-Screw-5550,2026-09-10T00:42:10.072448Z,,,,,,,,,,,5.16,"Columbia 5/16""-18"" x 3/4"" Thumb Screw (COLM-CFB10)",,product_specific,,,,,https://walltools.com/columbia-5-16-18-x-3-4-thumb-screw-COLM-cfb10,2026-09-10T00:28:03.830181Z
columbia::cfb15a,Columbia Tools,cfb15a,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,40.31,0.79,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,2.75,CFB15A Columbia Angle Box Hinge Bushing #5553,,missing,,,,,https://www.all-wall.com/CFB15A-Columbia-Angle-Box-Hinge-Bushing-5553,2026-09-10T00:42:10.072448Z,,,,,,,,,,,1.96,Columbia Hinge Bushing for Corner Box (COLM-CFB15A),,product_specific,,,,,https://walltools.com/columbia-hinge-bushing-for-corner-box-COLM-cfb15a,2026-09-10T00:29:22.174061Z
columbia::cfb16,Columbia Tools,cfb16,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,41.36,2.13,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,7.28,CFB16 Columbia Angle Box Bearing Sleeve - Ss #5554,,missing,,,,,https://www.all-wall.com/CFB16-Columbia-Angle-Box-Bearing-Sleeve-Ss-5554,2026-09-10T00:42:10.072448Z,,,,,,,,,,,5.15,Columbia Bearing Sleeve (COLM-CFB16),,product_specific,,,,,https://walltools.com/columbia-bearing-sleeve-COLM-cfb16,2026-09-10T00:28:33.569003Z
columbia::cfb19,Columbia Tools,cfb19,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,41.60,1.61,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,5.48,CFB19 Columbia Angle Box Nylatron Bushing #5555,,missing,,,,,https://www.all-wall.com/CFB19-Columbia-Angle-Box-Nylatron-Bushing-5555,2026-09-10T00:42:10.072448Z,,,,,,,,,,,3.87,Columbia Nylatron Bushing (COLM-CFB19),,product_specific,,,,,https://walltools.com/columbia-nylatron-bushing-COLM-cfb19,2026-09-10T00:29:43.560975Z
columbia::cfb1a,Columbia Tools,cfb1a,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,45.99,1.78,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,5.65,CFB1A Columbia Angle Box Hinge Seal #5556,,missing,,,,,https://www.all-wall.com/CFB1A-Columbia-Angle-Box-Hinge-Seal-5556,2026-09-10T00:42:10.071449Z,,,,,,,,,,,3.87,Columbia Hinge Seal for Corner Box (COLM-CFB1A),,product_specific,,,,,https://walltools.com/columbia-hinge-seal-for-corner-box-COLM-cfb1a,2026-09-10T00:29:22.716061Z
columbia::cfb25,Columbia Tools,cfb25,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,34.69,1.79,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,6.95,CFB25 Columbia Angle Box Mud Supply Seal Plate #5560,,missing,,,,,https://www.all-wall.com/CFB25-Columbia-Angle-Box-Mud-Supply-Seal-Plate-5560,2026-09-10T00:42:10.071449Z,,,,,,,,,,,5.16,Columbia Mud Supply Valve Seal Plate & Shaft (COLM-CFB25),,product_specific,,,,,https://walltools.com/columbia-mud-supply-valve-seal-plate-shaft-COLM-cfb25,2026-09-10T00:29:41.080950Z
columbia::cr12,Columbia Tools,cr12,P0_gt_25pct,All-Wall vs Wall Tools,Al's Taping Tools,34.84,1.39,OFFER_EQUIVALENT_PRICE_DISAGREEMENT,verified_identity_no_structural_mismatch_detected,,5.38,CR12 Columbia Corner Roller Swivel Coupling Pin #5568,,product_specific,,,,,https://www.all-wall.com/CR12-Columbia-Corner-Roller-Swivel-Coupling-Pin-5568,2026-09-10T00:42:10.070448Z,,,,,,,,,,,3.99,Columbia Handle Connecting Link for Corner Roller (COLM-CR12),,product_specific,,,,,https://walltools.com/columbia-handle-connecting-link-for-corner-roller-COLM-cr12,2026-09-10T00:29:15.474470Z
