Identity Key,Canonical Brand,Canonical Identifier,Source Count,Observation Count,Verified Price Source Count,Distinct Verified Prices,Identity Status,Identity Contradictions,Market Price Status,Market Price,Observed Price Spread,All-Wall Price,All-Wall Duplicate Count,All-Wall Observed Duplicate Prices,All-Wall Evidence Quality,All-Wall Product Name,Al's Taping Tools Price,Al's Taping Tools Duplicate Count,Al's Taping Tools Observed Duplicate Prices,Al's Taping Tools Evidence Quality,Al's Taping Tools Product Name,Wall Tools Price,Wall Tools Duplicate Count,Wall Tools Observed Duplicate Prices,Wall Tools Evidence Quality,Wall Tools Product Name
columbia::cfb7-7,Columbia Tools,cfb7-7,2,2,0,0,conflict,all_wall_vs_wall_tools:measurement_mismatch:['6.1']!=['7'],IDENTITY_CONFLICT,,,45.16,0,45.16,single_observation,"CFB7-7 Columbia Angle Box Angle Box Door Gasket 6.1""",,0,,,,38.77,0,38.77,single_observation,"Columbia Corner Box Door Gasket 7"" (COLM-CFB7-7)"
columbia::cfb7-8,Columbia Tools,cfb7-8,2,2,0,0,conflict,all_wall_vs_wall_tools:measurement_mismatch:['7.125']!=['8'],IDENTITY_CONFLICT,,,45.16,0,45.16,single_observation,"CFB7-8 Door Gasket for 8CFB Angle Box - 7.125""",,0,,,,38.77,0,38.77,single_observation,"Columbia Corner Box Door Gasket 8"" (COLM-CFB7-8)"
columbia::ct113,Columbia Tools,ct113,3,3,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['taper']!=['automatic taper'] | als_taping_tools_vs_wall_tools:product_family_mismatch:['taper']!=['automatic taper'],IDENTITY_CONFLICT,,,4.58,0,4.58,single_observation,CT113 Columbia Taper Lock Block #5971,3.14,0,3.14,single_observation,Taper Lock Block - CT113,3.23,0,3.23,single_observation,Columbia Lock Block for Automatic Taper (COLM-CT113)
columbia::ct29a,Columbia Tools,ct29a,2,2,0,0,conflict,all_wall_vs_wall_tools:handedness_mismatch:left!=right | all_wall_vs_wall_tools:product_family_mismatch:['taper']!=['automatic taper'],IDENTITY_CONFLICT,,,4.70,0,4.70,single_observation,CT29A Columbia Taper Nylatron Chain Roller (Left) #5603,,0,,,,3.23,0,3.23,single_observation,Columbia Small Right Side Nylatron Chain Roller for Automatic Taper (COLM-CT29A)
columbia::ct41,Columbia Tools,ct41,2,2,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['taper']!=['knife'],IDENTITY_CONFLICT,,,2.35,0,2.35,single_observation,CT41 Columbia Taper Cutter Block #5614,,0,,,,1.62,0,1.62,single_observation,Columbia Knife Retainer Block (COLM-CT41)
columbia::ct41a,Columbia Tools,ct41a,2,2,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['taper']!=['knife'],IDENTITY_CONFLICT,,,8.73,0,8.73,single_observation,CT41A Columbia Taper Cutter Block Clamp #5615,,0,,,,6.16,0,6.16,single_observation,Columbia Knife Retainer Cap (COLM-CT41A)
columbia::ct95,Columbia Tools,ct95,2,2,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['taper']!=['plate'],IDENTITY_CONFLICT,,,11.30,0,11.30,single_observation,CT95 Columbia Taper Control Valve #5870,,0,,,,7.77,0,7.77,single_observation,Columbia Mud Gate Control Valve Plate (COLM-CT95)
columbia::ffb32,Columbia Tools,ffb32,2,2,0,0,conflict,"all_wall_vs_wall_tools:product_family_mismatch:['clip', 'flat box']!=['screw']",IDENTITY_CONFLICT,,,3.78,0,3.78,single_observation,FFB32 Columbia Flat Box Thumb Release Clip,,0,,,,2.60,0,2.60,single_observation,Columbia Old Style Door Stop (Screw Type) (COLM-FFB32)
columbia::hh9,Columbia Tools,hh9,2,2,0,0,conflict,"all_wall_vs_wall_tools:product_family_mismatch:['hose']!=['flat box', 'handle']",IDENTITY_CONFLICT,,,50.01,0,50.01,single_observation,Columbia Coiled Hydraulic Hose for COL88,,0,,,,44.20,0,44.20,single_observation,Columbia Coiled Hydraulic Line for Hydra Reach Flat Box Handle (COLM-HH9)
columbia::mhl,Columbia Tools,mhl,3,3,0,0,conflict,all_wall_vs_als_taping_tools:length_class_mismatch:xl!=long | all_wall_vs_wall_tools:length_class_mismatch:xl!=long,IDENTITY_CONFLICT,,,373.99,0,373.99,single_observation,Columbia MATRIX XL Extendable Flat Box Handle,373.12,0,373.12,single_observation,"Columbia Matrix Long Extendable Drywall Flat Box Handle 56"" to 76""",373.12,0,373.12,single_observation,Columbia Matrix Long Flat Box Handle
columbia::ns18,Columbia Tools,ns18,2,2,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['nail spotter']!=['shoe'],IDENTITY_CONFLICT,,,4.12,0,4.12,single_observation,NS18 Columbia Nail Spotter Pivot #5898,,0,,,,3.33,0,3.33,single_observation,Columbia Shoe Pivot (COLM-NS18)
columbia::sat,Columbia Tools,sat,3,3,0,0,conflict,als_taping_tools_vs_wall_tools:product_family_mismatch:['taper']!=['automatic taper'],IDENTITY_CONFLICT,,,243.99,0,243.99,single_observation,Columbia Semi Auto Drywall Taping Tool,243.34,0,243.34,single_observation,Columbia Semi Auto Taper Drywall Taping Tool,243.32,0,243.32,single_observation,Columbia Semi Automatic Taper
tapetech::056133,TapeTech,056133,2,2,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['taper']!=['blade'],IDENTITY_CONFLICT,,,29.90,0,29.90,single_observation,Stainless Steel Taper Blades 10 pack,,0,,,,5.52,0,5.52,single_observation,TapeTech PYRAMID BLADE (TAPE-056133)
tapetech::200026f,TapeTech,200026f,3,3,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['flat box']!=['gasket'] | als_taping_tools_vs_wall_tools:product_family_mismatch:['gasket']!=['flat box'],IDENTITY_CONFLICT,,,34.39,0,34.39,single_observation,"TapeTech 7"" Flat Box Wiper 200026F",35.20,0,35.20,single_observation,"200026 - 7"" Wiper Gasket",35.00,0,35.00,single_observation,"TapeTech 7"" WIPER - Flat Box Wiper One-Piece (TAPE-200026F)"
tapetech::409011,TapeTech,409011,3,3,0,0,conflict,als_taping_tools_vs_wall_tools:product_family_mismatch:['blade']!=['angle head'],IDENTITY_CONFLICT,,,3.08,0,3.08,single_observation,TapeTech Skid 409011,3.53,0,3.53,single_observation,Skid Blade - 409011,3.32,0,3.32,single_observation,TapeTech Angle Head Side Skid (TAPE-409011)
tapetech::480007f,TapeTech,480007f,2,2,0,0,conflict,all_wall_vs_wall_tools:handedness_mismatch:right!=left,IDENTITY_CONFLICT,,,16.29,0,16.29,single_observation,"TapeTech Spring Adjusting Cam, Right 480007F",,0,,,,16.57,0,16.57,single_observation,"TapeTech Spring Adjuster Cam, Left (TAPE-480007F)"
tapetech::480008f,TapeTech,480008f,3,3,0,0,conflict,all_wall_vs_wall_tools:handedness_mismatch:left!=right | als_taping_tools_vs_wall_tools:handedness_mismatch:left!=right,IDENTITY_CONFLICT,,,16.29,0,16.29,single_observation,"TapeTech Spring Adjusting Cam, Left 480008F",20.74,0,20.74,single_observation,Spring Adjusting Cam (Left) - 480008,16.57,0,16.57,single_observation,"TapeTech Spring Adjuster Cam, Right (TAPE-480008F)"
tapetech::501f25a,TapeTech,501f25a,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['angle head']!=['corner finisher'],IDENTITY_CONFLICT,,,30.39,0,30.39,single_observation,"TapeTech 2.5"" Angle Head Repair Kit 501F25A",37.09,0,37.09,single_observation,"TapeTech 2.5"" Corner Finisher Maintenance Kit - 501F25A",,0,,,
tapetech::501f3a,TapeTech,501f3a,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['angle head']!=['corner finisher'],IDENTITY_CONFLICT,,,39.49,0,39.49,single_observation,"TapeTech 3"" Angle Head Repair Kit 501F3A",34.99,0,34.99,single_observation,"TapeTech 3"" Corner Finisher Repair Kit - 501F3A",,0,,,
tapetech::76xltt,TapeTech,76xltt,2,2,0,0,conflict,all_wall_vs_als_taping_tools:length_class_mismatch:xl!=long,IDENTITY_CONFLICT,,,659.00,0,659.00,single_observation,TapeTech XL EasyClean Loading Pump 76XLTT,665.00,0,665.00,single_observation,TapeTech Extra Long EasyClean Tall Loading Pump - 76XLTT,,0,,,
tapetech::85xltt,TapeTech,85xltt,2,2,0,0,conflict,all_wall_vs_als_taping_tools:length_class_mismatch:xl!=long,IDENTITY_CONFLICT,,,199.00,0,199.00,single_observation,TapeTech XL Gooseneck for 76XLTT Pump,199.00,0,199.00,single_observation,TapeTech Extra Long Gooseneck Adapter,,0,,,
tapetech::cf07h,TapeTech,cf07h,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['flat box']!=['finishing box'],IDENTITY_CONFLICT,,,545.00,0,545.00,single_observation,"TapeTech 7"" Continuous Flow Flat Box CF07H",615.00,0,615.00,single_observation,"TapeTech / Ames Continuous Flow 7"" Finishing Box - CF07H",,0,,,
tapetech::cf10h,TapeTech,cf10h,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['flat box']!=['finishing box'],IDENTITY_CONFLICT,,,578.00,0,578.00,single_observation,"TapeTech 10"" Continuous Flow Flat Box CF10H",650.00,0,650.00,single_observation,"TapeTech / Ames Continuous Flow 10"" Finishing Box - CF10H",,0,,,
tapetech::cf12h,TapeTech,cf12h,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['flat box']!=['finishing box'],IDENTITY_CONFLICT,,,669.00,0,669.00,single_observation,"TapeTech 12"" Continuous Flow Flat Box CF12H",750.00,0,750.00,single_observation,"TapeTech / Ames Continuous Flow 12"" Finishing Box - CF12H",,0,,,
tapetech::ns02tt,TapeTech,ns02tt,3,3,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['nail spotter']!=['screw'] | als_taping_tools_vs_wall_tools:product_family_mismatch:['screw']!=['nail spotter'],IDENTITY_CONFLICT,,,278.00,0,278.00,single_observation,"TapeTech 2"" EasyClean Nail Spotter NS02TT",278.00,0,278.00,single_observation,"TapeTech 2"" EasyClean Nail/Screw Spotter Head",278.00,0,278.00,single_observation,TapeTech 2 inch Easyclean Nail Spotter
tapetech::ns03tt,TapeTech,ns03tt,3,3,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['nail spotter']!=['screw'] | als_taping_tools_vs_wall_tools:product_family_mismatch:['screw']!=['nail spotter'],IDENTITY_CONFLICT,,,289.00,0,289.00,single_observation,"TapeTech 3"" EasyClean Nail Spotter NS03TT",289.00,0,289.00,single_observation,"TapeTech 3"" EasyClean Nail/Screw Spotter",289.00,0,289.00,single_observation,TapeTech 3 inch Easyclean Nail Spotter
tapetech::pfb12,TapeTech,pfb12,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['blade']!=['knife'],IDENTITY_CONFLICT,,,32.99,0,32.99,single_observation,"TapeTech 12"" Replacement Blade PFB12 2pk",37.00,0,37.00,single_observation,"TapeTech 12"" Replacement Blades for PFK12TT Skimming Knife",,0,,,
tapetech::pfb14,TapeTech,pfb14,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['blade']!=['knife'],IDENTITY_CONFLICT,,,36.99,0,36.99,single_observation,"TapeTech 14"" Replacement Blade PFB14 2pk",42.00,0,42.00,single_observation,"TapeTech 14"" Replacement Blades for PFK14TT Skimming Knife",,0,,,
tapetech::pfb18,TapeTech,pfb18,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['blade']!=['knife'],IDENTITY_CONFLICT,,,43.99,0,43.99,single_observation,"TapeTech 18"" Replacement Blade PFB18 2pk",48.00,0,48.00,single_observation,"TapeTech 18"" Replacement Blades for PFK18TT Skimming Knife",,0,,,
tapetech::pfb24,TapeTech,pfb24,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['blade']!=['knife'],IDENTITY_CONFLICT,,,55.99,0,55.99,single_observation,"TapeTech 24"" Replacement Blade PFB24 2pk",58.00,0,58.00,single_observation,"TapeTech 24"" Replacement Blades for PFK24TT Skimming Knife",,0,,,
tapetech::pfb32,TapeTech,pfb32,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['blade']!=['knife'],IDENTITY_CONFLICT,,,71.99,0,71.99,single_observation,"TapeTech 32"" Replacement Blade PFB32 2pk",79.00,0,79.00,single_observation,"TapeTech 32"" Replacement Blades for PFK32TT Skimming Knife",,0,,,
tapetech::pfb40,TapeTech,pfb40,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['blade']!=['knife'],IDENTITY_CONFLICT,,,91.99,0,91.99,single_observation,"TapeTech 40"" Replacement Blade PFB40 2pk",95.00,0,95.00,single_observation,"TapeTech 40"" Replacement Blades for PFK40TT Skimming Knife",,0,,,
tapetech::pfk07tt,TapeTech,pfk07tt,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['knife']!=['blade'],IDENTITY_CONFLICT,,,27.99,0,27.99,single_observation,"TapeTech 7"" Premium Finishing Knife PFK07TT",31.00,0,31.00,single_observation,"TapeTech 7"" Premium Smoothing Wipe Down Blade",,0,,,
tapetech::pfk12tt,TapeTech,pfk12tt,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['knife']!=['blade'],IDENTITY_CONFLICT,,,29.99,0,29.99,single_observation,"TapeTech 12"" Premium Finishing Knife PFK12TT",41.00,0,41.00,single_observation,"TapeTech 12"" Premium Smoothing Wipe Down Blade",,0,,,
columbia::10fbba,Columbia Tools,10fbba,3,3,3,2,verified,,MARKET_PRICE_CONFLICT,,0.91,492.99,0,492.99,single_observation,"Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",492.08,0,492.08,single_observation,"Columbia 10""  Automatic Assist Drywall Tool Flat Box",492.08,0,492.08,single_observation,Columbia 10 in. Automatic Fat Boy Flat Box
columbia::10ffba,Columbia Tools,10ffba,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.80,427.99,0,427.99,single_observation,"Columbia 10"" Automatic Assist Drywall Flat Box",,0,,,,427.19,0,427.19,single_observation,Columbia 10 in. Automatic Assist Flat Box
columbia::10itfb,Columbia Tools,10itfb,3,3,3,2,verified,,MARKET_PRICE_CONFLICT,,0.17,448.99,0,448.99,single_observation,"Columbia Inside Track Fat Boy Flat Box 10""",448.82,0,448.82,single_observation,"Columbia 10"" Inside Track Fat Boy Flat Box",448.82,0,448.82,single_observation,Columbia 10 in. Inside Track Fat Boy Flat Box
columbia::12fbba,Columbia Tools,12fbba,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.09,502.99,0,502.99,single_observation,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",502.90,0,502.90,single_observation,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",,0,,,
columbia::12ffba,Columbia Tools,12ffba,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.39,432.99,0,432.99,single_observation,"Columbia 12"" Automatic Assist Drywall Flat Box",,0,,,,432.60,0,432.60,single_observation,Columbia 12 in. Automatic Assist Flat Box
columbia::12itfb,Columbia Tools,12itfb,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.35,459.99,0,459.99,single_observation,"Columbia Inside Track Fat Boy Flat Box 12""",,0,,,,459.64,0,459.64,single_observation,Columbia 12 in. Inside Track Fat Boy Flat Box
columbia::14ffb,Columbia Tools,14ffb,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.20,421.99,0,421.99,single_observation,"Columbia 14"" Flat Finishing Box",421.79,0,421.79,single_observation,"Columbia 14"" Drywall Flat Finishing Box",,0,,,
columbia::14ffba,Columbia Tools,14ffba,3,3,3,2,verified,,MARKET_PRICE_CONFLICT,,0.98,438.99,0,438.99,single_observation,"Columbia 14"" Automatic Assist Drywall Flat Box",438.01,0,438.01,single_observation,"Columbia 14""  Automatic Assist Drywall Flat Box",438.01,0,438.01,single_observation,Columbia 14 in. Automatic Assist Flat Box
columbia::2.5ah,Columbia Tools,2.5ah,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.20,421.99,0,421.99,single_observation,"Columbia 2.5"" Angle Head",421.79,0,421.79,single_observation,"Columbia 2.5"" Angle Head w/ Wheels",,0,,,
columbia::2.5df,Columbia Tools,2.5df,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.37,127.99,0,127.99,single_observation,"Columbia 2.5"" Direct Corner Flusher",127.62,0,127.62,single_observation,"Columbia Taping Tools 2.5"" Direct Drywall Corner Flusher",,0,,,
columbia::2.5sf,Columbia Tools,2.5sf,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.19,116.99,0,116.99,single_observation,"Columbia 2.5"" Standard Corner Flusher",116.80,0,116.80,single_observation,"Columbia Taping Tools 2.5"" Standard Drywall Corner Flusher with Wheels",,0,,,
columbia::2ah,Columbia Tools,2ah,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.02,410.99,0,410.99,single_observation,"Columbia 2"" Angle Head",410.97,0,410.97,single_observation,"Columbia 2"" Angle Head w/ Wheels",,0,,,
columbia::2ns,Columbia Tools,2ns,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.58,297.99,0,297.99,single_observation,"Columbia Taping Tools 2"" Hinged Nail Spotter Head Only",297.41,0,297.41,single_observation,"Columbia Taping Tools 2"" Nail Spotter",,0,,,
columbia::3.5ah,Columbia Tools,3.5ah,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.76,454.99,0,454.99,single_observation,"Columbia 3.5"" Angle Head",454.23,0,454.23,single_observation,"Columbia 3.5"" Angle Head w/ Wheels",,0,,,
columbia::3.5sf,Columbia Tools,3.5sf,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.97,133.99,0,133.99,single_observation,"Columbia 3.5"" Standard Corner Flusher",133.02,0,133.02,single_observation,"Columbia Taping Tools 3.5"" Standard Drywall Corner Flusher with Wheels",,0,,,
columbia::3ah,Columbia Tools,3ah,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.57,443.99,0,443.99,single_observation,"Columbia 3"" Angle Head",443.42,0,443.42,single_observation,"Columbia 3"" Angle Head w/ Wheels",,0,,,
columbia::3bbh,Columbia Tools,3bbh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.28,221.99,0,221.99,single_observation,"Columbia 36"" 180-Grip Bent Flat Box Handle",221.71,0,221.71,single_observation,Columbia 3' 180 Grip Bent Box Handle,,0,,,
columbia::3bh,Columbia Tools,3bh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.73,189.99,0,189.99,single_observation,"Columbia 36"" 180-Grip Flat Box Handle",189.26,0,189.26,single_observation,"Columbia 36"" 180-Grip Featherweight Flat Box Handle",,0,,,
columbia::3csf,Columbia Tools,3csf,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,5.68,168.99,0,168.99,single_observation,"Columbia 3"" Combo Flusher",163.31,0,163.31,single_observation,Columbia Combo Flusher,,0,,,
columbia::3df,Columbia Tools,3df,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,2.03,130.99,0,130.99,single_observation,"Columbia 3"" Direct Corner Flusher",133.02,0,133.02,single_observation,"Columbia Taping Tools 3"" Direct Drywall Corner Flusher",,0,,,
columbia::3ns,Columbia Tools,3ns,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.76,308.99,0,308.99,single_observation,"Columbia Taping Tools 3"" Hinged Nail Spotter Head Only",308.23,0,308.23,single_observation,"Columbia Taping Tools 3"" Hinged Nail Spotter",,0,,,
columbia::3sf,Columbia Tools,3sf,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.78,122.99,0,122.99,single_observation,"Columbia 3"" Standard Corner Flusher",122.21,0,122.21,single_observation,"Columbia Taping Tools 3"" Standard Drywall Corner Flusher with Wheels",,0,,,
columbia::3wtdf,Columbia Tools,3wtdf,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,25.99,140.99,0,140.99,single_observation,"Columbia 3"" Widetrack Direct Corner Flusher",115.00,0,115.00,single_observation,"Columbia Taping Tools 3"" Widetrack Direct Drywall Corner Flusher",,0,,,
columbia::42bbh,Columbia Tools,42bbh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.87,227.99,0,227.99,single_observation,"Columbia 42"" 180-Grip Bent Flat Box Handle",227.12,0,227.12,single_observation,"Columbia Drywall 42"" 180-Grip Bent Flat Box Handle",,0,,,
columbia::42bh,Columbia Tools,42bh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.50,205.99,0,205.99,single_observation,"Columbia 42"" 180-Grip Flat Box Handle",205.49,0,205.49,single_observation,"Columbia 42"" 180-Grip Featherweight Flat Box Handle",,0,,,
columbia::4bh,Columbia Tools,4bh,3,3,3,2,verified,,MARKET_PRICE_CONFLICT,,0.10,210.99,0,210.99,single_observation,"Columbia 48"" 180-Grip Flat Box Handle",210.89,0,210.89,single_observation,"Columbia 48"" 180-Grip Featherweight Flat Box Handle",210.89,0,210.89,single_observation,Columbia Taping Tools 4 ft. 180 Grip Flat Box Handle
columbia::5.5ffb,Columbia Tools,5.5ffb,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.28,367.99,0,367.99,single_observation,"Columbia 5.5"" Flat Finishing Box",367.71,0,367.71,single_observation,"Columbia 5.5"" Drywall Flat Finisher Box",,0,,,
columbia::5bbh,Columbia Tools,5bbh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.65,243.99,0,243.99,single_observation,"Columbia 60"" 180-Grip Bent Flat Box Handle",243.34,0,243.34,single_observation,"Columbia 60"" 180-Grip Bent Flat Box Handle",,0,,,
columbia::5bh,Columbia Tools,5bh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.28,221.99,0,221.99,single_observation,"Columbia 60"" 180-Grip Flat Box Handle",221.71,0,221.71,single_observation,"Columbia 60"" 180-Grip Featherweight Flat Box Handle",,0,,,
columbia::6bbh,Columbia Tools,6bbh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.84,254.99,0,254.99,single_observation,"Columbia 72"" 180-Grip Bent Flat Box Handle",254.15,0,254.15,single_observation,"Columbia 72"" 180-Grip Bent Flat Box Handle",,0,,,
columbia::6bh,Columbia Tools,6bh,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.47,232.99,0,232.99,single_observation,"Columbia 72"" 180-Grip Flat Box Handle",232.52,0,232.52,single_observation,"Columbia 72"" 180-Grip Featherweight Flat Box Handle",,0,,,
columbia::7cfb,Columbia Tools,7cfb,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.35,313.99,0,313.99,single_observation,"Columbia 7"" ThrottleBox Angle Box 7CFB",313.64,0,313.64,single_observation,"Columbia 7"" ThrottleBox Angle Box",,0,,,
columbia::7ffb,Columbia Tools,7ffb,2,2,2,2,verified,,MARKET_PRICE_CONFLICT,,0.46,378.99,0,378.99,single_observation,"Columbia 7"" Flat Finishing Box",378.53,0,378.53,single_observation,Columbia Drywall Taping Tools 7” Hinged Flat Finisher Box,,0,,,
