DTB Row,DTB Product Type,DTB Parent SKU,DTB SKU,DTB Brand,DTB Product,DTB Effective Price,DTB Price Basis,DTB Price Warnings,Verified Competitor Count,Distinct Verified Prices,Market Price Status,Market Price,Market Price Evidence Count,Observed Price Spread,DTB vs Market Price,DTB vs Market Price %,Review Candidate Count,Recommended Review Status,Approved Alias Evidence Count,All-Wall Verified,All-Wall Identity,All-Wall SKU,All-Wall Product,All-Wall Price,All-Wall Duplicate Count,All-Wall Observed Duplicate Prices,All-Wall Evidence Quality,Al's Taping Tools Verified,Al's Taping Tools Identity,Al's Taping Tools SKU,Al's Taping Tools Product,Al's Taping Tools Price,Al's Taping Tools Duplicate Count,Al's Taping Tools Observed Duplicate Prices,Al's Taping Tools Evidence Quality,Wall Tools Verified,Wall Tools Identity,Wall Tools SKU,Wall Tools Product,Wall Tools Price,Wall Tools Duplicate Count,Wall Tools Observed Duplicate Prices,Wall Tools Evidence Quality
18,variation,COL-AUTOMATIC-FLAT-BOX,10FFBA,Columbia Tools,"Columbia Automatic Flat Box - 10""",427.19,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.80,,,0,Price Conflict - Review Required,0,yes,columbia::10ffba,10FFBA,"Columbia 10"" Automatic Assist Drywall Flat Box",427.99,0,427.99,verified_exact_identity,no,,,,,0,,,yes,columbia::10ffba,10FFBA,Columbia 10 in. Automatic Assist Flat Box,427.19,0,427.19,verified_exact_identity
19,variation,COL-AUTOMATIC-FLAT-BOX,12FFBA,Columbia Tools,"Columbia Automatic Flat Box - 12""",432.60,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.39,,,0,Price Conflict - Review Required,0,yes,columbia::12ffba,12FFBA,"Columbia 12"" Automatic Assist Drywall Flat Box",432.99,0,432.99,verified_exact_identity,no,,,,,0,,,yes,columbia::12ffba,12FFBA,Columbia 12 in. Automatic Assist Flat Box,432.60,0,432.60,verified_exact_identity
20,variation,COL-AUTOMATIC-FLAT-BOX,14FFBA,Columbia Tools,"Columbia Automatic Flat Box - 14""",438.01,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.98,,,0,Price Conflict - Review Required,0,yes,columbia::14ffba,14FFBA,"Columbia 14"" Automatic Assist Drywall Flat Box",438.99,0,438.99,verified_exact_identity,yes,columbia::14ffba,14FFBA,"Columbia 14""  Automatic Assist Drywall Flat Box",438.01,0,438.01,verified_exact_identity,yes,columbia::14ffba,14FFBA,Columbia 14 in. Automatic Assist Flat Box,438.01,0,438.01,verified_exact_identity
23,variation,COL-AUTOMATIC-TAPER,STAPER,Columbia Tools,"Columbia Automatic Taper - Sawed Off 39""",1715.43,regular_price,,3,1,MARKET_PRICE_VERIFIED_3_OF_3,1649.29,3,0.00,66.14,4.01,0,Verified Market Price - 3/3,0,yes,columbia::staper,STAPER,"Columbia ""Sawed Off"" Mini Automatic Taper",1649.29,0,1649.29,verified_exact_identity,yes,columbia::staper,STAPER,"Columbia ""Sawed Off"" Mini Automatic Taper",1649.29,0,1649.29,verified_exact_identity,yes,columbia::staper,STAPER,Columbia Sawed-Off Automatic Taper,1649.29,0,1649.29,verified_exact_identity
24,variation,COL-AUTOMATIC-TAPER,TAPER,Columbia Tools,"Columbia Automatic Taper - Standard 53""",1715.43,regular_price,,3,1,MARKET_PRICE_VERIFIED_3_OF_3,1649.29,3,0.00,66.14,4.01,0,Verified Market Price - 3/3,0,yes,columbia::taper,TAPER,Columbia Automatic Taper,1649.29,0,1649.29,verified_exact_identity,yes,columbia::taper,TAPER,Columbia Automatic Taper,1649.29,0,1649.29,verified_exact_identity,yes,columbia::taper,TAPER,Columbia Automatic Taper,1649.29,0,1649.29,verified_exact_identity
25,simple,,PTAPER,Columbia Tools,Columbia One Predator Taper,2145.46,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,2,Identity Review Required,0,no,columbia::ptaper,PTAPER,Columbia PREDATOR Carbon Fiber Automatic Taper,,0,,review_only,no,,C1PBODY,Columbia One Predator Taper Body,,0,,review_only,no,,,,,0,,
26,variation,COL-BILLET-MUD-APPLICATOR,ICA2-1,Columbia Tools,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",68.13,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.86,,,0,Price Conflict - Review Required,0,yes,columbia::ica2-1,ICA2-1,Columbia Inside Corner Applicator 2 Wheels,68.99,0,68.99,verified_exact_identity,yes,columbia::ica2-1,ICA2-1,Columbia Inside Corner Applicator 2 Wheels,68.13,0,68.13,verified_exact_identity,yes,columbia::ica2-1,ICA2-1,Columbia Inside 90 Corner Applicator 2 Wheels,68.13,0,68.13,verified_exact_identity
27,variation,COL-BILLET-MUD-APPLICATOR,ICA4-1,Columbia Tools,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",85.44,regular_price,,3,3,MARKET_PRICE_CONFLICT,,0,0.56,,,0,Price Conflict - Review Required,0,yes,columbia::ica4-1,ICA4-1,Columbia Inside Corner Applicator 4 Wheels,85.99,0,85.99,verified_exact_identity,yes,columbia::ica4-1,ICA4-1,Columbia Inside Corner Applicator 4 Wheels,85.44,0,85.44,verified_exact_identity,yes,columbia::ica4-1,ICA4-1,Columbia Inside 90 Corner Applicator 4 Wheels,85.43,0,85.43,verified_exact_identity
28,variation,COL-BILLET-MUD-APPLICATOR,ICATW,Columbia Tools,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,116.80,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.19,,,0,Price Conflict - Review Required,0,yes,columbia::icatw,ICATW,Columbia Inside 90° Applicator with Wheels,116.99,0,116.99,verified_exact_identity,yes,columbia::icatw,ICATW,Columbia Inside 90 Applicator with Wheels,116.80,0,116.80,verified_exact_identity,yes,columbia::icatw,ICATW,Columbia Two-Way Inside Corner Applicator,116.80,0,116.80,verified_exact_identity
29,variation,COL-BILLET-MUD-APPLICATOR,CEXT90,Columbia Tools,Columbia Billet Mud Applicator - External 90,127.62,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.37,,,0,Price Conflict - Review Required,0,yes,columbia::cext90,CEXT90,Columbia Outside 90 Applicator Head,127.99,0,127.99,verified_exact_identity,yes,columbia::cext90,CEXT90,Columbia Outside 90 Corner Applicator Head,127.62,0,127.62,verified_exact_identity,yes,columbia::cext90,CEXT90,Columbia Outside 90 Degree Mud Applicator,127.62,0,127.62,verified_exact_identity
30,variation,COL-BILLET-MUD-APPLICATOR,CFLT,Columbia Tools,Columbia Billet Mud Applicator - Flat,91.93,regular_price,,3,3,MARKET_PRICE_CONFLICT,,0,0.06,,,0,Price Conflict - Review Required,0,yes,columbia::cflt,CFLT,Columbia Flat Applicator Head,91.99,0,91.99,verified_exact_identity,yes,columbia::cflt,CFLT,"Columbia 4"" Flat Applicator Head",91.93,0,91.93,verified_exact_identity,yes,columbia::cflt,CFLT,Columbia 4 in. Flat Applicator,91.94,0,91.94,verified_exact_identity
34,variation,COL-BOX-FILLER,BF,Columbia Tools,Columbia Box Filler - Standard,75.71,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.28,,,0,Price Conflict - Review Required,0,yes,columbia::bf,BF,Columbia Box Filler Fitting,75.99,0,75.99,verified_exact_identity,yes,columbia::bf,BF,Columbia Box Filler,75.71,0,75.71,verified_exact_identity,yes,columbia::bf,BF,Columbia Box Filler,75.71,0,75.71,verified_exact_identity
35,variation,COL-BOX-FILLER,TBBF,Columbia Tools,Columbia Box Filler - Tall Boy,75.71,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.28,,,0,Price Conflict - Review Required,0,yes,columbia::tbbf,TBBF,Columbia Tall Boy Box Filler,75.99,0,75.99,verified_exact_identity,no,,,,,0,,,yes,columbia::tbbf,TBBF,Columbia Tall Boy Box Filler,75.71,0,75.71,verified_exact_identity
36,variation,COL-CAM-LOCK-TUBE,CLT24,Columbia Tools,"Columbia Cam Lock Tube - 24""",270.95,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,yes,columbia::clt24,CLT24,"Columbia 24"" Cam-Lock Compound Mud Tube",257.99,0,257.99,verified_exact_identity,no,,,,,0,,,no,,,,,0,,
37,variation,COL-CAM-LOCK-TUBE,CLT32,Columbia Tools,"Columbia Cam Lock Tube - 32""",279.72,regular_price,,3,3,MARKET_PRICE_CONFLICT,,0,0.78,,,0,Price Conflict - Review Required,0,yes,columbia::clt32,CLT32,"Columbia 32"" Cam-Lock Compound Mud Tube",268.99,0,268.99,verified_exact_identity,yes,columbia::clt32,CLT32,"Columbia 32"" Cam-Lock Compound Mud Tube",268.21,0,268.21,verified_exact_identity,yes,columbia::clt32,CLT32,Columbia 32 in. Cam Lock Compound Mud Tube,268.22,0,268.22,verified_exact_identity
38,variation,COL-CAM-LOCK-TUBE,CLT42,Columbia Tools,"Columbia Cam Lock Tube - 42""",297.33,regular_price,,3,3,MARKET_PRICE_CONFLICT,,0,0.89,,,0,Price Conflict - Review Required,0,yes,columbia::clt42,CLT42,"Columbia 42"" Cam-Lock Compound Mud Tube",280.99,0,280.99,verified_exact_identity,yes,columbia::clt42,CLT42,"Columbia 42"" Cam-Lock Compound Mud Tube",280.11,0,280.11,verified_exact_identity,yes,columbia::clt42,CLT42,Columbia 42 in. Cam Lock Compound Mud Tube,280.10,0,280.10,verified_exact_identity
39,variation,COL-CAM-LOCK-TUBE,CLT55,Columbia Tools,"Columbia Cam Lock Tube - 55""",307.89,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.89,,,0,Price Conflict - Review Required,0,yes,columbia::clt55,CLT55,"Columbia 55"" Cam-Lock Compound Mud Tube",278.99,0,278.99,verified_exact_identity,yes,columbia::clt55,CLT55,"Columbia 55"" Cam-Lock Compound Mud Tube",278.10,0,278.10,verified_exact_identity,no,,,,,0,,
40,variation,COL-COMBO-FLUSHER,2.5CSF,Columbia Tools,"Columbia Combo Flusher - 2.5""",190.27,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,yes,columbia::2.5csf,2.5CSF,"Columbia 2.5"" Combo Flusher",163.99,0,163.99,verified_exact_identity,no,,3CSF,Columbia Combo Flusher,,0,,review_only,no,,,,,0,,
43,variation,COL-COMBO-FLUSHER,3CSF,Columbia Tools,"Columbia Combo Flusher - 3""",196.25,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,5.68,,,0,Price Conflict - Review Required,0,yes,columbia::3csf,3CSF,"Columbia 3"" Combo Flusher",168.99,0,168.99,verified_exact_identity,yes,columbia::3csf,3CSF,Columbia Combo Flusher,163.31,0,163.31,verified_exact_identity,no,,,,,0,,
44,variation,COL-COMBO-FLUSHER,3WTCSF,Columbia Tools,"Columbia Combo Flusher - 3"" Widetrack",196.25,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
45,variation,COL-COMBO-FLUSHER,3.5CSF,Columbia Tools,"Columbia Combo Flusher - 3.5""",202.25,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,yes,columbia::3.5csf,3.5CSF,"Columbia 3.5"" Combo Flusher",181.99,0,181.99,verified_exact_identity,no,,3CSF,Columbia Combo Flusher,,0,,review_only,no,,,,,0,,
46,variation,COL-COMPOUND-TUBE,CMT24,Columbia Tools,"Columbia Compound Tube - 24""",197.91,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.08,,,0,Price Conflict - Review Required,0,yes,columbia::cmt24,CMT24,"Columbia 24"" Compound Mud Tube",197.99,0,197.99,verified_exact_identity,yes,columbia::cmt24,CMT24,"Columbia 24"" Drywall Corner Finishing Compound Mud Tube",197.91,0,197.91,verified_exact_identity,no,,,,,0,,
47,variation,COL-COMPOUND-TUBE,CMT32,Columbia Tools,"Columbia Compound Tube - 32""",208.73,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.26,,,0,Price Conflict - Review Required,0,yes,columbia::cmt32,CMT32,"Columbia 32"" Compound Mud Tube",208.99,0,208.99,verified_exact_identity,yes,columbia::cmt32,CMT32,"Columbia 32"" Drywall Corner Finishing Compound Mud Tube",208.73,0,208.73,verified_exact_identity,no,,,,,0,,
48,variation,COL-COMPOUND-TUBE,CMT42,Columbia Tools,"Columbia Compound Tube - 42""",221.71,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.28,,,0,Price Conflict - Review Required,0,yes,columbia::cmt42,CMT42,"Columbia 42"" Compound Mud Tube",221.99,0,221.99,verified_exact_identity,yes,columbia::cmt42,CMT42,"Columbia 42"" Drywall Corner Finishing Compound Mud Tube",221.71,0,221.71,verified_exact_identity,no,,,,,0,,
49,variation,COL-COMPOUND-TUBE,CMT55,Columbia Tools,"Columbia Compound Tube - 55""",232.52,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,0,Single-Source Evidence,0,yes,columbia::cmt55,CMT55,"Columbia 55"" Compound Mud Tube",232.99,0,232.99,verified_exact_identity,no,,,,,0,,,no,,,,,0,,
50,variation,COL-DIRECT-FLUSHER,2.5DF,Columbia Tools,"Columbia Direct Flusher - 2.5""",127.62,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.37,,,0,Price Conflict - Review Required,0,yes,columbia::2.5df,2.5DF,"Columbia 2.5"" Direct Corner Flusher",127.99,0,127.99,verified_exact_identity,yes,columbia::2.5df,2.5DF,"Columbia Taping Tools 2.5"" Direct Drywall Corner Flusher",127.62,0,127.62,verified_exact_identity,no,,,,,0,,
52,variation,COL-DIRECT-FLUSHER,3DF,Columbia Tools,"Columbia Direct Flusher - 3""",133.02,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,2.03,,,0,Price Conflict - Review Required,0,yes,columbia::3df,3DF,"Columbia 3"" Direct Corner Flusher",130.99,0,130.99,verified_exact_identity,yes,columbia::3df,3DF,"Columbia Taping Tools 3"" Direct Drywall Corner Flusher",133.02,0,133.02,verified_exact_identity,no,,,,,0,,
53,variation,COL-DIRECT-FLUSHER,3WTDF,Columbia Tools,"Columbia Direct Flusher - 3"" Widetrack",140.60,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,25.99,,,0,Price Conflict - Review Required,0,yes,columbia::3wtdf,3WTDF,"Columbia 3"" Widetrack Direct Corner Flusher",140.99,0,140.99,verified_exact_identity,yes,columbia::3wtdf,3WTDF,"Columbia Taping Tools 3"" Widetrack Direct Drywall Corner Flusher",115.00,0,115.00,verified_exact_identity,no,,,,,0,,
54,variation,COL-DIRECT-FLUSHER,3.5DF,Columbia Tools,"Columbia Direct Flusher - 3.5""",146.00,regular_price,,2,1,MARKET_PRICE_VERIFIED_2_OF_3,146.00,2,0.00,0.00,0.00,0,Verified Market Price - 2/3,0,yes,columbia::3.5df,3.5DF,"Columbia 3.5"" Direct Corner Flusher",146.00,0,146.00,verified_exact_identity,yes,columbia::3.5df,3.5DF,"Columbia Taping Tools 3.5"" Direct Drywall Corner Flusher with Wheels",146.00,0,146.00,verified_exact_identity,no,,,,,0,,
55,variation,COL-DIRECT-FLUSHER,4DF,Columbia Tools,"Columbia Direct Flusher - 4""",151.41,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
56,variation,COL-FAT-BOY-FLAT-BOX,5.5FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 5.5""",384.39,regular_price,,0,0,NO_MARKET_EVIDENCE,,0,,,,0,No Market Evidence,0,no,,,,,0,,,no,,,,,0,,,no,,,,,0,,
57,variation,COL-FAT-BOY-FLAT-BOX,8FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 8""",443.42,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,yes,columbia::8fbb,8FBB,"Columbia 8"" Fat Boy Flat Box",443.99,0,443.99,verified_exact_identity,no,columbia::8fbb,8FBB,"Columbia 8"" Fat Boy Drywall Flat Finishing Box",,0,,review_only,no,,,,,0,,
58,variation,COL-FAT-BOY-FLAT-BOX,10FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 10""",454.23,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,yes,columbia::10fbb,10FBB,"Columbia 10"" Fat Boy Flat Box",454.99,0,454.99,verified_exact_identity,no,columbia::10fbb,10FBB,"Columbia 10"" Fat Boy Drywall Flat Finishing Box",,0,,review_only,no,,,,,0,,
59,variation,COL-FAT-BOY-FLAT-BOX,12FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 12""",465.05,regular_price,,1,1,MARKET_PRICE_SINGLE_SOURCE,,0,0.00,,,1,Single-Source Evidence + Review Candidates,0,yes,columbia::12fbb,12FBB,"Columbia 12"" Fat Boy Flat Box",465.99,0,465.99,verified_exact_identity,no,columbia::12fbb,12FBB,"Columbia 12"" Fat Boy Drywall Flat Finishing Box",,0,,review_only,no,,,,,0,,
62,variation,COL-FLAT-FINISHER-BOX,5.5FFB,Columbia Tools,"Columbia Flat Finisher Box - 5.5""",367.71,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.28,,,0,Price Conflict - Review Required,0,yes,columbia::5.5ffb,5.5FFB,"Columbia 5.5"" Flat Finishing Box",367.99,0,367.99,verified_exact_identity,yes,columbia::5.5ffb,5.5FFB,"Columbia 5.5"" Drywall Flat Finisher Box",367.71,0,367.71,verified_exact_identity,no,,,,,0,,
63,variation,COL-FLAT-FINISHER-BOX,7FFB,Columbia Tools,"Columbia Flat Finisher Box - 7""",378.53,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.46,,,0,Price Conflict - Review Required,0,yes,columbia::7ffb,7FFB,"Columbia 7"" Flat Finishing Box",378.99,0,378.99,verified_exact_identity,yes,columbia::7ffb,7FFB,Columbia Drywall Taping Tools 7” Hinged Flat Finisher Box,378.53,0,378.53,verified_exact_identity,no,,,,,0,,
64,variation,COL-FLAT-FINISHER-BOX,8FFB,Columbia Tools,"Columbia Flat Finisher Box - 8""",389.34,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.65,,,0,Price Conflict - Review Required,0,yes,columbia::8ffb,8FFB,"Columbia 8"" Flat Finishing Box",389.99,0,389.99,verified_exact_identity,yes,columbia::8ffb,8FFB,"Columbia 8"" Drywall Flat Finisher Box",389.34,0,389.34,verified_exact_identity,no,,,,,0,,
65,variation,COL-FLAT-FINISHER-BOX,10FFB,Columbia Tools,"Columbia Flat Finisher Box - 10""",400.16,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.83,,,0,Price Conflict - Review Required,0,yes,columbia::10ffb,10FFB,"Columbia 10"" Flat Finishing Box",400.99,0,400.99,verified_exact_identity,yes,columbia::10ffb,10FFB,"Columbia 10"" Drywall Flat Finishing Box",400.16,0,400.16,verified_exact_identity,yes,columbia::10ffb,10FFB,Columbia 10 in. Quick Clean Flat Box,400.16,0,400.16,verified_exact_identity
66,variation,COL-FLAT-FINISHER-BOX,12FFB,Columbia Tools,"Columbia Flat Finisher Box - 12""",410.97,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.02,,,0,Price Conflict - Review Required,0,yes,columbia::12ffb,12FFB,"Columbia 12"" Flat Finishing Box",410.99,0,410.99,verified_exact_identity,yes,columbia::12ffb,12FFB,"Columbia 12"" Drywall Flat Finishing Box",410.97,0,410.97,verified_exact_identity,yes,columbia::12ffb,12FFB,Columbia 12 in. Quick Clean Flat Box,410.97,0,410.97,verified_exact_identity
