Status,DTB Product,DTB SKU,DTB Product Type,DTB Parent SKU,DTB Brand,DTB Effective Price,DTB Price Basis,Verified Competitors,Distinct Verified Prices,Market Price Status,Market Price,Market Price Evidence Count,Observed Price Spread,DTB vs Market Price,DTB vs Market Price %,Review Candidates,All-Wall Verified,All-Wall SKU,All-Wall Price,All-Wall Product,All-Wall Evidence Quality,Al's Taping Tools Verified,Al's Taping Tools SKU,Al's Taping Tools Price,Al's Taping Tools Product,Al's Taping Tools Evidence Quality,Wall Tools Verified,Wall Tools SKU,Wall Tools Price,Wall Tools Product,Wall Tools Evidence Quality
Verified Market Price - 2/3,"TapeTech EasyFinish™ Box Handle - 34""",8134TT,variation,TT-EASYFINISH-BOX-HANDLE,TapeTech,$259.76,regular_price,2,1,Verified market price — 2/3 competitors,$259.00,2,$0.00,$0.76,+0.29%,0,yes,8134TT,$259.00,"TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT",verified_exact_identity,yes,8134TT,$259.00,"TapeTech 34"" EasyFinish Flat Box Handle - 8134TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3,TapeTech Applicator Head - Outside Corner,16TT,variation,TT-APPLICATOR-HEAD,TapeTech,$85.43,regular_price,2,1,Verified market price — 2/3 competitors,$85.00,2,$0.00,$0.43,+0.51%,0,yes,16TT,$85.00,TapeTech Mud Applicator Head 90 Outside 16TT,verified_exact_identity,yes,16TT,$85.00,TapeTech 90 Outside Corner Applicator Head,verified_exact_identity,no,,,,
Verified Market Price - 2/3,TapeTech Applicator Head - Inside Corner,16TT90,variation,TT-APPLICATOR-HEAD,TapeTech,$85.43,regular_price,2,1,Verified market price — 2/3 competitors,$85.00,2,$0.00,$0.43,+0.51%,0,yes,16TT90,$85.00,TapeTech Mud Applicator Head 90 Inside 16TT90,verified_exact_identity,yes,16TT90,$85.00,TapeTech 90 Inside Corner Mud Applicator,verified_exact_identity,no,,,,
Verified Market Price - 2/3,"Columbia Direct Flusher - 3.5""",3.5DF,variation,COL-DIRECT-FLUSHER,Columbia Tools,$146.00,regular_price,2,1,Verified market price — 2/3 competitors,$146.00,2,$0.00,$0.00,0.00%,0,yes,3.5DF,$146.00,"Columbia 3.5"" Direct Corner Flusher",verified_exact_identity,yes,3.5DF,$146.00,"Columbia Taping Tools 3.5"" Direct Drywall Corner Flusher with Wheels",verified_exact_identity,no,,,,
Verified Market Price - 3/3,Columbia Gooseneck - Tall Boy,TBGN,variation,COL-GOOSENECK,Columbia Tools,$146.00,regular_price,3,1,Verified market price — 3/3 competitors,$146.00,3,$0.00,$0.00,0.00%,0,yes,TBGN,$146.00,Columbia Tall Boy Gooseneck,verified_exact_identity,yes,TBGN,$146.00,Columbia Tall Boy Gooseneck,verified_exact_identity,yes,TBGN,$146.00,Columbia Tall Boy Gooseneck,verified_exact_identity
Verified Market Price - 2/3,"TapeTech Compound Tube - 24""",CT24TT,variation,TT-COMPOUND-TUBE,TapeTech,$189.00,regular_price,2,1,Verified market price — 2/3 competitors,$189.00,2,$0.00,$0.00,0.00%,0,yes,CT24TT,$189.00,"TapeTech 24"" Compound Tube CT24TT",verified_exact_identity,yes,CT24TT,$189.00,"Tapetech 24"" Drywall Compound Tube - CT24TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech Compound Tube - 36""",CT36TT,variation,TT-COMPOUND-TUBE,TapeTech,$199.00,regular_price,2,1,Verified market price — 2/3 competitors,$199.00,2,$0.00,$0.00,0.00%,0,yes,CT36TT,$199.00,"TapeTech 36"" Compound Tube CT36TT",verified_exact_identity,yes,CT36TT,$199.00,"TapeTech 36"" Drywall Compound Tube - CT36TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech Corner Applicator - 7""",CA07TT,variation,TT-CORNER-APPLICATOR,TapeTech,$315.00,regular_price,2,1,Verified market price — 2/3 competitors,$315.00,2,$0.00,$0.00,0.00%,0,yes,CA07TT,$315.00,"TapeTech 7"" Angle Box CA07TT",verified_exact_identity,yes,CA07TT,$315.00,"TapeTech  7"" Corner Applicator Head",verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech Corner Applicator - 8""",CA08TT,variation,TT-CORNER-APPLICATOR,TapeTech,$330.00,regular_price,2,1,Verified market price — 2/3 competitors,$330.00,2,$0.00,$0.00,0.00%,0,yes,CA08TT,$330.00,"TapeTech 8"" Angle Box CA08TT",verified_exact_identity,yes,CA08TT,$330.00,"TapeTech 8"" Corner Applicator - CA08TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3,TapeTech Corner Roller - Inside Corner,15TTE,variation,TT-CORNER-ROLLER,TapeTech,$189.00,regular_price,2,1,Verified market price — 2/3 competitors,$189.00,2,$0.00,$0.00,0.00%,0,yes,15TTE,$189.00,TapeTech Corner Roller 15TTE,verified_exact_identity,yes,15TTE,$189.00,TapeTech Inside Corner Roller,verified_exact_identity,no,,,,
Verified Market Price - 2/3,TapeTech Corner Roller - Outside Corner,17TT,variation,TT-CORNER-ROLLER,TapeTech,$170.00,regular_price,2,1,Verified market price — 2/3 competitors,$170.00,2,$0.00,$0.00,0.00%,0,yes,17TT,$170.00,TapeTech Outside Corner Roller 17TT,verified_exact_identity,yes,17TT,$170.00,TapeTech Outside Corner Bead Roller - 17TT,verified_exact_identity,no,,,,
Verified Market Price - 3/3,"TapeTech Direct Corner Flusher - 3""",CF30TT,variation,TT-DIRECT-CORNER-FLUSHER,TapeTech,$119.00,regular_price,3,1,Verified market price — 3/3 competitors,$119.00,3,$0.00,$0.00,0.00%,0,yes,CF30TT,$119.00,"TapeTech 3"" Direct Flusher CF30TT",verified_exact_identity,yes,CF30TT,$119.00,"TapeTech 3"" Direct Flusher",verified_exact_identity,yes,CF30TT,$119.00,"Tape Tech 3"" Corner Flusher (TAPE-CF30TT)",verified_exact_identity
Verified Market Price - 2/3,"TapeTech Direct Corner Flusher - 3.5""",CF35TT,variation,TT-DIRECT-CORNER-FLUSHER,TapeTech,$125.00,regular_price,2,1,Verified market price — 2/3 competitors,$125.00,2,$0.00,$0.00,0.00%,0,yes,CF35TT,$125.00,"TapeTech 3.5"" Direct Flusher CF35TT",verified_exact_identity,yes,CF35TT,$125.00,"TapeTech 3.5"" Direct Flusher",verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech Direct Corner Flusher - 4""",CF40TT,variation,TT-DIRECT-CORNER-FLUSHER,TapeTech,$129.00,regular_price,2,1,Verified market price — 2/3 competitors,$129.00,2,$0.00,$0.00,0.00%,0,yes,CF40TT,$129.00,"TapeTech 4"" Direct Flusher CF40TT",verified_exact_identity,yes,CF40TT,$129.00,"TapeTech 4"" Direct Flusher - CF40TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech EasyFinish™ Box Handle - 42""",8142TT,variation,TT-EASYFINISH-BOX-HANDLE,TapeTech,$269.00,regular_price,2,1,Verified market price — 2/3 competitors,$269.00,2,$0.00,$0.00,0.00%,0,yes,8142TT,$269.00,"TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT",verified_exact_identity,yes,8142TT,$269.00,"TapeTech 42"" EasyFinish Flat Box Handle - 8142TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech EasyFinish™ Box Handle - 54""",8154TT,variation,TT-EASYFINISH-BOX-HANDLE,TapeTech,$279.00,regular_price,2,1,Verified market price — 2/3 competitors,$279.00,2,$0.00,$0.00,0.00%,0,yes,8154TT,$279.00,"TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT",verified_exact_identity,yes,8154TT,$279.00,"TapeTech 54"" EasyFinish Flat Box Handle - 8154TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3 + Review Candidates,"TapeTech Flat Box Handle - 34""",8034TT,variation,TT-FLAT-BOX-HANDLE,TapeTech,$229.00,regular_price,2,1,Verified market price — 2/3 competitors,$229.00,2,$0.00,$0.00,0.00%,1,yes,8034TT,$229.00,"TapeTech 34"" Flat Box Handle 8034TT",verified_exact_identity,yes,8034TT,$229.00,"TapeTech 34"" Drywall Flat Finishing Box Handle - 8034TT",verified_exact_identity,no,80BH,,TapeTech Flat Box Handle,review_only
Verified Market Price - 2/3 + Review Candidates,"TapeTech Flat Box Handle - 42""",8042TT,variation,TT-FLAT-BOX-HANDLE,TapeTech,$234.00,regular_price,2,1,Verified market price — 2/3 competitors,$234.00,2,$0.00,$0.00,0.00%,1,yes,8042TT,$234.00,"TapeTech 42"" Flat Box Handle 8042TT",verified_exact_identity,yes,8042TT,$234.00,"TapeTech 42"" Drywall Flat Finisher Box Handle - 8042TT",verified_exact_identity,no,80BH,,TapeTech Flat Box Handle,review_only
Verified Market Price - 2/3 + Review Candidates,"TapeTech Flat Box Handle - 54""",8054TT,variation,TT-FLAT-BOX-HANDLE,TapeTech,$239.00,regular_price,2,1,Verified market price — 2/3 competitors,$239.00,2,$0.00,$0.00,0.00%,1,yes,8054TT,$239.00,"TapeTech 54"" Flat Box Handle 8054TT",verified_exact_identity,yes,8054TT,$239.00,"TapeTech 54"" Drywall Flat Finisher Box Handle",verified_exact_identity,no,80BH,,TapeTech Flat Box Handle,review_only
Verified Market Price - 2/3 + Review Candidates,"TapeTech Flat Box Handle - 72""",8072TT,variation,TT-FLAT-BOX-HANDLE,TapeTech,$249.00,regular_price,2,1,Verified market price — 2/3 competitors,$249.00,2,$0.00,$0.00,0.00%,1,yes,8072TT,$249.00,"TapeTech 72"" Flat Box Handle 8072TT",verified_exact_identity,yes,8072TT,$249.00,"TapeTech 72"" Drywall Flat Finisher Box Handle - 8072TT",verified_exact_identity,no,80BH,,TapeTech Flat Box Handle,review_only
Verified Market Price - 3/3,TapeTech XTender Finishing Box Handle,88TTE,simple,,TapeTech,$378.00,regular_price,3,1,Verified market price — 3/3 competitors,$378.00,3,$0.00,$0.00,0.00%,0,yes,88TTE,$378.00,TapeTech Xtender Flat Box Handle 88TTE,verified_exact_identity,yes,88TTE,$378.00,TapeTech Flat Box Xtender Handle - 88TTE,verified_exact_identity,yes,88TTE,$378.00,TapeTech Flat Box Xtender Handle,verified_exact_identity
Verified Market Price - 3/3,TapeTech Gooseneck - Standard,85T,variation,TT-GOOSENECK,TapeTech,$105.00,regular_price,3,1,Verified market price — 3/3 competitors,$105.00,3,$0.00,$0.00,0.00%,0,yes,85T,$105.00,TapeTech Gooseneck 85T,verified_exact_identity,yes,85T,$105.00,TapeTech Gooseneck Adapter,verified_exact_identity,yes,85T,$105.00,TapeTech Gooseneck,verified_exact_identity
Verified Market Price - 2/3,"TapeTech QuickBox® QSX Finishing Box - 6.5""",QB06-QSX,variation,TT-QUICKBOX-QSX-FINISHING-BOX,TapeTech,$149.00,regular_price,2,1,Verified market price — 2/3 competitors,$149.00,2,$0.00,$0.00,0.00%,0,yes,QB06-QSX,$149.00,"TapeTech 6.5"" QuickBox QSX Finishing Box",verified_exact_identity,yes,QB06-QSX,$149.00,"TapeTech QuickBox QSX 6.5"" Finishing Box",verified_exact_identity,no,,,,
Verified Market Price - 3/3,TapeTech Support Handle - Fiberglass,FHTT,variation,TT-SUPPORT-HANDLE,TapeTech,$59.00,regular_price,3,1,Verified market price — 3/3 competitors,$59.00,3,$0.00,$0.00,0.00%,0,yes,FHTT,$59.00,TapeTech Interchangeable Fiberglass Support Handle FHTT,verified_exact_identity,yes,FHTT,$59.00,TapeTech Interchangeable Fiberglass Handle - FHTT,verified_exact_identity,yes,FHTT,$59.00,TapeTech Fiberglass Handle,verified_exact_identity
Verified Market Price - 2/3,TapeTech Support Handle - Closet Crusher Fiberglass,FHTT-CC,variation,TT-SUPPORT-HANDLE,TapeTech,$50.00,regular_price,2,1,Verified market price — 2/3 competitors,$50.00,2,$0.00,$0.00,0.00%,0,yes,FHTT-CC,$50.00,"TapeTech Closet Crusher 18"" Support Handle FHTT-CC",verified_exact_identity,yes,FHTT-CC,$50.00,"TapeTech Closet Crusher 18"" Support Handle",verified_exact_identity,no,,,,
Verified Market Price - 3/3,TapeTech Support Handle - Extension,XHTT,variation,TT-SUPPORT-HANDLE,TapeTech,$179.00,regular_price,3,1,Verified market price — 3/3 competitors,$179.00,3,$0.00,$0.00,0.00%,0,yes,XHTT,$179.00,TapeTech Interchangeable Extendable Support Handle XHTT,verified_exact_identity,yes,XHTT,$179.00,TapeTech Extendable Interchangeable Handle - XHTT,verified_exact_identity,yes,XHTT,$179.00,TapeTech Extension Handle,verified_exact_identity
Verified Market Price - 3/3,TapeTech Support Handle Adapter - Corner Finisher,CFA-TT,variation,TT-SUPPORT-HANDLE-ADAPTER,TapeTech,$49.00,regular_price,3,1,Verified market price — 3/3 competitors,$49.00,3,$0.00,$0.00,0.00%,0,yes,CFA-TT,$49.00,TapeTech Corner Finisher Handle Adapter CFA-TT,verified_exact_identity,yes,CFA-TT,$49.00,TapeTech Corner Finisher Ball Adapter - CFA-TT,verified_exact_identity,yes,CFATT,$49.00,TapeTech Corner Finisher Adapter,verified_exact_identity
Verified Market Price - 3/3,TapeTech Wizard® Compact Finishing Box Handle - Standard,8000TT,variation,TT-WIZARD-COMPACT-FINISHING-BOX-HANDLE,TapeTech,$109.00,regular_price,3,1,Verified market price — 3/3 competitors,$109.00,3,$0.00,$0.00,0.00%,0,yes,8000TT,$109.00,TapeTech Wizard Compact Flat Box Handle 8000TT,verified_exact_identity,yes,8000TT,$109.00,TapeTech Wizard Flat Box Handle,verified_exact_identity,yes,8000TT,$109.00,TapeTech Wizard Compact Flat Box Handle (TAPE-8000TT),verified_exact_identity
Verified Market Price - 2/3,TapeTech Wizard® Compact Finishing Box Handle - Power Assist,8000TT-PA,variation,TT-WIZARD-COMPACT-FINISHING-BOX-HANDLE,TapeTech,$109.00,regular_price,2,1,Verified market price — 2/3 competitors,$109.00,2,$0.00,$0.00,0.00%,0,yes,8000TT-PA,$109.00,TapeTech Wizard Compact Flat Box Handle 8000TT-PA,verified_exact_identity,yes,8000TT-PA,$109.00,TapeTech Wizard Compact Handle for Power Assist Boxes,verified_exact_identity,no,,,,
Verified Market Price - 2/3,TapeTech MudRunner® Compound Applicator - Pro,MR01TT,variation,TT-MUDRUNNER,TapeTech,"$1,099.00",regular_price,2,1,Verified market price — 2/3 competitors,"$1,099.00",2,$0.00,$0.00,0.00%,0,yes,MR01TT,"$1,099.00",TapeTech MudRunner® Pro,verified_exact_identity,yes,MR01TT,"$1,099.00",TapeTech MudRunner Compound Applicator Tube,verified_exact_identity,no,,,,
Verified Market Price - 2/3,TapeTech Compound Tube Filler Adapter,CTA01TT,simple,,TapeTech,$19.99,regular_price,2,1,Verified market price — 2/3 competitors,$19.99,2,$0.00,$0.00,0.00%,0,yes,CTA01TT,$19.99,TapeTech Compound Tube Filler Adapter CTA01TT,verified_exact_identity,yes,CTA01TT,$19.99,TapeTech Compound Tube Filler Adapter - CTA01TT,verified_exact_identity,no,,,,
Verified Market Price - 3/3,TapeTech Filler Adapter,90T,simple,,TapeTech,$79.00,regular_price,3,1,Verified market price — 3/3 competitors,$79.00,3,$0.00,$0.00,0.00%,0,yes,90T,$79.00,TapeTech Box Filler 90TT,verified_exact_identity,yes,90T,$79.00,TapeTech Drywall Box Filler Attachment -  90T,verified_exact_identity,yes,90T,$79.00,TapeTech Box Filler,verified_exact_identity
