Status,DTB Product,DTB SKU,DTB Brand,Our Price,Competitor,Competitor Product,Competitor SKU,Competitor Price,Price Difference,Price Position,Why It Matched,Match Score
Needs Review,"Blade - 10""",FFB9-10,Columbia Tools,$28.95,Al's Taping Tools,"Columbia Flat Box Blade 10"" - FFB9-10",FFB9-10,$4.15,-$24.80,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Blade - 12""",FFB9-12,Columbia Tools,$32.50,Al's Taping Tools,"Columbia Flat Box Blade 12"" - FFB9-12",FFB9-12,$4.15,-$28.35,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Blade - 14""",FFB9-14,Columbia Tools,$36.95,Al's Taping Tools,"Columbia Flat Box Blade 14"" - FFB9-14",FFB9-14,$6.45,-$30.50,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Blade - 5.5""",FFB9-5.5,Columbia Tools,$18.75,Al's Taping Tools,"Columbia Flat Box Blade 5.5"" - FFB9-5.5",ffb9-5.5,$3.14,-$15.61,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Blade - 7""",FFB9-7,Columbia Tools,$22.50,Al's Taping Tools,"Columbia Flat Box Blade 7"" - FFB9-7",FFB9-7,$305.00,$282.50,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Blade - 8""",FFB9-8,Columbia Tools,$24.95,Al's Taping Tools,"Columbia Flat Box Blade 8"" - FFB9-8",FFB9-8,$305.00,$280.05,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Bottom Retainer Corner Clip - 3.5""",AH9A,Columbia Tools,$11.50,Al's Taping Tools,AH9A - Center Clip Assembly,AH9A,$11.91,$0.41,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Cable Drum,CT73,Columbia Tools,$34.23,Al's Taping Tools,71 - Cable Drum,050083F-A,$39.99,$5.76,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Clutch Lever,CT82,Columbia Tools,$19.75,Al's Taping Tools,Taper Clutch Lever - CT82,CT82,$25.09,$5.34,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Clutch Release Rod,CT88,Columbia Tools,$16.50,Al's Taping Tools,Taper Clutch Release Rod - CT88,CT-88,$13.63,-$2.87,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,Al's Taping Tools,"Columbia Drywall 42"" 180-Grip Bent Flat Box Handle",42BBH,$227.12,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,Al's Taping Tools,"Columbia 60"" 180-Grip Bent Flat Box Handle",5bbh,$243.34,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,Al's Taping Tools,"Columbia 72"" 180-Grip Bent Flat Box Handle",6BBH,$254.15,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,All-Wall,"Columbia 36"" 180-Grip Bent Flat Box Handle",3BBH,$221.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,All-Wall,"Columbia 42"" 180-Grip Bent Flat Box Handle",42BBH,$227.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,All-Wall,"Columbia 48"" 180-Grip Bent Flat Box Handle",4BBH,$232.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,All-Wall,"Columbia 60"" 180-Grip Bent Flat Box Handle",5BBH,$243.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,All-Wall,"Columbia 72"" 180-Grip Bent Flat Box Handle",6BBH,$254.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia 180° Grip Flat Box Handle - 3',3BH,Columbia Tools,$189.26,All-Wall,"Columbia 42"" 180-Grip Flat Box Handle",42BH,$205.99,$16.73,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 3',3BH,Columbia Tools,$189.26,All-Wall,"Columbia 48"" 180-Grip Flat Box Handle",4BH,$210.99,$21.73,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 3',3BH,Columbia Tools,$189.26,All-Wall,"Columbia 60"" 180-Grip Flat Box Handle",5BH,$221.99,$32.73,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 3',3BH,Columbia Tools,$189.26,All-Wall,"Columbia 72"" 180-Grip Flat Box Handle",6BH,$232.99,$43.73,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 3',3BH,Columbia Tools,$189.26,Wall Tools,Columbia Taping Tools 4 ft. 180 Grip Flat Box Handle,4BH,$210.89,$21.63,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 4',4BH,Columbia Tools,$210.89,All-Wall,"Columbia 36"" 180-Grip Flat Box Handle",3BH,$189.99,-$20.90,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 4',4BH,Columbia Tools,$210.89,All-Wall,"Columbia 60"" 180-Grip Flat Box Handle",5BH,$221.99,$11.10,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 4',4BH,Columbia Tools,$210.89,All-Wall,"Columbia 72"" 180-Grip Flat Box Handle",6BH,$232.99,$22.10,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,"Columbia 180° Grip Flat Box Handle - 42""",42BH,Columbia Tools,$205.49,All-Wall,"Columbia 48"" 180-Grip Flat Box Handle",4BH,$210.99,$5.50,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,"Columbia 180° Grip Flat Box Handle - 42""",42BH,Columbia Tools,$205.49,All-Wall,"Columbia 72"" 180-Grip Flat Box Handle",6BH,$232.99,$27.50,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,"Columbia 180° Grip Flat Box Handle - 42""",42BH,Columbia Tools,$205.49,All-Wall,"Columbia 36"" 180-Grip Flat Box Handle",3BH,$189.99,-$15.50,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia 180° Grip Flat Box Handle - 42""",42BH,Columbia Tools,$205.49,All-Wall,"Columbia 60"" 180-Grip Flat Box Handle",5BH,$221.99,$16.50,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia 180° Grip Flat Box Handle - 42""",42BH,Columbia Tools,$205.49,Wall Tools,Columbia Taping Tools 4 ft. 180 Grip Flat Box Handle,4BH,$210.89,$5.40,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,Columbia 180° Grip Flat Box Handle - 5',5BH,Columbia Tools,$221.71,All-Wall,"Columbia 36"" 180-Grip Flat Box Handle",3BH,$189.99,-$31.72,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 5',5BH,Columbia Tools,$221.71,All-Wall,"Columbia 42"" 180-Grip Flat Box Handle",42BH,$205.99,-$15.72,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 5',5BH,Columbia Tools,$221.71,All-Wall,"Columbia 48"" 180-Grip Flat Box Handle",4BH,$210.99,-$10.72,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 5',5BH,Columbia Tools,$221.71,All-Wall,"Columbia 72"" 180-Grip Flat Box Handle",6BH,$232.99,$11.28,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 5',5BH,Columbia Tools,$221.71,Wall Tools,Columbia Taping Tools 4 ft. 180 Grip Flat Box Handle,4BH,$210.89,-$10.82,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 6',6BH,Columbia Tools,$232.52,All-Wall,"Columbia 42"" 180-Grip Flat Box Handle",42BH,$205.99,-$26.53,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 6',6BH,Columbia Tools,$232.52,All-Wall,"Columbia 48"" 180-Grip Flat Box Handle",4BH,$210.99,-$21.53,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia 180° Grip Flat Box Handle - 6',6BH,Columbia Tools,$232.52,Wall Tools,Columbia Taping Tools 4 ft. 180 Grip Flat Box Handle,4BH,$210.89,-$21.63,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",96
Needs Review,Columbia Automatic Fat Boy Box,COL-AUTOMATIC-FAT-BOY-BOX,Columbia Tools,,Wall Tools,Columbia 10 in. Automatic Fat Boy Flat Box,10FBBA,$492.08,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Automatic Taper,COL-AUTOMATIC-TAPER,Columbia Tools,,Wall Tools,Columbia Semi Automatic Taper,SAT,$243.32,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Combo Flusher,COL-COMBO-FLUSHER,Columbia Tools,,All-Wall,"Columbia 2.5"" Combo Flusher",2.5CSF,$163.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Combo Flusher,COL-COMBO-FLUSHER,Columbia Tools,,All-Wall,"Columbia 3.5"" Combo Flusher",3.5CSF,$181.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,"Columbia Combo Flusher - 2.5""",2.5CSF,Columbia Tools,$190.27,Al's Taping Tools,Columbia Combo Flusher,3CSF,$163.31,-$26.96,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,"Columbia Combo Flusher - 3.5""",3.5CSF,Columbia Tools,$202.25,Al's Taping Tools,Columbia Combo Flusher,3CSF,$163.31,-$38.94,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Compound Tube,COL-COMPOUND-TUBE,Columbia Tools,,Wall Tools,Columbia Compound Mud Tube,CMT,$197.91,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Corner Roller,CR,Columbia Tools,$167.63,Wall Tools,"TapeTech Corner Roller and Handles (TAPE-15TTE, FHTT, XHTT)",CR,$248.00,$80.37,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Columbia Fat Boy Flat Box - 10""",10FBB,Columbia Tools,$454.23,All-Wall,"Columbia 8"" Fat Boy Flat Box",8FBB,$443.99,-$10.24,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Fat Boy Flat Box - 10""",10FBB,Columbia Tools,$454.23,All-Wall,"Columbia 12"" Fat Boy Flat Box",12FBB,$465.99,$11.76,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Fat Boy Flat Box - 12""",12FBB,Columbia Tools,$465.05,All-Wall,"Columbia 8"" Fat Boy Flat Box",8FBB,$443.99,-$21.06,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Fat Boy Flat Box - 12""",12FBB,Columbia Tools,$465.05,All-Wall,"Columbia 10"" Fat Boy Flat Box",10FBB,$454.99,-$10.06,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Fat Boy Flat Box - 5.5""",5.5FBB,Columbia Tools,$384.39,All-Wall,"Columbia 8"" Fat Boy Flat Box",8FBB,$443.99,$59.60,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Fat Boy Flat Box - 8""",8FBB,Columbia Tools,$443.42,All-Wall,"Columbia 10"" Fat Boy Flat Box",10FBB,$454.99,$11.57,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Fat Boy Flat Box - 8""",8FBB,Columbia Tools,$443.42,All-Wall,"Columbia 12"" Fat Boy Flat Box",12FBB,$465.99,$22.57,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Flat Finisher Box - 10""",10FFB,Columbia Tools,$400.16,Al's Taping Tools,"Columbia 8"" Drywall Flat Finisher Box",8FFB,$389.34,-$10.82,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Flat Finisher Box - 12""",12FFB,Columbia Tools,$410.97,Al's Taping Tools,"Columbia 8"" Drywall Flat Finisher Box",8FFB,$389.34,-$21.63,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Flat Finisher Box - 14""",14FFB,Columbia Tools,$421.79,Al's Taping Tools,"Columbia 8"" Drywall Flat Finisher Box",8FFB,$389.34,-$32.45,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Flat Finisher Box - 5.5""",5.5FFB,Columbia Tools,$367.71,Al's Taping Tools,"Columbia 8"" Drywall Flat Finisher Box",8FFB,$389.34,$21.63,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Flat Finisher Box - 7""",7FFB,Columbia Tools,$378.53,Al's Taping Tools,"Columbia 5.5"" Drywall Flat Finisher Box",5.5FFB,$367.71,-$10.82,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Flat Finisher Box - 7""",7FFB,Columbia Tools,$378.53,Al's Taping Tools,"Columbia 8"" Drywall Flat Finisher Box",8FFB,$389.34,$10.81,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,"Columbia Flat Finisher Box - 8""",8FFB,Columbia Tools,$389.34,Al's Taping Tools,"Columbia 5.5"" Drywall Flat Finisher Box",5.5FFB,$367.71,-$21.63,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Needs Review,Columbia Hot Mud Pump - CDN,HMP-C,Columbia Tools,$380.00,Al's Taping Tools,Columbia Hot Mud Pump,HMP,$410.97,$30.97,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,"Columbia Nail Spotter - 3""",3NS,Columbia Tools,$324.00,Al's Taping Tools,"Columbia Taping Tools 2"" Nail Spotter",2NS,$297.41,-$26.59,Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",92
Needs Review,Columbia One Predator Taper,PTAPER,Columbia Tools,"$2,145.46",Al's Taping Tools,Columbia One Predator Taper Body,C1PBODY,$389.55,"-$1,755.91",Competitor is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Outside Corner Roller,COL-OUTSIDE-CORNER-ROLLER,Columbia Tools,,All-Wall,Columbia 90° Outside Bead Corner Roller,COBCR,$87.00,,,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Semi Automatic Taper,SAT,Columbia Tools,$244.50,Al's Taping Tools,Columbia Automatic Taper,TAPER,"$1,649.29","$1,404.79",DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Semi Automatic Taper,SAT,Columbia Tools,$244.50,All-Wall,Columbia Automatic Taper,TAPER,"$1,649.29","$1,404.79",DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Columbia Semi Automatic Taper,SAT,Columbia Tools,$244.50,Wall Tools,Columbia Automatic Taper,TAPER,"$1,649.29","$1,404.79",DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Needs Review,Connecting Rod,CT45,Columbia Tools,$22.95,Al's Taping Tools,Taper Connecting Rod - CT45,CT-45,$14.93,-$8.02,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Crimper Lever,CT105,Columbia Tools,$34.50,Al's Taping Tools,Taper Crimper Lever - CT105,CT-105,$28.01,-$6.49,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Crimping Arm Shaft Bushing - L,CT10A,Columbia Tools,$13.95,Al's Taping Tools,Taper Crimping Arm Bushing Left - CT10A,CT10A,$4.71,-$9.24,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,CT86 – Toe Kicker Cable,CT86,Columbia Tools,$17.12,Al's Taping Tools,Taper Toe Kicker Cable - CT86,CT-86,$20.52,$3.40,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Door Hinge,CFB15,Columbia Tools,$24.95,Al's Taping Tools,Angle Box Door Hinge - CFB15,CFB-15,$30.12,$5.17,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Door Spring - Long,HNS10,Columbia Tools,$18.75,Al's Taping Tools,Nail Spotter Door Spring Long- Left - HNS10,HNS10,$5.26,-$13.49,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Door Spring - Short,HNS10A,Columbia Tools,$18.75,Al's Taping Tools,Nail Spotter Door Spring Short- Right - HNS10A,HNS10A,$4.84,-$13.91,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Drive Sprocket - Large,CT77,Columbia Tools,$57.02,Al's Taping Tools,Taper Drive Sprocket Large - CT77,CT-77,$55.26,-$1.76,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Extension Release Trigger,HH30,Columbia Tools,$14.25,Al's Taping Tools,Handle Extension Release Clip - HH30,HH30,$20.44,$6.19,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Extension Shaft Bracket,CT127,Columbia Tools,$28.52,Al's Taping Tools,CT127 - Taper Extension Shaft Bracket,ct127,$31.38,$2.86,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Filler Nut,MP28,Columbia Tools,$12.25,Al's Taping Tools,Mud Pump Filler Nut - MP28,MP28,$8.17,-$4.08,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Flat Box Hinged Door Gasket - 8""",HFFB14-8,Columbia Tools,$16.50,Al's Taping Tools,Flat Box Door Gasket 8in Fat Boy-New Style - HFFB14-8,HFFB14-8,$45.19,$28.69,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Frame Retainer Clip,AH5,Columbia Tools,$2.00,Al's Taping Tools,3 - Ball Lock Spring (AH-5),AH-5,$6.40,$4.40,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Frame Tension Spring - 3""",AH7-3,Columbia Tools,$13.25,Al's Taping Tools,AH7-3 Angle Head Frame Tension Spring,AH7-3,$1.52,-$11.73,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"Frame Tension Spring - 3.5""",AH7-3.5,Columbia Tools,$14.50,Al's Taping Tools,AH7-3.5 - Angle Head Frame Tension Spring 3.5in,AH7-3.5,$1.52,-$12.98,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Handle Connecting Link,CR11,Columbia Tools,$18.95,Al's Taping Tools,Corner Roller Handle Connecting Link - CR11,CR-11,$30.10,$11.15,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Hinge Bushing (Plastic Washer),CFB15A,Columbia Tools,$8.50,Al's Taping Tools,Angle Box Hinge Bushing - CFB15A,cfb-15a,$2.50,-$6.00,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Hinge Pin,BH6,Columbia Tools,$11.25,Al's Taping Tools,Box Handle Hinge Pin - BH6,BH6,$20.46,$9.21,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Hollow Shaft,CT79,Columbia Tools,$38.50,Al's Taping Tools,Taper Hollow Shaft - CT79,CT-79,$36.53,-$1.97,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Insert Bushing - Left,CT3A,Columbia Tools,$14.50,Al's Taping Tools,Columbia Taper Left Insert Bushing - CT3A,CT-3A,$13.56,-$0.94,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Latch Clamp Assembly,HP47,Columbia Tools,$28.95,Al's Taping Tools,Draw Latch Assembly - HP47,HP-47,$21.33,-$7.62,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Mud Supply Seal Plate & Shaft,CT98,Columbia Tools,$24.95,Al's Taping Tools,Taper Mud Supply Seal Plate - CT98,CT-98,$6.05,-$18.90,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Nylatron Bushing,MP36,Columbia Tools,$11.50,Al's Taping Tools,Columbia Mud Pump Nylatron Bushing - MP36,MP-36,$6.02,-$5.48,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Nylatron Chain Roller - Right (Small),CT29,Columbia Tools,$13.50,Al's Taping Tools,Taper Nylatron Chain Roller - CT29,CT-29,$3.51,-$9.99,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Nylatron Washer,CT76,Columbia Tools,$6.25,Al's Taping Tools,Taper Nylatron Washer - CT76,CT-76,$1.30,-$4.95,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Piston Backing Washer - Large,MP13,Columbia Tools,$14.25,Al's Taping Tools,Mud Pump Piston Backing Washer (Large) - MP13,MP-13,$6.63,-$7.62,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Piston Backing Washer - Small,MP13A,Columbia Tools,$12.50,Al's Taping Tools,Mud Pump Piston Backing Washer (Small) - MP13A,MP-13A,$9.95,-$2.55,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Piston Cup,MP14,Columbia Tools,$11.75,Al's Taping Tools,Piston Cup - MP14,MP-14,$10.97,-$0.78,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Piston Shaft,MP11,Columbia Tools,$28.50,Al's Taping Tools,Mud Pump Piston Shaft - MP11,mp-11,$52.84,$24.34,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Plate,BH2,Columbia Tools,$33.71,Al's Taping Tools,Box Handle 180 Grip Plate - BH2,BH2,$37.08,$3.37,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Ratchet Gear,CT67,Columbia Tools,$34.50,Al's Taping Tools,Columbia Taper Ratchet Gear - CT67,CT-67,$4.42,-$30.08,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Return Spring,CT101,Columbia Tools,$9.25,Al's Taping Tools,Filler Valve Return Spring - CT101,CT-101,$2.43,-$6.82,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Rlease Trigger Spring,HH33,Columbia Tools,$11.75,Al's Taping Tools,Handle Release Clip Spring - HH33,HH33,$7.30,-$4.45,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Rod Sleeve Housing,CT90,Columbia Tools,$22.50,Al's Taping Tools,Taper Rod Sleeve Housing - CT90,CT-90,$30.10,$7.60,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Roll Pin Bushing,HNS13,Columbia Tools,$9.95,Al's Taping Tools,Nail Spotter Roll Pin Bushing #12535 - HNS13,hns13,$3.21,-$6.74,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
