dtb_brand,dtb_product_name,dtb_sku,dtb_mpn,dtb_regular_price,dtb_sale_price,dtb_map_price,allwall_product_name,allwall_sku,allwall_url,allwall_regular_price,allwall_sale_price,allwall_current_price,allwall_availability,match_status,match_confidence,match_method,price_vs_dtb_map,evidence_notes,checked_at
Columbia Tools,10-24 Nyloc Nut,FA271,FA271,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,10-24 Wing Nut,FA272,FA272,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"10-24 x 1"" Hex Bolt",FA273,FA273,3.25,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"10-24 X 1/4"" Socket Hand Set",FA312,FA312,2.85,,,FA312 Columbia 10-24 X 1/4in Set Screw #6796,FA312,https://www.all-wall.com/FA312-Columbia-10-24-X-1-4in-Set-Screw-6796,,,2.15,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA312 exactly matches DTB SKU FA312 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"10-24 x 3/8"" Socket",FA274,FA274,2.65,,,FA274 Columbia 10-24 X 3/8in Socket Hd Screw #6031,FA274,https://www.all-wall.com/FA274-Columbia-10-24-X-3-8in-Socket-Hd-Screw-6031,,,2.75,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA274 exactly matches DTB SKU FA274 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"10-24 x 7/8"" Hex Bolt",FA275,FA275,3.15,,,FA275 Columbia 10-24 X 3/4in Hex Bolt #6032,FA275,https://www.all-wall.com/FA275-Columbia-10-24-X-3-4in-Hex-Bolt-6032,,,2.15,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA275 exactly matches DTB SKU FA275 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"10-24 x 7/8"" Pan Slot",FA276,FA276,3.35,,,FA276 Columbia 10-24 X 7/8 Pan Head Screw #6033,FA276,https://www.all-wall.com/FA276-Columbia-10-24-X-7-8-Pan-Head-Screw-6033,,,1.05,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA276 exactly matches DTB SKU FA276 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"10-32 X 1/2"" Flat Socket Head",FA316,FA316,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"10-32 x 1/4"" SS Set Screw",FA382,FA382,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"2-56 x 3/16"" Binder Slot",FA199,FA199,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"3/16 x 1"" Sping Pin SS",FA365,FA365,3.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,4-40 Hex Nut,FA206,FA206,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,4-40 Nyloc Nut,FA207,FA207,2.50,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 1/2"" Fillister Slot",FA219,FA219,1.00,,,FA219 Columbia 4-40 X 1/2in Fill. Head Screw #6005,FA219,https://www.all-wall.com/FA219-Columbia-4-40-X-1-2in-Fill-Head-Screw-6005,,,1.05,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA219 exactly matches DTB SKU FA219 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 1/4"" Binder Slot",FA213,FA213,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 1/4"" Flat Slot",FA214,FA214,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 1/8"" Binder Slot",FA2,FA208,1.65,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 3/16"" Binder Slot",FA210,FA210,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 3/16"" Truss Slot",FA212,FA212,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 3/4"" Hex Bolt",FA220,FA220,2.35,,,FA220 Columbia 4-40 X 3/4in Bind Head Screw #6006,FA220,https://www.all-wall.com/FA220-Columbia-4-40-X-3-4in-Bind-Head-Screw-6006,,,1.1,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA220 exactly matches DTB SKU FA220 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 3/8"" Flat Slot",FA218,FA218,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,4-40 X 3/8” Fillister Slot,FA216,FA216,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"4-40 x 5/16"" Binder Slot",FA215,FA215,1.95,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,5-16 Flat Washer,FA303,FA303,3.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,5-16 x 24 Jam Nut,FA307,FA307,3.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"5/16 -18 x 3/4"" Hex Bolt",FA305,FA305,4.15,,,FA305 Columbia 5/16-18 X 3/4in Hex Bolt #6053,FA305,https://www.all-wall.com/FA305-Columbia-5-16-18-X-3-4in-Hex-Bolt-6053,,,3.65,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA305 exactly matches DTB SKU FA305 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"5/16-18 x 1 1/4"" Hex Bolt",FA306,FA306,3.45,,,FA306 Columbia 5/16-18 X 1-1/4in Hex Bolt #6054,FA306,https://www.all-wall.com/FA306-Columbia-5-16-18-X-1-1-4in-Hex-Bolt-6054,,,3.48,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA306 exactly matches DTB SKU FA306 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"5/16-18 x 3/4"" Thumb Screw",CFB10,CFB10,6.00,,,CFB10 Columbia Angle Box 5/16-18 X 3/4in Thumb Screw #5550,CFB10,https://www.all-wall.com/CFB10-Columbia-Angle-Box-5-16-18-X-3-4in-Thumb-Screw-5550,,,7.3,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN CFB10 exactly matches DTB SKU CFB10 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"5/32"" x 7/8"" Roll Pin",FA317,FA317,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,6-32 Hex Nut,FA232,FA232,1.75,,,FA232 Columbia 6-32 Hex Nut #6012,FA232,https://www.all-wall.com/FA232-Columbia-6-32-Hex-Nut-6012,,,2.1,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA232 exactly matches DTB SKU FA232 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,6-32 Nyloc Jam Nut,FA234,FA234,2.65,,,FA234 Columbia 6-32 Nyloc Jam Nut #6014,FA234,https://www.all-wall.com/FA234-Columbia-6-32-Nyloc-Jam-Nut-6014,,,1.85,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA234 exactly matches DTB SKU FA234 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,6-32 Nyloc Nut,FA233,FA233,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 x 1/2"" Fillister Slot",FA245,FA245,2.15,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 x 1/2"" Pan Slot",FA244,FA244,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Adjuster Spring - 8""",FFB11-8,FFB11-8,8.00,,,"FFB11-8 Columbia Flat Box Adjuster Spring 8""",FFB11-8,https://www.all-wall.com/FFB11-8-Columbia-Flat-Box-Adjuster-Spring,,,10.05,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB11-8 exactly matches DTB SKU FFB11-8 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Adjuster Spring - 10""",FFB11-10,FFB11-10,8.00,,,"FFB11-10 Columbia Flat Box Adjuster Spring 10""",FFB11-10,https://www.all-wall.com/FFB11-Columbia-Flat-Box-Adjuster-Spring-7-8-10-6086,,,10.05,InStock,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB11-10 exactly matches DTB SKU FFB11-10 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Adjuster Spring - 12""",FFB11-12,FFB11-12,8.00,,,"FFB11-12 Columbia Flat Box Adjuster Spring 12""",FFB11-12,https://www.all-wall.com/FFB11-12-Columbia-Flat-Box-Adjuster-Spring-12-6087,,,10.46,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB11-12 exactly matches DTB SKU FFB11-12 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 X 1/4"" Binder Slot",FA239,FA239,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 X 1/4"" Flat Slot",FA227,FA227,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 X 1/8"" Binder Slot",FA236,FA236,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 X 1/8"" Set Screw",FA235,FA235,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 x 3/16"" Binder Slot",FA237,FA237,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 X 3/16"" Fillister Slot",FA238,FA238,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 X 3/8"" Binder Slot",FA241,FA241,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 x 3/8"" Flat Slot",FA243,FA243,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 x 3/8"" Hex Bolt",FA231,FA231,2.25,,,"Columbia #6 X 3/8"" Hex Bolt FA231",FA231,https://www.all-wall.com/FA231-Columbia-6-X-3-8in-Self-Tapping-Screw-6011,,,1.55,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA231 exactly matches DTB SKU FA231 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"6-32 X 5/8"" Hex Bolt",FA247,FA247,2.45,,,FA247 Columbia 6-32 X 5/8in Hex Bolt #6018,FA247,https://www.all-wall.com/FA247-Columbia-6-32-X-5-8in-Hex-Bolt-6018,,,1.95,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA247 exactly matches DTB SKU FA247 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,8-32 Nyloc Nut,FA254,FA254,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 x 1 1/2"" Pan Slot",FA267,FA267,2.85,,,FA267 Columbia 8-32 X 1.5in Pan Head Screw #6027,FA267,https://www.all-wall.com/FA267-Columbia-8-32-X-1-5in-Pan-Head-Screw-6027,,,1.05,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FA267 exactly matches DTB SKU FA267 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 x 1/2"" Socket",FA262,FA262,2.95,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 x 1/4"" Fillister Slot",FA257,FA257,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 X 3/16"" Pan Slot",FA256,FA256,2.15,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 x 3/4"" Truss Slot",FA265,FA265,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 x 3/8"" Pan Slot",FA260,FA260,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 X 3/8"" Socket Screw",FA261,FA261,2.75,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,8-32 x 5/16 SS Socket Head,FA376,FA376,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32 x 5/8"" Truss Slot",FA264,FA264,1.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,8-32X 1/4 Half Dog Set,FA258,FA258,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"8-32X3/16"" Set Screw",FA249,FA249,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Axle - 7""",FFB5-7,FFB5-7,44.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Axle - 8""",FFB5-8,FFB5-8,44.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Axle - 10""",FFB5-10,FFB5-10,44.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Axle - 12""",FFB5-12,FFB5-12,44.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Axle - 14""",FFB5-14,FFB5-14,44.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 5.5""",FFB9-5.5,FFB9-5.5,18.75,,,FFB9-5.5 Columbia Flat Box Blade 5.5in #13783,FFB9-5.5,https://www.all-wall.com/FFB9-55-Columbia-Flat-Box-Blade-5-5in-13783,,,4.7,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB9-5.5 exactly matches DTB SKU FFB9-5.5 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 7""",FFB9-7,FFB9-7,22.50,,,FFB9-7 Columbia Flat Box Blade 7in #6082,FFB9-7,https://www.all-wall.com/FFB9-7-Columbia-Flat-Box-Blade-7in-6082,,,4.58,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB9-7 exactly matches DTB SKU FFB9-7 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 8""",FFB9-8,FFB9-8,24.95,,,FFB9-8 Columbia Flat Box Blade 8in #6083,FFB9-8,https://www.all-wall.com/FFB9-8-Columbia-Flat-Box-Blade-8in-6083,,,4.7,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB9-8 exactly matches DTB SKU FFB9-8 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 10""",FFB9-10,FFB9-10,28.95,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 12""",FFB9-12,FFB9-12,32.50,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 14""",FFB9-14,FFB9-14,36.95,,,FFB9-14 Columbia Flat Box Blade 14 in #13784,FFB9-14,https://www.all-wall.com/FFB9-14-Columbia-Flat-Box-Blade-14in-13784,,,7.38,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB9-14 exactly matches DTB SKU FFB9-14 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 2""",HNS7-2,HNS7-2,23.00,,,NS7-2 Columbia Nail Spotter 2in Nail Spotter Blade #5889,HNS7-2,https://www.all-wall.com/NS7-2-Columbia-Nail-Spotter-2in-Nail-Spotter-Blade-5889,,,26.9,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN HNS7-2 exactly matches DTB SKU HNS7-2 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Blade - 3""",HNS7-3,HNS7-3,23.00,,,NS7-3 Columbia Nail Spotter 3in Nail Spotter Blade #5890,HNS7-3,https://www.all-wall.com/NS7-3-Columbia-Nail-Spotter-3in-Nail-Spotter-Blade-5890,,,26.9,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN HNS7-3 exactly matches DTB SKU HNS7-3 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Axel Bushing,FFB5A,FFB5A,3.00,,,FFB5A Columbia Flat Box Axle Bushing #6114,FFB5A,https://www.all-wall.com/FFB5A-Columbia-Flat-Box-Axle-Bushing-6114,,,3.78,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN FFB5A exactly matches DTB SKU FFB5A after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Backing Washer Locator,MP32,MP32,18.95,,,MP32 Columbia Mud Pump Backing Washer Locator #5876,MP32,https://www.all-wall.com/MP32-Columbia-Mud-Pump-Backing-Washer-Locator-5876,,,2.85,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN MP32 exactly matches DTB SKU MP32 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Bar Retainer Clip,FFB8,FFB8,2.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,Barrel- Main Body,CT103,CT103,114.11,,,CT103 Columbia Taper Barrel Main Body #5963,CT103,https://www.all-wall.com/CT103-Columbia-Taper-Barrel-Main-Body-5963,,,150.64,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN CT103 exactly matches DTB SKU CT103 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Bearing,CT125A,CT125A,19.95,,,CT125A Columbia Taper Bearing #5986,CT125A,https://www.all-wall.com/CT125A-Columbia-Taper-Bearing-5986,,,4.58,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN CT125A exactly matches DTB SKU CT125A after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Bearing Sleeve,BH24A,BH24A,4.00,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,Bearing Sleeve,CFB16,CFB16,18.75,,,CFB16 Columbia Angle Box Bearing Sleeve - Ss #5554,CFB16,https://www.all-wall.com/CFB16-Columbia-Angle-Box-Bearing-Sleeve-Ss-5554,,,7.28,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN CFB16 exactly matches DTB SKU CFB16 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Bearing Sleeve,CR-3,CR3,19.99,,,CR3 Columbia Corner Roller Bearing Sleeve #5563,CR3,https://www.all-wall.com/CR3-Columbia-Corner-Roller-Bearing-Sleeve-5563,,,9.45,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN CR3 exactly matches DTB SKU CR-3 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
