row_number,sku,type,name,parent_sku,current_categories,proposed_categories,disposition,evidence_basis,requires_review,notes
38,CLT42,variation,"Columbia Cam Lock Tube - 42""",COL-CAM-LOCK-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-CAM-LOCK-TUBE; approved target taxonomy + current functional leaf,0,
39,CLT55,variation,"Columbia Cam Lock Tube - 55""",COL-CAM-LOCK-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-CAM-LOCK-TUBE; approved target taxonomy + current functional leaf,0,
40,COL-COMBO-FLUSHER,variable,Columbia Combo Flusher,,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
41,2.5CSF,variation,"Columbia Combo Flusher - 2.5""",COL-COMBO-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-COMBO-FLUSHER; approved target taxonomy + current functional leaf,0,
42,3CSF,variation,"Columbia Combo Flusher - 3""",COL-COMBO-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-COMBO-FLUSHER; approved target taxonomy + current functional leaf,0,
43,3WTCSF,variation,"Columbia Combo Flusher - 3"" Widetrack",COL-COMBO-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-COMBO-FLUSHER; approved target taxonomy + current functional leaf,0,
44,3.5CSF,variation,"Columbia Combo Flusher - 3.5""",COL-COMBO-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-COMBO-FLUSHER; approved target taxonomy + current functional leaf,0,
45,COL-COMPOUND-TUBE,variable,Columbia Compound Tube,,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,deterministic_mapping,approved target taxonomy + current functional leaf,0,
46,CMT24,variation,"Columbia Compound Tube - 24""",COL-COMPOUND-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-COMPOUND-TUBE; approved target taxonomy + current functional leaf,0,
47,CMT32,variation,"Columbia Compound Tube - 32""",COL-COMPOUND-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-COMPOUND-TUBE; approved target taxonomy + current functional leaf,0,
48,CMT42,variation,"Columbia Compound Tube - 42""",COL-COMPOUND-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-COMPOUND-TUBE; approved target taxonomy + current functional leaf,0,
49,CMT55,variation,"Columbia Compound Tube - 55""",COL-COMPOUND-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-COMPOUND-TUBE; approved target taxonomy + current functional leaf,0,
50,COL-DIRECT-FLUSHER,variable,Columbia Direct Flusher,,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
51,2.5DF,variation,"Columbia Direct Flusher - 2.5""",COL-DIRECT-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-DIRECT-FLUSHER; approved target taxonomy + current functional leaf,0,
52,3DF,variation,"Columbia Direct Flusher - 3""",COL-DIRECT-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-DIRECT-FLUSHER; approved target taxonomy + current functional leaf,0,
53,3WTDF,variation,"Columbia Direct Flusher - 3"" Widetrack",COL-DIRECT-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-DIRECT-FLUSHER; approved target taxonomy + current functional leaf,0,
54,3.5DF,variation,"Columbia Direct Flusher - 3.5""",COL-DIRECT-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-DIRECT-FLUSHER; approved target taxonomy + current functional leaf,0,
55,4DF,variation,"Columbia Direct Flusher - 4""",COL-DIRECT-FLUSHER,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,inherited_from_parent,exact parent SKU COL-DIRECT-FLUSHER; approved target taxonomy + current functional leaf,0,
56,COL-FAT-BOY-FLAT-BOX,variable,Columbia Fat Boy Flat Box,,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,deterministic_mapping,approved target taxonomy + current functional leaf,0,
57,5.5FBB,variation,"Columbia Fat Boy Flat Box - 5.5""",COL-FAT-BOY-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FAT-BOY-FLAT-BOX; approved target taxonomy + current functional leaf,0,
58,8FBB,variation,"Columbia Fat Boy Flat Box - 8""",COL-FAT-BOY-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FAT-BOY-FLAT-BOX; approved target taxonomy + current functional leaf,0,
59,10FBB,variation,"Columbia Fat Boy Flat Box - 10""",COL-FAT-BOY-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FAT-BOY-FLAT-BOX; approved target taxonomy + current functional leaf,0,
60,12FBB,variation,"Columbia Fat Boy Flat Box - 12""",COL-FAT-BOY-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FAT-BOY-FLAT-BOX; approved target taxonomy + current functional leaf,0,
61,COL-FLAT-FINISHER-BOX,variable,Columbia Flat Finisher Box,,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,deterministic_mapping,approved target taxonomy + current functional leaf,0,
62,5.5FFB,variation,"Columbia Flat Finisher Box - 5.5""",COL-FLAT-FINISHER-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FLAT-FINISHER-BOX; approved target taxonomy + current functional leaf,0,
63,7FFB,variation,"Columbia Flat Finisher Box - 7""",COL-FLAT-FINISHER-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FLAT-FINISHER-BOX; approved target taxonomy + current functional leaf,0,
64,8FFB,variation,"Columbia Flat Finisher Box - 8""",COL-FLAT-FINISHER-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FLAT-FINISHER-BOX; approved target taxonomy + current functional leaf,0,
65,10FFB,variation,"Columbia Flat Finisher Box - 10""",COL-FLAT-FINISHER-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FLAT-FINISHER-BOX; approved target taxonomy + current functional leaf,0,
66,12FFB,variation,"Columbia Flat Finisher Box - 12""",COL-FLAT-FINISHER-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FLAT-FINISHER-BOX; approved target taxonomy + current functional leaf,0,
67,14FFB,variation,"Columbia Flat Finisher Box - 14""",COL-FLAT-FINISHER-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-FLAT-FINISHER-BOX; approved target taxonomy + current functional leaf,0,
68,COL-GOOSENECK,variable,Columbia Gooseneck,,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
69,GN,variation,Columbia Gooseneck - Standard,COL-GOOSENECK,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,inherited_from_parent,exact parent SKU COL-GOOSENECK; approved target taxonomy + current functional leaf,0,
70,TBGN,variation,Columbia Gooseneck - Tall Boy,COL-GOOSENECK,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,inherited_from_parent,exact parent SKU COL-GOOSENECK; approved target taxonomy + current functional leaf,0,
71,COL-HOT-MUD-PUMP,variable,Columbia Hot Mud Pump,,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,deterministic_mapping,approved target taxonomy + current functional leaf,0,
72,HMP,variation,Columbia Hot Mud Pump - Standard,COL-HOT-MUD-PUMP,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,inherited_from_parent,exact parent SKU COL-HOT-MUD-PUMP; approved target taxonomy + current functional leaf,0,
73,TBMP,variation,Columbia Hot Mud Pump - Tall Boy,COL-HOT-MUD-PUMP,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,inherited_from_parent,exact parent SKU COL-HOT-MUD-PUMP; approved target taxonomy + current functional leaf,0,
74,HMP-C,variation,Columbia Hot Mud Pump - CDN,COL-HOT-MUD-PUMP,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,inherited_from_parent,exact parent SKU COL-HOT-MUD-PUMP; approved target taxonomy + current functional leaf,0,
75,COL-MATRIX-FLAT-BOX-HANDLE,variable,Columbia Matrix Flat Box Handle,,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,deterministic_mapping,approved target taxonomy + current functional leaf,0,
76,MHS,variation,"Columbia Matrix Flat Box Handle - 29""-39""",COL-MATRIX-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-MATRIX-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
77,MH,variation,"Columbia Matrix Flat Box Handle - 40""-60""",COL-MATRIX-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-MATRIX-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
78,MHL,variation,"Columbia Matrix Flat Box Handle - 56""-76""",COL-MATRIX-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-MATRIX-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
79,COL-NAIL-SPOTTER,variable,Columbia Nail Spotter,,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,deterministic_mapping,approved target taxonomy + current functional leaf,0,
80,2NS,variation,"Columbia Nail Spotter - 2""",COL-NAIL-SPOTTER,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,inherited_from_parent,exact parent SKU COL-NAIL-SPOTTER; approved target taxonomy + current functional leaf,0,
81,3NS,variation,"Columbia Nail Spotter - 3""",COL-NAIL-SPOTTER,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,inherited_from_parent,exact parent SKU COL-NAIL-SPOTTER; approved target taxonomy + current functional leaf,0,
82,COL-ONE-HANDLE,variable,Columbia One Handle,,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,deterministic_mapping,approved target taxonomy + current functional leaf,0,
83,C1HEXT,variation,Columbia One Handle - Extendable 3'-5',COL-ONE-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-ONE-HANDLE; approved target taxonomy + current functional leaf,0,
84,CHXL,variation,Columbia One Handle - Long Extendable 4'-8',COL-ONE-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-ONE-HANDLE; approved target taxonomy + current functional leaf,0,
85,C1HS,variation,Columbia One Handle - Stubby,COL-ONE-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-ONE-HANDLE; approved target taxonomy + current functional leaf,0,
86,C1H,variation,Columbia One Handle - Fixed,COL-ONE-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-ONE-HANDLE; approved target taxonomy + current functional leaf,0,
87,COL-OUTSIDE-CORNER-ROLLER,variable,Columbia Outside Corner Roller,,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
88,COBCR,variation,Columbia Outside Corner Roller - Standard,COL-OUTSIDE-CORNER-ROLLER,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,inherited_from_parent,exact parent SKU COL-OUTSIDE-CORNER-ROLLER; approved target taxonomy + current functional leaf,0,
