match_status,match_basis,confidence,supplier_brand,supplier_sku,supplier_source_sku,supplier_name,supplier_category,supplier_weight,supplier_length,supplier_width,supplier_height,catalog_type,catalog_sku,catalog_name,catalog_brand,catalog_categories,catalog_parent,catalog_weight,catalog_length,catalog_width,catalog_height,matched_identifier,candidate_count,name_score,name_score_gap,numeric_tokens_match,category_compatible,dimension_score,review_notes
unmatched,,none,Columbia Tools,AH23L,CTTAH23L,"3"" WING ASSEMBLY LEFT COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,191,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,AH23R,CTTAH23R,"3"" WING ASSEMBLY RIGHT COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,190,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,BB,CTTBB,COLUMBIA BLACK BANJO ALUMINUM W/ WOOD HANDLE,BANJOS,4.15,23,10,3,,,,,,,,,,,,38,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,BBH9,CTTBBH9,COMMON TOP STRAP COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,18,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,BH06,CTTBH06,HINGE PIN (180 GRIP) COLUMBIA,AUTOMATIC TT PARTS,1.5,,,,,,,,,,,,,,,39,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,BH13,CTTBH13,THUMB SCREW (180 DEGREE HANDLE) COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,48,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,BSNC,CTTBSNC,"COLUMBIA 6"" BUCKET SCOOP NATURAL",HAWKS,0.519,10,7,4,,,,,,,,,,,,184,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,C12MPX6,CTTC12MPX6,"COLUMBIA 12"" MUD PAN STAINLESS STEEL (6)","MUD PANS, STEEL",9.712,12,4,4,,,,,,,,,,,,207,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,C14MPX6,CTTC14MPX6,"COLUMBIA 14"" MUD PAN STAINLESS STEEL (6)","MUD PANS, STEEL",10.611,14,5,5,,,,,,,,,,,,207,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,C16MPX6,CTTC16MPX6,"COLUMBIA 16"" MUD PAN STAINLESS STEEL (6)","MUD PANS, STEEL",8.916,18,5,5,,,,,,,,,,,,210,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CBS2K,CTTCBS2K,COLUMBIA 2K BUCKET SCOOP,HAWKS,0.4875,9,6,1,,,,,,,,,,,,0,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CC16,CTTCC16,COLUMBIA CORNER COBRA HANDLE ADAPTER,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,58,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CC4,CTTCC4,STEP ROLLER FOR CORNER COBRA COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,27,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CEXT3,CTTCEXT3,WHEEL FOR ICATW COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,6,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CF3A,CTTCF3A,SCREW FOR CORNER FLUSHER WHEEL COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,53,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CF3B,CTTCF3B,WHEEL FOR CORNER FLUSHER COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,42,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CF4L,CTTCF4L,BALL SPRING LONG - FLUSHER COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,50,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CFB1A,CTTCFB1A,HINGE SEAL COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,12,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CFB28,CTTCFB28,"ROLL FACE 8"" COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,186,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CFB8A,CTTCFB8A,ONE ANGLE BOX DOOR ADAPTOR COLUMBIA,AUTOMATIC TT PARTS,0.3,,,,,,,,,,,,,,,84,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CLT14,CTTCLT14,COLUMBIA BRASS CLIPS,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,3,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CLTA16,CTTCLTA16,COLUMBIA CAM LOCK ASSEMBLED CONE SOLID,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,9,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CLTBF,CTTCLTBF,COMPOUND TUBE BOX FILLER ADAPTOR COLUMBIA,AUTOMATIC TAPING TOOLS,0,,,,,,,,,,,,,,,66,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CLTHA,CTTCLTHA,COLUMBIA TOMALOCK CAM LOCK HANDLE ADAPTOR,AUTOMATIC TAPING TOOLS,0.8,5,5,2,,,,,,,,,,,,46,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CMRR,CTTCMRR,"COLUMBIA 1.5""X18MM REPL MUD ROLLER",ROLLER FRAMES/COVERS,0.108,4,4,1,,,,,,,,,,,,207,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CMT1A39,CTTCMT1A39,COLUMBIA DRAW TUBE FOR CMT42,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,18,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CMT5,CTTCMT5,PLASTIC HANDLE COLLAR COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,40,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CPG,CTTCPG,COLUMBIA MUD PAN GRIP,"MUD PANS, STEEL",0.4265,8,9,1,,,,,,,,,,,,45,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT1,CTTCT1,TAPER HEAD - CLASSIC COLUMBIA,AUTOMATIC TT PARTS,0.5,,,,,,,,,,,,,,,26,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT100,CTTCT100,REMOVABLE COVER PLATE PIN RING-COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,39,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT11,CTTCT11,MUD GUARD PLATE COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,37,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT113,CTTCT113,LOCK BLOCK COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,7,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT115A,CTTCT115A,GASKET NEW STYLE END RING COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,27,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT118A,CTTCT118A,RETAINING SPRING CLIP QUICK REALEASE COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,42,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT12,CTTCT12,TAPE ADVANCE RELEASE BRACKET COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,19,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT122A,CTTCT122A,COLUMBIA TAPER STRAP,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,16,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT123A,CTTCT123A,RETAINING SPRING SHAFT (QUICK RELEASE) COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,43,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT128A,CTTCT128A,SHAFT GUIDE STRAP COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,24,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT129,CTTCT129,SHAFT GUIDE ROLLER COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,26,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT129B,CTTCT129B,SLEEVE (PLASTIC ROLLER) COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,20,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT17,CTTCT17,SEPARATION PLATE COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,13,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT1R,CTTCT1R,HEAD NO HOLES FOR CAP COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,28,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT34,CTTCT34,COVER PLATE ATTACHMENT BLOCK COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,14,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT34CL,CTTCT34CL,CAM-LOCK LID ATTACHMENT BLOCK COLUMBIA,AUTOMATIC TT PARTS,0.1,,,,,,,,,,,,,,,9,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT34R,CTTCT34R,REMOVABLE COVER PLATE ATTACHMENT BLK COLUMBIA,AUTOMATIC TT PARTS,0.3,,,,,,,,,,,,,,,13,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT37,CTTCT37,TUBE HOLDING BRACKET LOW COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,25,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT38,CTTCT38,TUBE HOLDING BRACKET LOWER COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,26,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT41,CTTCT41,CUTTER BLOCK COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,1,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT41A,CTTCT41A,CUTTER BLOCK CLAMP COLUMBIA,AUTOMATIC TT PARTS,0.0045,0.15,0.25,0.6,,,,,,,,,,,,3,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT49,CTTCT49,CRIMPING ARM RIGHT COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,8,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT51,CTTCT51,SPACER BAR COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,1,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT66,CTTCT66,DRIVE DRUM COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,7,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT6R,CTTCT6R,REMOVABLE COVERPLATE SIDEPLATE SCREW COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,11,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT7,CTTCT7,SIDE PLATE SUPPORT LEFT COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,18,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT8,CTTCT8,SIDE PLATE SUPPORT RIGHT COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,18,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT87R,CTTCT87R,REMOVABLE TAPER CAP COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,13,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT94,CTTCT94,MUD SHUT OFF UPPER PLATE COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,38,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT95,CTTCT95,CONTROL VALVE COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,4,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA107,CTTCTA107,COLUMBIA PISTON ASSEMBLY FOR TAPER,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,23,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA13,CTTCTA13,SUB ASSEMBLED DOG BASE BRACKET COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,12,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA41,CTTCTA41,COLUMBIA BLOCKER ASSBLY FOR BAZOOKA,AUTOMATIC TT REPAIR KITS,1,,,,,,,,,,,,,,,3,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA57,CTTCTA57,COLUMBIA CARRIAGE ASSEMBLY,AUTOMATIC TT PARTS,1,,,,,,,,,,,,,,,6,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA59,CTTCTA59,MAGNET WITH CASING FOR AUTO TAPER COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,10,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA84,CTTCTA84,CABLE GUIDE AND PULLEY COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,8,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA87CL,CTTCTA87CL,CAM-LOCK COVER PLATE ASSEMBLY COLUMBIA,AUTOMATIC TT PARTS,0.1995,5,3,1,,,,,,,,,,,,24,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA99CL,CTTCTA99CL,CAM-LOCK LEVER ASSEMBLY COLUMBIA,AUTOMATIC TT PARTS,0.1,,,,,,,,,,,,,,,14,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,DDM15,CTTDDM15,PHANTOM REPLACEMENT PAD COLUMBIA,AUTOMATIC TT PARTS,0.1,,,,,,,,,,,,,,,0,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA201,CTTFA201,"1/16"" X 3/8"" SPLIT PIN COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,206,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA209,CTTFA209,"4-40 X 1/8"" FLAT HEAD SCREW COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,218,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA222,CTTFA222,"5-40 X 3/8"" PAN SLOT COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,196,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA277,CTTFA277,#6 BELLEVILLE WASHER COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,39,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA278,CTTFA278,#8 BELLEVILLE WASHER COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,68,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA279,CTTFA279,"10-24 X 1-1/4"" HEX BOLT COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,199,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA281,CTTFA281,10-32 NYLOC JAM NUT COLUMBIA (2),AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,82,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA285,CTTFA285,"1/4"" PLASTIC WASHER COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,209,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA289,CTTFA289,"1/4"" X 2"" SPLIT PIN OLD STYLE COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,205,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA314,CTTFA314,COLUMBIA 10-24 X 1-1/2 PAN SLOT,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,103,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA323,CTTFA323,"1/4-20 X 1"" HEX BOLT COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,195,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFB112,CTTFFB112,"REAR PLATE 12"" COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,187,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFB20A,CTTFFB20A,AXEL ROLLER BEARING COLUMBIA (2),AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,44,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFB6,CTTFFB6,AXEL ROLLER COLUMBIA (2),AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,39,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFBA1010,CTTFFBA1010,"10"" BLADE BAR ASSEMBLY COLUMBIA",AUTOMATIC TT PARTS,0.1905,9,1,1,,,,,,,,,,,,190,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFBA1012,CTTFFBA1012,"12"" BLADE BAR ASSEMBLY COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,186,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFBA1014,CTTFFBA1014,"BLADE BAR ASSEMBLY 14"" COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,186,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFBA1055,CTTFFBA1055,"BLADE BAR ASSEMBLY 5.5"" COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,186,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFBA12,CTTFFBA12,"(5.5,7,8,10) ADJUSTER DIAL ASSY COLUMBIA",AUTOMATIC TT PARTS,0.0435,2,0.5,4,,,,,,,,,,,,82,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFBA1212,CTTFFBA1212,"(12,14) ADJUSTER DIAL ASSY LARGE COLUMBIA",AUTOMATIC TT PARTS,0.0595,0.5,2.25,6.5,,,,,,,,,,,,22,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FFH26,CTTFFH26,8-32 X 3/4 BRAKE STOP COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,148,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB10,CTTFSB10,"COLUMBIA 10"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,0.798,11,6,3,,,,,,,,,,,,191,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB12,CTTFSB12,"COLUMBIA 12"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,0.9505,13,6,3,,,,,,,,,,,,187,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB14,CTTFSB14,"COLUMBIA 14"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,1.1135,15,6,3,,,,,,,,,,,,187,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB16,CTTFSB16,"COLUMBIA 16"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,1.2795,17,6,3,,,,,,,,,,,,190,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB18,CTTFSB18,"COLUMBIA 18"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,1.4875,19,6,3,,,,,,,,,,,,187,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB24,CTTFSB24,"COLUMBIA 24"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,1.8055,25,6,3,,,,,,,,,,,,190,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB32,CTTFSB32,"COLUMBIA 32"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,4.5,,,,,,,,,,,,,,,192,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB40,CTTFSB40,"COLUMBIA 40"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,3.0705,41,6,3,,,,,,,,,,,,190,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB48,CTTFSB48,"COLUMBIA 48"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,3.6165,49,6,3,,,,,,,,,,,,187,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSB7,CTTFSB7,"COLUMBIA 7"" FAT BOY SMOOTHING BLADE",KNOCKDOWN KNIFE,0.556,8,6,3,,,,,,,,,,,,187,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FSBC,CTTFSBC,COLUMBIA FAT BOY BLADE ADAPTOR,KNOCKDOWN KNIFE,0.342,3,8,4,,,,,,,,,,,,32,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FTH46,CTTFTH46,FIBERGLASS EXTENSION POLE 3.7-6.29' W/ADAPTER,"EXTENSION HANDLES,FIBERG",1,,,,,,,,,,,,,,,5,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FTH58,CTTFTH58,COLUMBIA 4.7-8.6' EXTEND POLE W/ PAINT ADAPTER,"EXTENSION HANDLES,FIBERG",1.8065,52,2,2,,,,,,,,,,,,1,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,HFBB148,CTTHFBB148,"2PC 8"" DOOR GASKET FAT BOY-NEW STYLE COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,205,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,HFBB3,CTTHFBB3,FAT BOY END PLATE UNIVERSAL COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,25,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,HFFB1A3,CTTHFFB1A3,"3"" MUD SEAL STRIP COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,202,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,HH21,CTTHH21,RESERVOIR PISTON SPRING COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,36,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,HH22,CTTHH22,RESERVOIR PISTON COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,10,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,HH27,CTTHH27,PISTON DRIVER ADAPTER COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,,11,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,HNS192,CTTHNS192,"2"" TRIANGLE SHOE COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,180,,,,,,No credible brand-compatible identifier or name candidate
