universal_part_id,canonical_name,part_family,thread,length,nominal_size,head_style,drive_style,material,confidence,status,brands,catalog_skus,source_audit_key,source_report,notes
SCREW-4-40-X-1-8-BINDER-HEAD,4-40 x 1/8 Binder Head Screw,screw,4-40,1/8,,binder,unknown,stainless,high,active,Asgard;Columbia;TapeTech,FA208,screw 4-40 x 1/8 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong cross-brand thread length and head candidate
SCREW-4-40-X-3-16-BINDER-HEAD,4-40 x 3/16 Binder Head Screw,screw,4-40,3/16,,binder,unknown,stainless,high,active,Asgard;Columbia;Level5;TapeTech,FA210;FAZ07,screw 4-40 x 3/16 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong cross-brand thread length and head candidate
SCREW-4-40-X-3-16-FILLISTER-HEAD,4-40 x 3/16 Fillister Head Screw,screw,4-40,3/16,,fillister,slot,stainless,high,active,Asgard;TapeTech,889030,screw 4-40 x 3/16 fillister head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong thread length and head candidate
SCREW-4-40-X-5-16-BINDER-HEAD,4-40 x 5/16 Binder Head Screw,screw,4-40,5/16,,binder,unknown,stainless,high,active,Asgard;Columbia;TapeTech,FA215,screw 4-40 x 5/16 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong cross-brand thread length and head candidate
SCREW-5-16-18-X-7-8-HEX-HEAD,5/16-18 x 7/8 Hex Head Screw,screw,5/16-18,7/8,,hex,unknown,unknown,high,active,Asgard;Level5,,screw 5/16-18 x 7/8 hex head,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: exact thread, length and hex-head/capscrew wording match across Asgard and Level5 schematic evidence."
SCREW-6-32-FLAT-HEAD,6-32 Flat Head Screw,screw,6-32,,,flat,unknown,stainless,high,quarantine,Asgard;TapeTech,059107,screw 6-32 flat head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Length parsing is inconsistent so this is not import safe
SCREW-6-32-X-1-2-FILLISTER-HEAD,6-32 x 1/2 Fillister Head Screw,screw,6-32,1/2,,fillister,slot,stainless,high,active,Asgard;Columbia;Level5;Platinum;TapeTech,FA245;059091,screw 6-32 x 1/2 fillister head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strongest audited universal group
SCREW-6-32-X-1-4-BINDER-HEAD,6-32 x 1/4 Binder Head Screw,screw,6-32,1/4,,binder,unknown,stainless,high,active,Asgard;Columbia;Level5;TapeTech,FA239,screw 6-32 x 1/4 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong cross-brand thread length and head candidate
SCREW-6-32-X-1-4-FILLISTER-HEAD,6-32 x 1/4 Fillister Head Screw,screw,6-32,1/4,,fillister,slot,stainless,high,active,Asgard;Level5;Platinum;TapeTech,,screw 6-32 x 1/4 fillister head,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: exact thread, length and fillister-head wording match across 38 occurrences and four brands."
SCREW-8-32-X-3-8,8-32 x 3/8 Screw,screw,8-32,3/8,,,,stainless,high,review,Columbia;Level5;Platinum;TapeTech,FA261,screw 8-32 x 3/8,products/Production/launch/universal_parts/references/universal_part_groups.csv,Keep review: audit key omits head style and occurrence titles mix socket/BHC/hex socket wording.
SCREW-8-32-X-3-8-BINDER-HEAD,8-32 x 3/8 Binder Head Screw,screw,8-32,3/8,,binder,unknown,stainless,high,active,Asgard;TapeTech,,screw 8-32 x 3/8 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: exact thread, length and binder-head wording match across Asgard and TapeTech schematic evidence."
SCREW-8-32-X-5-8-TRUSS,8-32 x 5/8 Truss Head Screw,screw,8-32,5/8,,truss,unknown,stainless,high,active,Asgard;TapeTech,,screw 8-32 x 5/8 truss,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: exact thread, length and truss-head wording match across Asgard and TapeTech schematic evidence."
SET-SCREW-1-4-28-X-1-4,1/4-28 x 1/4 Set Screw,set screw,1/4-28,1/4,,set,unknown,unknown,high,active,Columbia;TapeTech,FA302,set screw 1/4-28 x 1/4,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong set screw candidate
SET-SCREW-4-40-X-1-8,4-40 x 1/8 Set Screw,set screw,4-40,1/8,,set,unknown,unknown,high,active,Columbia;TapeTech,FAZ1S,set screw 4-40 x 1/8,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong set screw candidate
SET-SCREW-6-32-X-1-8,6-32 x 1/8 Set Screw,set screw,6-32,1/8,,set,unknown,unknown,high,active,Columbia;TapeTech,FA235;FAZ21S,set screw 6-32 x 1/8,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong set screw candidate
SET-SCREW-8-32-X-1-4,8-32 x 1/4 Set Screw,set screw,8-32,1/4,,set,unknown,stainless,high,review,Asgard;Columbia;TapeTech,FAZ5S,set screw 8-32 x 1/4,products/Production/launch/universal_parts/references/universal_part_groups.csv,Keep review: occurrence titles mix generic set screw and 1/2 dog set screw subtypes.
WASHER-10-BRASS,#10 Brass Washer,washer,,,#10,brass,,brass,medium,review,Asgard;Level5;Platinum;TapeTech,,washer #10 brass,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Keep review: high occurrence count, but references only prove #10 brass washer title and not washer geometry/OD."
WASHER-10-FLAT,#10 Flat Washer,washer,,,#10,flat,,stainless,medium,review,Columbia;TapeTech,FA268,washer #10 flat,products/Production/launch/universal_parts/references/universal_part_groups.csv,Keep review: references do not fully prove washer material and OD across brands.
WASHER-10-LOCK,#10 Lock Washer,washer,,,#10,lock,,stainless,medium,review,Asgard;TapeTech,,washer #10 lock,products/Production/launch/universal_parts/references/universal_part_groups.csv,Keep review: occurrence titles mix generic lockwasher and medium lockwasher wording.
WASHER-6-FLAT,#6 Flat Washer,washer,,,#6,flat,,stainless,high,active,Asgard;Columbia;TapeTech,FA228,washer #6 flat,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong nominal size type and material candidate
WASHER-6-LOCK,#6 Lock Washer,washer,,,#6,lock,,unknown,high,active,Asgard;Columbia;Level5;TapeTech,FA229,washer #6 lock,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong nominal size and type candidate
WASHER-8-LOCK,#8 Lock Washer,washer,,,#8,lock,,stainless,high,active,Asgard;Columbia;TapeTech,FA28,washer #8 lock,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong nominal size and type candidate
WASHER-5-16-FLAT,5/16 Flat Washer,washer,,,5/16,flat,,unknown,medium,review,Columbia;TapeTech,FA303;FA304,washer 5/16 flat,products/Production/launch/universal_parts/references/universal_part_groups.csv,Keep review: references include multiple Columbia SKUs and do not fully prove material/OD equivalence.
